"resource_decrease","constant_best_amplitude","constant_best_yield","any_event_beats_constant_amplitude","any_event_beats_constant_yield"
5e-04,1.68031808781705,3.7966843175122e-05,TRUE,TRUE
0.000662229357768171,1.64551318471528,4.0780983235487e-05,TRUE,FALSE
0.000877095444580087,1.60761031628956,3.90959274797232e-05,TRUE,FALSE
0.00116167670593132,1.54931968689707,3.65154978843147e-05,TRUE,FALSE
0.00153859283780628,1.46783840017626,3.56512851672415e-05,TRUE,FALSE
0.00203780269369432,1.35141478687185,3.29028178384293e-05,TRUE,FALSE
0.00269898553820688,1.19303179640603,3.17735692346632e-05,TRUE,FALSE
0.00357469491918464,0.971786676721744,3.08551137850134e-05,TRUE,FALSE
0.00473453584109758,0.657067352379727,2.89028712845973e-05,FALSE,FALSE
0.00627069725876087,0.283567408647164,2.86082226320402e-05,FALSE,FALSE
0.00830527963685567,0.00983404217373926,2.81473379804844e-05,FALSE,FALSE
0.011,2.80394976389578e-05,2.77791726804181e-05,FALSE,FALSE
