"time","biomass","schedule","regime"
516.2,0.0653312667140706,"Unfished reference","Oscillating (resource_decrease=0.005)"
516.4,0.0602518788337022,"Unfished reference","Oscillating (resource_decrease=0.005)"
516.6,0.0556245891374979,"Unfished reference","Oscillating (resource_decrease=0.005)"
516.8,0.0518927157915092,"Unfished reference","Oscillating (resource_decrease=0.005)"
517,0.049642727395307,"Unfished reference","Oscillating (resource_decrease=0.005)"
517.2,0.0495152641083158,"Unfished reference","Oscillating (resource_decrease=0.005)"
517.4,0.0521026628058291,"Unfished reference","Oscillating (resource_decrease=0.005)"
517.6,0.0577818243089004,"Unfished reference","Oscillating (resource_decrease=0.005)"
517.8,0.0664707422949857,"Unfished reference","Oscillating (resource_decrease=0.005)"
518,0.0774100401471323,"Unfished reference","Oscillating (resource_decrease=0.005)"
518.2,0.0891493831469865,"Unfished reference","Oscillating (resource_decrease=0.005)"
518.4,0.0998184408358993,"Unfished reference","Oscillating (resource_decrease=0.005)"
518.6,0.107534764311006,"Unfished reference","Oscillating (resource_decrease=0.005)"
518.8,0.110798865499528,"Unfished reference","Oscillating (resource_decrease=0.005)"
519,0.109348336238273,"Unfished reference","Oscillating (resource_decrease=0.005)"
519.2,0.105601809347073,"Unfished reference","Oscillating (resource_decrease=0.005)"
519.4,0.103247142986736,"Unfished reference","Oscillating (resource_decrease=0.005)"
519.6,0.103719369718081,"Unfished reference","Oscillating (resource_decrease=0.005)"
519.8,0.106231650626729,"Unfished reference","Oscillating (resource_decrease=0.005)"
520,0.109317394966713,"Unfished reference","Oscillating (resource_decrease=0.005)"
520.2,0.11159012967835,"Unfished reference","Oscillating (resource_decrease=0.005)"
520.4,0.112066642936573,"Unfished reference","Oscillating (resource_decrease=0.005)"
520.6,0.110215042422112,"Unfished reference","Oscillating (resource_decrease=0.005)"
520.8,0.105950685666484,"Unfished reference","Oscillating (resource_decrease=0.005)"
521,0.0997392802423358,"Unfished reference","Oscillating (resource_decrease=0.005)"
521.2,0.092519181246554,"Unfished reference","Oscillating (resource_decrease=0.005)"
521.4,0.0852998188608053,"Unfished reference","Oscillating (resource_decrease=0.005)"
521.6,0.0787081111430013,"Unfished reference","Oscillating (resource_decrease=0.005)"
521.8,0.0728207731348668,"Unfished reference","Oscillating (resource_decrease=0.005)"
522,0.0673829914311983,"Unfished reference","Oscillating (resource_decrease=0.005)"
522.2,0.0621983503889084,"Unfished reference","Oscillating (resource_decrease=0.005)"
522.4,0.0573529311138954,"Unfished reference","Oscillating (resource_decrease=0.005)"
522.6,0.0532075659681262,"Unfished reference","Oscillating (resource_decrease=0.005)"
522.8,0.0503039724836359,"Unfished reference","Oscillating (resource_decrease=0.005)"
523,0.0492720531549395,"Unfished reference","Oscillating (resource_decrease=0.005)"
523.2,0.0507382245963772,"Unfished reference","Oscillating (resource_decrease=0.005)"
523.4,0.0551890821686471,"Unfished reference","Oscillating (resource_decrease=0.005)"
523.6,0.062752860275892,"Unfished reference","Oscillating (resource_decrease=0.005)"
523.8,0.0729513572670231,"Unfished reference","Oscillating (resource_decrease=0.005)"
524,0.0845865594710547,"Unfished reference","Oscillating (resource_decrease=0.005)"
524.2,0.0959055712001076,"Unfished reference","Oscillating (resource_decrease=0.005)"
524.4,0.104983575357568,"Unfished reference","Oscillating (resource_decrease=0.005)"
524.6,0.110116698780525,"Unfished reference","Oscillating (resource_decrease=0.005)"
524.8,0.110388814325501,"Unfished reference","Oscillating (resource_decrease=0.005)"
525,0.107079670913103,"Unfished reference","Oscillating (resource_decrease=0.005)"
525.2,0.103841285429546,"Unfished reference","Oscillating (resource_decrease=0.005)"
525.4,0.103220864887623,"Unfished reference","Oscillating (resource_decrease=0.005)"
525.6,0.105098645626738,"Unfished reference","Oscillating (resource_decrease=0.005)"
525.8,0.108139943895984,"Unfished reference","Oscillating (resource_decrease=0.005)"
526,0.110873118872937,"Unfished reference","Oscillating (resource_decrease=0.005)"
526.2,0.112137602828979,"Unfished reference","Oscillating (resource_decrease=0.005)"
526.4,0.111231295772771,"Unfished reference","Oscillating (resource_decrease=0.005)"
526.6,0.107885618775543,"Unfished reference","Oscillating (resource_decrease=0.005)"
526.8,0.102342628710189,"Unfished reference","Oscillating (resource_decrease=0.005)"
527,0.0953887122135165,"Unfished reference","Oscillating (resource_decrease=0.005)"
527.2,0.0880654631898887,"Unfished reference","Oscillating (resource_decrease=0.005)"
527.4,0.0811903255276064,"Unfished reference","Oscillating (resource_decrease=0.005)"
527.6,0.0750486177184978,"Unfished reference","Oscillating (resource_decrease=0.005)"
527.8,0.0694698748232355,"Unfished reference","Oscillating (resource_decrease=0.005)"
528,0.0641934632727977,"Unfished reference","Oscillating (resource_decrease=0.005)"
528.2,0.0591860138819338,"Unfished reference","Oscillating (resource_decrease=0.005)"
528.4,0.0547106891760615,"Unfished reference","Oscillating (resource_decrease=0.005)"
528.6,0.051250383193195,"Unfished reference","Oscillating (resource_decrease=0.005)"
528.8,0.0494108490463434,"Unfished reference","Oscillating (resource_decrease=0.005)"
529,0.0498323509323216,"Unfished reference","Oscillating (resource_decrease=0.005)"
529.2,0.0530773730550861,"Unfished reference","Oscillating (resource_decrease=0.005)"
529.4,0.0594446195709594,"Unfished reference","Oscillating (resource_decrease=0.005)"
529.6,0.068717911980823,"Unfished reference","Oscillating (resource_decrease=0.005)"
529.8,0.0799773589100635,"Unfished reference","Oscillating (resource_decrease=0.005)"
530,0.0916488227135467,"Unfished reference","Oscillating (resource_decrease=0.005)"
530.2,0.101824483102087,"Unfished reference","Oscillating (resource_decrease=0.005)"
530.4,0.108669990458632,"Unfished reference","Oscillating (resource_decrease=0.005)"
530.6,0.110848647089671,"Unfished reference","Oscillating (resource_decrease=0.005)"
530.8,0.108585774943874,"Unfished reference","Oscillating (resource_decrease=0.005)"
531,0.1048680561003,"Unfished reference","Oscillating (resource_decrease=0.005)"
531.2,0.10311426250973,"Unfished reference","Oscillating (resource_decrease=0.005)"
531.4,0.104143700997049,"Unfished reference","Oscillating (resource_decrease=0.005)"
531.6,0.1069118273607,"Unfished reference","Oscillating (resource_decrease=0.005)"
531.8,0.109927032233915,"Unfished reference","Oscillating (resource_decrease=0.005)"
532,0.111873445799918,"Unfished reference","Oscillating (resource_decrease=0.005)"
532.2,0.111870334708691,"Unfished reference","Oscillating (resource_decrease=0.005)"
532.4,0.109479305863122,"Unfished reference","Oscillating (resource_decrease=0.005)"
532.6,0.104727930899576,"Unfished reference","Oscillating (resource_decrease=0.005)"
532.8,0.0982046627570673,"Unfished reference","Oscillating (resource_decrease=0.005)"
533,0.090905714039257,"Unfished reference","Oscillating (resource_decrease=0.005)"
533.2,0.0837896734641677,"Unfished reference","Oscillating (resource_decrease=0.005)"
533.4,0.0773631055802571,"Unfished reference","Oscillating (resource_decrease=0.005)"
533.6,0.0715999393874515,"Unfished reference","Oscillating (resource_decrease=0.005)"
533.8,0.0662261789331875,"Unfished reference","Oscillating (resource_decrease=0.005)"
534,0.0610978094995092,"Unfished reference","Oscillating (resource_decrease=0.005)"
534.2,0.0563671735254097,"Unfished reference","Oscillating (resource_decrease=0.005)"
534.4,0.0524433545357905,"Unfished reference","Oscillating (resource_decrease=0.005)"
534.6,0.0498948846213071,"Unfished reference","Oscillating (resource_decrease=0.005)"
534.8,0.049359417863805,"Unfished reference","Oscillating (resource_decrease=0.005)"
535,0.0514470110133825,"Unfished reference","Oscillating (resource_decrease=0.005)"
535.2,0.0565871151189058,"Unfished reference","Oscillating (resource_decrease=0.005)"
535.4,0.0647945795679473,"Unfished reference","Oscillating (resource_decrease=0.005)"
535.6,0.0754346466598918,"Unfished reference","Oscillating (resource_decrease=0.005)"
535.8,0.0871631909502535,"Unfished reference","Oscillating (resource_decrease=0.005)"
536,0.0981534112665781,"Unfished reference","Oscillating (resource_decrease=0.005)"
536.2,0.106497345616678,"Unfished reference","Oscillating (resource_decrease=0.005)"
536.4,0.110594704984091,"Unfished reference","Oscillating (resource_decrease=0.005)"
536.6,0.109863728143096,"Unfished reference","Oscillating (resource_decrease=0.005)"
536.8,0.106230542149389,"Unfished reference","Oscillating (resource_decrease=0.005)"
537,0.103451262860819,"Unfished reference","Oscillating (resource_decrease=0.005)"
537.2,0.103457152568411,"Unfished reference","Oscillating (resource_decrease=0.005)"
537.4,0.105719177760899,"Unfished reference","Oscillating (resource_decrease=0.005)"
537.6,0.108812916871942,"Unfished reference","Oscillating (resource_decrease=0.005)"
537.8,0.111307579085895,"Unfished reference","Oscillating (resource_decrease=0.005)"
538,0.112140742636447,"Unfished reference","Oscillating (resource_decrease=0.005)"
538.2,0.110706858364909,"Unfished reference","Oscillating (resource_decrease=0.005)"
538.4,0.106838356944618,"Unfished reference","Oscillating (resource_decrease=0.005)"
538.6,0.100902885933285,"Unfished reference","Oscillating (resource_decrease=0.005)"
538.8,0.0937792268212485,"Unfished reference","Oscillating (resource_decrease=0.005)"
539,0.0865003907983894,"Unfished reference","Oscillating (resource_decrease=0.005)"
539.2,0.0797814971548628,"Unfished reference","Oscillating (resource_decrease=0.005)"
539.4,0.0737875382764293,"Unfished reference","Oscillating (resource_decrease=0.005)"
539.6,0.0682927869303843,"Unfished reference","Oscillating (resource_decrease=0.005)"
539.8,0.0630673959260051,"Unfished reference","Oscillating (resource_decrease=0.005)"
540,0.0581449020700602,"Unfished reference","Oscillating (resource_decrease=0.005)"
540.2,0.0538451461279138,"Unfished reference","Oscillating (resource_decrease=0.005)"
540.4,0.0506858595388357,"Unfished reference","Oscillating (resource_decrease=0.005)"
