"value","metric","direction","branch"
0.005,237971.758462784,"Forward","max"
0.00532958333421431,245846.929918104,"Forward","max"
0.00568089170326698,258494.442970503,"Forward","max"
0.0060553571490416,274263.455317451,"Forward","max"
0.00645450610884952,291854.010689503,"Forward","max"
0.00687996563766177,310904.546670294,"Forward","max"
0.00733347004048986,331327.050312964,"Forward","max"
0.00781686794195093,353140.123736134,"Forward","max"
0.00833212982183516,376407.870013936,"Forward","max"
0.00888135604739253,401215.676215232,"Forward","max"
0.00946678543508134,427661.091623586,"Forward","max"
0.0100908043766784,455850.576042986,"Forward","max"
0.0107559565669524,485898.540009291,"Forward","max"
0.0114649533725525,517927.284018855,"Forward","max"
0.01222068488438,552067.299377956,"Forward","max"
0.0130262316984953,588457.726553799,"Forward","max"
0.0138848774735829,627246.895152438,"Forward","max"
0.0148001223161631,668592.918554561,"Forward","max"
0.0157756970481112,712664.334773815,"Forward","max"
0.0168155784146454,759640.792134614,"Forward","max"
0.0179240052947736,809713.781088396,"Forward","max"
0.0191054959802789,863087.414611323,"Forward","max"
0.0203648665936786,919979.260167741,"Forward","max"
0.0217072507202334,980621.226559195,"Forward","max"
0.0231381203340335,1045260.50924803,"Forward","max"
0.024663308103462,1114160.59799961,"Forward","max"
0.0262890311669608,1187602.35094719,"Forward","max"
0.0280219164760149,1265885.13945629,"Forward","max"
0.0298690278086629,1349328.06845511,"Forward","max"
0.0318378945636467,1438271.27720517,"Forward","max"
0.0339365424525768,1533077.32581434,"Forward","max"
0.0361735262152219,1634132.67314437,"Forward","max"
0.0385579644912822,1741849.25213705,"Forward","max"
0.0410995769907929,1856666.14898064,"Forward","max"
0.0438087241146775,1979051.3929614,"Forward","max"
0.0466964491869556,2109503.86429612,"Forward","max"
0.0497745234707567,2248555.32772264,"Forward","max"
0.0530554941516408,2396772.60013785,"Forward","max"
0.0565527354838179,2554759.86111922,"Forward","max"
0.0602805033077572,2723161.1157481,"Forward","max"
0.0642539931614146,2902662.81977428,"Forward","max"
0.0684894022219591,3093996.67782247,"Forward","max"
0.0730039953304907,3297942.6260474,"Forward","max"
0.0778161753688885,3515332.01139541,"Forward","max"
0.0829455582756652,3747050.98043257,"Forward","max"
0.0884130530066174,3994044.09155294,"Forward","max"
0.0942409467662148,4257318.1652915,"Forward","max"
0.100452995857159,4537946.38843704,"Forward","max"
0.107074522518443,4837072.68867438,"Forward","max"
0.11413251814665,5155916.39758839,"Forward","max"
0.121655753321259,5495777.22103782,"Forward","max"
0.129674895082454,5858040.53715951,"Forward","max"
0.138222631939487,6244183.0435994,"Forward","max"
0.147333807119186,6655778.77699013,"Forward","max"
0.157045560597752,7094505.52921272,"Forward","max"
0.167397480494824,7562151.68659661,"Forward","max"
0.178431764446936,8060623.51993712,"Forward","max"
0.190193391618168,8591952.95504648,"Forward","max"
0.202730306049177,9158305.85551376,"Forward","max"
0.216093612091972,9761990.85143661,"Forward","max"
0.230337782727109,10405468.7501137,"Forward","max"
0.245520881612455,11091362.5670587,"Forward","max"
0.261704799768669,11822468.2182248,"Forward","max"
0.278955507866198,12601765.9170258,"Forward","max"
0.297343325142195,13432432.3226099,"Forward","max"
0.316943206043542,14317853.4889087,"Forward","max"
0.337835045764423,15261638.6672419,"Forward","max"
0.360104005923919,16267635.0187464,"Forward","max"
0.383840861711186,17339943.2965982,"Forward","max"
0.409142371913279,18482934.5619541,"Forward","max"
0.436111673333985,19701268.0017527,"Forward","max"
0.464858701211424,20999909.921006,"Forward","max"
0.495500637348183,22384153.9869989,"Forward","max"
0.528162387780688,23859642.8079191,"Forward","max"
0.562977091934958,25432390.9338781,"Forward","max"
0.600086665344198,27108809.3740838,"Forward","max"
0.639642378140535,28895731.7301017,"Forward","max"
0.681805471679,30800442.0517353,"Forward","max"
0.726747815807305,32830704.5290721,"Forward","max"
0.774652609460652,34994795.1417312,"Forward","max"
0.825715127437423,37301535.3943227,"Forward","max"
0.880143516399827,39760328.2756371,"Forward","max"
0.938159643344259,42381196.5881446,"Forward","max"
1,45174823.804047,"Forward","max"
0.005,237971.758461029,"Forward","min"
0.00532958333421431,244307.798632466,"Forward","min"
0.00568089170326698,255880.882034774,"Forward","min"
0.0060553571490416,271124.328170392,"Forward","min"
0.00645450610884952,288376.533711291,"Forward","min"
0.00687996563766177,307146.483914574,"Forward","min"
0.00733347004048986,327301.629708194,"Forward","min"
0.00781686794195093,348841.893087374,"Forward","min"
0.00833212982183516,371823.494502687,"Forward","min"
0.00888135604739253,396328.0577044,"Forward","min"
