"t","total","selected","juvenile","fish_level"
0,0.0123393149976886,0.00509146475862765,0.0072478502390609,0
1,0.367590449579816,0.010075061997891,0.357515387581925,0
2,0.37536316010192,0.00863543762041052,0.366727722481509,0
3,0.337792948382368,0.00765853368627622,0.330134414696092,0
4,0.296258695851842,0.00567729171037622,0.290581404141466,0
5,0.254105980889116,0.00350189097412156,0.250604089914995,0
6,0.20318771713292,0.00223156434197842,0.200956152790942,0
7,0.1402189303786,0.00170741544646773,0.138511514932133,0
8,0.0775445428937655,0.00714403122715354,0.070400511666612,0
9,0.155144689612852,0.0104177151628225,0.14472697445003,0
10,3.08479794860102e-08,6.60263261666162e-10,3.01877162243441e-08,0
10.2,3.95683995791265e-08,8.3244949517526e-10,3.87359500839513e-08,0
10.4,6.25676949408558e-08,2.44878775428967e-09,6.01189071865661e-08,0
10.6,9.14810611372422e-08,1.55782933486386e-08,7.59027677886037e-08,0
10.8,1.41286925668969e-07,4.46859941584338e-08,9.66009315105354e-08,0
11,3.65799435805393e-07,4.48881432597164e-08,3.20911292545677e-07,0
11.2,1.25576466868059e-06,3.51933491021048e-08,1.22057131957848e-06,0
11.4,3.73529851026496e-06,9.18036872770939e-08,3.64349482298787e-06,0
11.6,9.06650361707225e-06,4.74394854819817e-07,8.59210876225244e-06,0
11.8,1.85624015480061e-05,2.62332569090924e-06,1.59390758570969e-05,0
12,3.72551821076583e-05,8.58804337994964e-06,2.86671387277087e-05,0
12.2,0.000101642564879746,1.54341405545013e-05,8.62084243252451e-05,0
12.4,0.0003659399011919,2.23458894289397e-05,0.00034359401176296,0
12.6,0.0012571797335996,6.81328196738405e-05,0.00118904691392576,0
12.8,0.00361366142171142,0.000388882599620753,0.00322477882209066,0
13,0.00900926870908213,0.00174814637655523,0.0072611223325269,0
13.2,0.0230712085612659,0.00493632061828176,0.0181348879429841,0
13.4,0.0658741404711057,0.00951666634900876,0.056357474122097,0
13.6,0.155045286426961,0.0157220318139624,0.139323254612998,0
13.8,0.243193578033448,0.0198887958314398,0.223304782202008,0
14,0.286438756004734,0.0179708104185054,0.268467945586229,0
14.2,0.300134411270566,0.0143528050078513,0.285781606262714,0
14.4,0.301662679089805,0.0114698338016387,0.290192845288167,0
14.6,0.297434892332901,0.00945332575092876,0.287981566581972,0
14.8,0.289812592760318,0.00802554043011031,0.281787052330208,0
15,0.279989783146481,0.00695803642796943,0.273031746718511,0
15.2,0.268713800154537,0.00610767279721452,0.262606127357322,0
15.4,0.256465786205901,0.00539573236613603,0.251070053839765,0
15.6,0.243501038650742,0.00478984814079758,0.238711190509944,0
15.8,0.229852399391807,0.00429371858081824,0.225558680810988,0
16,0.215341163744579,0.00394236047004104,0.211398803274538,0
