"fish_level","mean_period","n_peaks","mean_total","rel_amplitude"
0,5.66666666666667,4,0.364398892196884,0.636426048075329
5,8.6,3,0.47700464440447,1.69767552202924
9,5.46666666666667,4,0.35803146231623,1.88646890633614
15,2.24444444444444,10,0.162428410898155,1.92823331589752
18,1.70769230769231,14,0.09903507215422,1.73314660556889
20,1.58571428571429,15,0.0741776689073873,0.602521438353207
25,1.17894736842105,20,0.0413329276461728,0.971935908779919
