"t","total","selected","juvenile","fish_level"
34.2,0.435720235291563,0.00705862950297543,0.428661605788588,0
34.4,0.419484456172242,0.00672967416479981,0.412754782007442,0
34.6,0.402250110352719,0.00646060770243562,0.395789502650283,0
34.8,0.383964014672447,0.00627048873703612,0.377693525935411,0
35,0.3645371240332,0.00619069042370488,0.358346433609495,0
35.2,0.343826781445604,0.00628122478545823,0.337545556660145,0
35.4,0.321605909491219,0.00667199377045125,0.314933915720768,0
35.6,0.297508157623699,0.00768283960938475,0.289825318014315,0
35.8,0.270923316882241,0.0102295731983821,0.260693743683859,0
36,0.240776859980418,0.0173247468533906,0.223452113127028,0
36.2,0.205094412049925,0.0383584129335006,0.166735999116424,0
36.4,0.16119800173289,0.0823645687805672,0.078833432952323,0
36.6,0.113243763293458,0.0960631913317652,0.0171805719616927,0
36.8,0.0933645558992031,0.0570933537644623,0.0362712021347408,0
37,0.164399735746378,0.0263101934381171,0.138089542308261,0
37.2,0.295752617271013,0.0144427630988655,0.281309854172147,0
37.4,0.385086060684218,0.0121081040537871,0.372977956630431,0
37.6,0.440968626887947,0.0121896630813101,0.428778963806637,0
37.8,0.478227316525511,0.012690735114513,0.465536581410998,0
38,0.503317805916008,0.0129936738390178,0.49032413207699,0
38.2,0.520284442762457,0.0130310923543101,0.507253350408147,0
38.4,0.531559497651494,0.0128804762123438,0.51867902143915,0
38.6,0.538576927528837,0.0126187969747344,0.525958130554103,0
38.8,0.542222669718265,0.0122956662273404,0.529927003490925,0
39,0.54309726498499,0.0119380245650079,0.531159240419982,0
39.2,0.541640564250132,0.0115588136590765,0.530081750591055,0
39.4,0.538185067361489,0.011163502428824,0.527021564932665,0
39.6,0.532985033981187,0.0107541268829552,0.522230907098231,0
39.8,0.526237643201894,0.0103316274242809,0.515906015777613,0
40,0.518097988002547,0.00989719850823133,0.508200789494316,0
40.2,0.508690797262255,0.00945313438458238,0.499237662877672,0
40.4,0.498114366701414,0.00900334109887955,0.489111025602535,0
40.6,0.486447271039201,0.00855362046225341,0.477893650576947,0
40.8,0.473747732689518,0.00811164014063497,0.465636092548883,0
41,0.460055960472795,0.00768661625608835,0.452369344216707,0
41.2,0.445394924334754,0.00728890660237001,0.438106017732384,0
41.4,0.42976916207368,0.00692966832813658,0.422839493745543,0
41.6,0.413164743983616,0.00662128086486515,0.40654346311875,0
41.8,0.395545372592735,0.0063790366050567,0.389166335987679,0
42,0.376845876209266,0.00622543250328975,0.370620443705976,0
42.2,0.356959838874931,0.00619982782944031,0.350760011045491,0
42.4,0.335717650515214,0.00638118743856642,0.329336463076647,0
42.6,0.312848467204766,0.00694847753841759,0.305899989666348,0
42.8,0.287911181432423,0.00836679712209874,0.279544384310325,0
43,0.260157730036169,0.0120474809560986,0.24811024908007,0
43.2,0.228239199022871,0.0227322974809833,0.205506901541888,0
43.4,0.189752441233687,0.0528007167954466,0.13695172443824,0
43.6,0.14288975968987,0.095985459352448,0.046904300337422,0
43.8,0.0994883520556822,0.0835332366053848,0.0159551154502975,0
44,0.106509915701223,0.0433001509016942,0.0632097647995289,0
0,0.0123393149976886,0.00509146475862765,0.0072478502390609,10
1,0.428841546554484,0.0129700655893344,0.415871480965149,10
2,0.488486633167787,0.0108506721614441,0.477635961006343,10
3,0.453496400546156,0.00858593000454269,0.444910470541613,10
4,0.377063210973693,0.0067109398939368,0.370352271079756,10
5,0.262717250500375,0.0116888784074209,0.251028372092955,10
6,0.101827499608286,0.0464882324154842,0.0553392671928019,10
7,0.486147743861629,0.0128079953336954,0.473339748527934,10
8,0.542475718419051,0.0121913767303843,0.530284341688667,10
9,0.523708948028917,0.01020148378891,0.513507464240007,10
10,4.69493342152931e-08,7.98008828542278e-10,4.61513253867509e-08,10
10.2,8.87143803537094e-08,2.434454587781e-09,8.62799257659284e-08,10
10.4,1.81084485839158e-07,1.00303212897542e-07,8.07812729416162e-08,10
10.6,3.46922150627685e-07,1.23000278963667e-07,2.23921871664019e-07,10
10.8,2.2792157453942e-06,6.00239111364813e-08,2.21919183425772e-06,10
11,1.3027133502075e-05,2.07390438612728e-07,1.28197430634623e-05,10
11.2,4.78749311377901e-05,5.2204913388884e-06,4.26544397989017e-05,10
11.4,0.000113646019069992,3.91666898880612e-05,7.44793291819306e-05,10
11.6,0.000307466395405872,8.11587801521461e-05,0.000226307615253726,10
11.8,0.00157267055876496,8.97868327444612e-05,0.0014828837260205,10
12,0.00760307925223267,0.000339491666811322,0.00726358758542135,10
12.2,0.0253272815980941,0.00338494597265237,0.0219423356254417,10
12.4,0.0577055874487761,0.014634746386024,0.0430708410627521,10
12.6,0.103866800686281,0.0304551972407181,0.0734116034455625,10
12.8,0.169918992092823,0.0385167961524344,0.131402195940389,10
13,0.243361528787642,0.0354683556944421,0.2078931730932,10
13.2,0.294787282239131,0.0284854547085041,0.266301827530626,10
13.4,0.321837839220359,0.0226788717465253,0.299158967473834,10
13.6,0.333635030821254,0.0189030879658408,0.314731942855413,10
13.8,0.335317910065428,0.016557812160281,0.318760097905147,10
14,0.329465113599948,0.0151030480222845,0.314362065577663,10
14.2,0.317655359810224,0.0142921668645633,0.303363192945661,10
14.4,0.300916685333408,0.0141547370538203,0.286761948279587,10
14.6,0.279823961548103,0.0151034997551443,0.264720461792959,10
14.8,0.254434250213315,0.0185028174084674,0.235931432804847,10
15,0.224038875297281,0.0287002860694577,0.195338589227823,10
15.2,0.1867875644215,0.0562285997007388,0.130558964720761,10
15.4,0.141393621850735,0.0944999375534267,0.0468936842973081,10
15.6,0.0999254981450036,0.0821046099414088,0.0178208882035948,10
15.8,0.109008124748699,0.0431549880233869,0.0658531367253125,10
16,0.215267709889814,0.0208500277635988,0.194417682126215,10
16.2,0.333031398381832,0.0141519033788128,0.318879495003019,10
16.4,0.405250863647417,0.0127810062657179,0.392469857381699,10
16.6,0.451700271738298,0.01279707449476,0.438903197243538,10
