"t","selected_biomass","on_frac","schedule"
60.2,3.64808833078198e-05,NA,"Constant"
60.4,3.65345312318e-05,NA,"Constant"
60.6,3.67259490797408e-05,NA,"Constant"
60.8,3.72792854629229e-05,NA,"Constant"
61,3.85105694543265e-05,NA,"Constant"
61.2,4.06214869113533e-05,NA,"Constant"
61.4,4.35243219587902e-05,NA,"Constant"
61.6,4.67421996253475e-05,NA,"Constant"
61.8,4.94470206895535e-05,NA,"Constant"
62,5.06802956245347e-05,NA,"Constant"
62.2,4.97468464057163e-05,NA,"Constant"
62.4,4.66257585715129e-05,NA,"Constant"
62.6,4.20491630242598e-05,NA,"Constant"
62.8,3.70727001867277e-05,NA,"Constant"
63,3.25030338183603e-05,NA,"Constant"
63.2,2.86515732157003e-05,NA,"Constant"
63.4,2.54544346329174e-05,NA,"Constant"
63.6,2.27247899489143e-05,NA,"Constant"
63.8,2.03497815375986e-05,NA,"Constant"
64,1.83652548183292e-05,NA,"Constant"
64.2,1.69265420848659e-05,NA,"Constant"
64.4,1.62334612676176e-05,NA,"Constant"
64.6,1.64576530808433e-05,NA,"Constant"
64.8,1.76827942102017e-05,NA,"Constant"
65,1.98513765040575e-05,NA,"Constant"
65.2,2.27324812047015e-05,NA,"Constant"
65.4,2.5944617368032e-05,NA,"Constant"
65.6,2.90460323402398e-05,NA,"Constant"
65.8,3.16602035789198e-05,NA,"Constant"
66,3.35853335676737e-05,NA,"Constant"
66.2,3.48517717326997e-05,NA,"Constant"
66.4,3.57120281122503e-05,NA,"Constant"
66.6,3.65624308137213e-05,NA,"Constant"
66.8,3.78112000860966e-05,NA,"Constant"
67,3.97258002218192e-05,NA,"Constant"
67.2,4.23057276835398e-05,NA,"Constant"
67.4,4.52288819197579e-05,NA,"Constant"
67.6,4.79051763942572e-05,NA,"Constant"
67.8,4.96386329472371e-05,NA,"Constant"
68,4.98556822181022e-05,NA,"Constant"
68.2,4.83167532083666e-05,NA,"Constant"
68.4,4.52116858479778e-05,NA,"Constant"
68.6,4.10761576946955e-05,NA,"Constant"
68.8,3.65632269007456e-05,NA,"Constant"
69,3.22008272211488e-05,NA,"Constant"
69.2,2.82708756952564e-05,NA,"Constant"
69.4,2.48471023055699e-05,NA,"Constant"
69.6,2.19190118514242e-05,NA,"Constant"
69.8,1.94983403843905e-05,NA,"Constant"
70,1.76546175681977e-05,NA,"Constant"
70.2,1.64945114037283e-05,NA,"Constant"
70.4,1.6126774807711e-05,NA,"Constant"
70.6,1.66344501156192e-05,NA,"Constant"
70.8,1.80455903387729e-05,NA,"Constant"
71,2.02894004744795e-05,NA,"Constant"
71.2,2.3151596946127e-05,NA,"Constant"
71.4,2.6272960372624e-05,NA,"Constant"
71.6,2.92272390318024e-05,NA,"Constant"
71.8,3.16596915769973e-05,NA,"Constant"
72,3.34149934785556e-05,NA,"Constant"
72.2,3.4587156179875e-05,NA,"Constant"
72.4,3.5475033560311e-05,NA,"Constant"
72.6,3.64724913507292e-05,NA,"Constant"
