"tau","max_N","min_N","max_P","min_P","rel_amplitude_P","t_max"
15,0.914139318852381,0.229475890237111,3.35944132500052,0.0930799764226892,2.90946134238253,600
15,0.914037458128518,0.229559121086444,3.35788738921335,0.0932013083923217,2.9732174421164,3000
15,0.914037462673846,0.229559123489987,3.35788748194788,0.093201308429042,2.94600664604048,6000
