"fish_level","mean_total","min_total","mean_selected","mean_juvenile","mean_yield","rel_amplitude","model"
1,0.384470463071843,0.0821603812560689,0.0144325306192407,0.370037932452603,0.0144325306192407,1.47988495830624,"Baseline (theta=1), FIXED mortality"
2,0.390166168074781,0.0725183262885069,0.0117843213256051,0.378381846749176,0.0235686426512103,1.54964448821978,"Baseline (theta=1), FIXED mortality"
3,0.396793874584376,0.0734684474951105,0.00998201491632139,0.386811859668055,0.0299460447489642,1.55486287120404,"Baseline (theta=1), FIXED mortality"
5,0.404759637129423,0.065280410414946,0.00768973177336452,0.397069905356058,0.0384486588668226,1.60605260538664,"Baseline (theta=1), FIXED mortality"
9,0.398272026373995,0.0445218935661337,0.00519483142499726,0.393077194948997,0.0467534828249754,1.71826482451298,"Baseline (theta=1), FIXED mortality"
20,0.387831417127382,0.0240723892061577,0.00283415422661926,0.384997262900762,0.0566830845323853,1.83503059690039,"Baseline (theta=1), FIXED mortality"
50,0.359046818638126,0.0228389319858777,0.00123722083327054,0.357809597804855,0.0618610416635268,1.82107018416768,"Baseline (theta=1), FIXED mortality"
100,0.293206218378479,0.0268512394271142,0.000981857423691942,0.292224360954787,0.0981857423691942,1.77419883532832,"Baseline (theta=1), FIXED mortality"
1,0.375327039810161,0.234922782873028,0.0145881528655388,0.360738886944622,0.0145881528655388,0.674722807692157,"theta=0.3, FIXED mortality"
2,0.387110884174858,0.220936584476382,0.0124623744897226,0.374648509685136,0.0249247489794452,0.756618773987558,"theta=0.3, FIXED mortality"
3,0.397679323724921,0.209728303420511,0.0108674651059087,0.386811858619012,0.0326023953177261,0.821808542674097,"theta=0.3, FIXED mortality"
5,0.413088002977782,0.18781398751534,0.00856468524255061,0.404523317735231,0.042823426212753,0.935213770271886,"theta=0.3, FIXED mortality"
9,0.42579084178501,0.160088816719905,0.00564707500130222,0.420143766783708,0.05082367501172,1.06957768026918,"theta=0.3, FIXED mortality"
20,0.415251514787287,0.170546959633746,0.00218883379462392,0.413062680992663,0.0437766758924785,1.00836013772817,"theta=0.3, FIXED mortality"
50,0.368663856042077,0.102191660035752,0.00150954143558042,0.367154314606497,0.0754770717790209,1.30169992398556,"theta=0.3, FIXED mortality"
100,0.362158021829921,0.0834744635649823,0.000777080355394078,0.361380941474527,0.0777080355394078,1.38939591796512,"theta=0.3, FIXED mortality"
