"fish_level","mean_total","mean_yield","rel_amplitude","knife_edge_size"
1,0.429007883605293,0.259361558808726,0.204513526376105,3
2,0.478107490765726,0.230385198757005,0.937974589875073,3
3,0.551096923925529,0.189790633377785,1.22455957080106,3
5,0.626845090315737,0.103578172672533,0.345429058760203,3
9,0.469073297339082,0.189297414775477,1.80640186261592,3
20,0.12342970685277,0.390825426672272,1.89083792416714,3
50,2.55965276013521e-08,2.27716082434227e-07,1.99996121044235,3
100,1.1416095326943e-18,1.49018052831591e-17,2,3
1,0.533272348515021,0.171212724896564,0.545997801532634,5
2,0.682070062797734,0.0814035940596322,0.0789468447944887,5
3,0.72357486780706,0.088956230047783,0.0330855499852852,5
5,0.749200931897527,0.107838465692077,0.0294619047615597,5
9,0.7241151359864,0.0989947776133888,0.0326163297475269,5
20,0.409913954985922,0.185760374493027,1.95095066048828,5
50,0.0574586221192523,0.329070557578832,0.205776507835518,5
100,2.33175552917718e-05,0.000194200666939521,1.9867243722938,5
1,0.631080449170756,0.0852276696347014,0.417253597097607,7
2,0.698851528555428,0.082521648194106,0.227293923030045,7
3,0.727134493230292,0.0947084696823239,0.142686911917194,7
5,0.746197801851605,0.110746213007798,0.0908071748558037,7
9,0.737584161813082,0.113168849824997,0.0627188546235888,7
20,0.65220556175015,0.0821918399770958,0.0564488741421397,7
50,0.350017645371534,0.235305909786179,1.8387321225452,7
100,0.160334281555387,0.446403379843876,1.20014331599267,7
1,0.558668871926177,0.126504319041106,0.502709342462916,10
2,0.576509662602363,0.131715171273512,0.70133538762379,10
3,0.594616466688429,0.130426419758653,0.822738909693435,10
5,0.619376455525827,0.123474569791482,0.957051708414913,10
9,0.641072627205365,0.111078398646383,1.01785925181207,10
20,0.647746714259557,0.104568762848867,0.726843918793582,10
50,0.638364582492976,0.0994305882257949,0.592935780572817,10
100,0.631768032960283,0.0967155705076099,0.557763849339668,10
1,0.675790160233499,0.0294544069213023,0.117382703860123,15
2,0.668558368567421,0.0355120074165438,0.132993023571538,15
3,0.66540267024342,0.0381101365270791,0.138616677345783,15
5,0.662532704327743,0.0404264310169254,0.14279591173208,15
9,0.660434712126643,0.0420857026296421,0.145511507757407,15
20,0.658907727359522,0.0432746995698529,0.1474997157978,15
50,0.658135711075878,0.0438705074918802,0.1484539125005,15
100,0.657875625743703,0.0440705523768507,0.148776780537169,15
1,0.71346629171717,0.00341268729541707,0.0921968923862774,20
2,0.713149888210024,0.00366046021390305,0.0924781450829446,20
3,0.713016960702718,0.0037748618859603,0.0927069954481341,20
5,0.712894540261149,0.00388029383555753,0.0929236861008816,20
9,0.712803130409865,0.00395814969237031,0.093080804145664,20
20,0.712735086142657,0.00401539816244046,0.0931931265242561,20
50,0.712700053410354,0.00404463252903227,0.0932493031149401,20
100,0.71268813846007,0.00405454066200218,0.0932681603888335,20
