"value","metric","direction","branch"
0.5,5414604.23132914,"Forward","max"
0.51,5824716.15851076,"Forward","max"
0.52,6945404.80927934,"Forward","max"
0.53,7861101.46666877,"Forward","max"
0.54,8664296.26259582,"Forward","max"
0.55,9478968.29455453,"Forward","max"
0.56,10301811.9203197,"Forward","max"
0.57,11114163.6375277,"Forward","max"
0.58,11916518.512451,"Forward","max"
0.59,12747639.7109814,"Forward","max"
0.6,13563246.0929075,"Forward","max"
0.61,14408667.5471024,"Forward","max"
0.62,15249773.0453855,"Forward","max"
0.63,16093647.0758965,"Forward","max"
0.64,16938101.6622274,"Forward","max"
0.65,17797118.6669807,"Forward","max"
0.66,18638528.8206971,"Forward","max"
0.67,19471957.639108,"Forward","max"
0.68,20309312.8766949,"Forward","max"
0.69,21121812.5060792,"Forward","max"
0.7,21928336.8919671,"Forward","max"
0.71,22718211.5535769,"Forward","max"
0.72,23465041.0943915,"Forward","max"
0.73,24203193.150733,"Forward","max"
0.74,24917518.6891962,"Forward","max"
0.75,25602781.3239114,"Forward","max"
0.76,26256972.1404838,"Forward","max"
0.77,26879120.2704272,"Forward","max"
0.78,27447970.1087297,"Forward","max"
0.79,28005327.2391711,"Forward","max"
0.8,28533043.8784997,"Forward","max"
0.81,29029059.887878,"Forward","max"
0.82,29493226.3663388,"Forward","max"
0.83,29925976.3929462,"Forward","max"
0.84,30328446.1373887,"Forward","max"
0.85,30699683.2335352,"Forward","max"
0.86,31042259.9329353,"Forward","max"
0.87,31355294.4567028,"Forward","max"
0.88,31640900.3266803,"Forward","max"
0.89,31899567.5664688,"Forward","max"
0.9,32132025.1710543,"Forward","max"
0.91,32341915.308427,"Forward","max"
0.92,32526904.77776,"Forward","max"
0.93,32687641.1657082,"Forward","max"
0.94,32824731.5413981,"Forward","max"
0.95,32938739.0347208,"Forward","max"
0.96,33030180.4536431,"Forward","max"
0.97,33099524.4191201,"Forward","max"
0.98,33147189.7781065,"Forward","max"
0.99,33173544.1273844,"Forward","max"
1,33178902.3045937,"Forward","max"
1.01,33163524.7138914,"Forward","max"
1.02,33127615.3591415,"Forward","max"
1.03,33071319.4588481,"Forward","max"
1.04,32994720.5142488,"Forward","max"
1.05,32897836.6947905,"Forward","max"
1.06,32780616.3935382,"Forward","max"
1.07,32642932.7880605,"Forward","max"
1.08,32477832.2336669,"Forward","max"
1.09,32297524.9015625,"Forward","max"
1.1,32096412.2913374,"Forward","max"
0.5,5414604.21261288,"Forward","min"
0.51,5758210.08570882,"Forward","min"
0.52,6722091.03507664,"Forward","min"
0.53,7737996.75589785,"Forward","min"
0.54,8534505.04562806,"Forward","min"
0.55,9345153.71608929,"Forward","min"
0.56,10181814.3807241,"Forward","min"
0.57,10996293.3040562,"Forward","min"
0.58,11812044.8519785,"Forward","min"
0.59,12650199.7248856,"Forward","min"
0.6,13480702.4647032,"Forward","min"
0.61,14328443.0484249,"Forward","min"
0.62,15169298.5483405,"Forward","min"
0.63,16027891.8249292,"Forward","min"
0.64,16859082.9576252,"Forward","min"
0.65,17717867.3157112,"Forward","min"
0.66,18578412.4880647,"Forward","min"
0.67,19380059.7907789,"Forward","min"
0.68,20218689.4049449,"Forward","min"
0.69,20985533.3934567,"Forward","min"
0.7,21795215.3297009,"Forward","min"
0.71,22591955.3959924,"Forward","min"
0.72,23366847.7491282,"Forward","min"
0.73,24108667.4738562,"Forward","min"
0.74,24828996.7086478,"Forward","min"
0.75,25521031.6118643,"Forward","min"
0.76,26182234.4522375,"Forward","min"
0.77,26811478.0214297,"Forward","min"
0.78,27353900.7493213,"Forward","min"
0.79,27917240.0095511,"Forward","min"
0.8,28452291.2188355,"Forward","min"
0.81,28956046.2709075,"Forward","min"
0.82,29427885.7663428,"Forward","min"
0.83,29868148.4990291,"Forward","min"
0.84,30309305.0361529,"Forward","min"
0.85,30655613.8794025,"Forward","min"
0.86,31030313.3557899,"Forward","min"
0.87,31345999.8042714,"Forward","min"
0.88,31628529.6309475,"Forward","min"
0.89,31884158.0332346,"Forward","min"
0.9,32113578.1709458,"Forward","min"
0.91,32317490.6495792,"Forward","min"
0.92,32496571.4815459,"Forward","min"
0.93,32651460.9374548,"Forward","min"
0.94,32782758.2398733,"Forward","min"
0.95,32891018.266873,"Forward","min"
0.96,32976749.115422,"Forward","min"
0.97,33040410.128569,"Forward","min"
0.98,33082410.1800078,"Forward","min"
0.99,33103106.0607122,"Forward","min"
1,33102800.8311647,"Forward","min"
1.01,33081742.012294,"Forward","min"
1.02,33040119.4929606,"Forward","min"
1.03,32978063.0324887,"Forward","min"
1.04,32895639.2334194,"Forward","min"
1.05,32792847.8520336,"Forward","min"
1.06,32669617.3020562,"Forward","min"
1.07,32482640.8304384,"Forward","min"
1.08,32314740.0617161,"Forward","min"
1.09,32128301.1351942,"Forward","min"
1.1,31920542.4203509,"Forward","min"
0.5,5710015.81993671,"Backward","max"
0.51,6566584.1685096,"Backward","max"
0.52,7359832.24748816,"Backward","max"
0.53,8170070.54127899,"Backward","max"
0.54,8951471.90798077,"Backward","max"
0.55,9753537.33579722,"Backward","max"
0.56,10558715.7702385,"Backward","max"
0.57,11367318.0624869,"Backward","max"
0.58,12170389.8479426,"Backward","max"
0.59,12951413.2302078,"Backward","max"
0.6,13801722.6151468,"Backward","max"
0.61,14648817.059867,"Backward","max"
0.62,15487481.9783383,"Backward","max"
0.63,16364888.0916681,"Backward","max"
0.64,17213361.8309602,"Backward","max"
0.65,18106917.6867406,"Backward","max"
0.66,18951426.0708765,"Backward","max"
0.67,19849340.8588228,"Backward","max"
0.68,20673566.1586047,"Backward","max"
0.69,21472467.9183608,"Backward","max"
0.7,22252958.9562633,"Backward","max"
0.71,23012095.3573167,"Backward","max"
0.72,23747323.0619594,"Backward","max"
0.73,24456509.7450924,"Backward","max"
0.74,25138002.2780308,"Backward","max"
0.75,25790944.6141629,"Backward","max"
0.76,26416036.9122954,"Backward","max"
0.77,27060702.5196044,"Backward","max"
0.78,27615879.6413149,"Backward","max"
0.79,28139964.6558798,"Backward","max"
0.8,28633073.5011084,"Backward","max"
0.81,29095512.6354431,"Backward","max"
0.82,29527769.416745,"Backward","max"
0.83,29931674.1233011,"Backward","max"
0.84,30275975.2068181,"Backward","max"
0.85,30650938.2777037,"Backward","max"
0.86,30947215.2222018,"Backward","max"
0.87,31246263.1005552,"Backward","max"
0.88,31518480.9552601,"Backward","max"
0.89,31764548.1369468,"Backward","max"
0.9,31985126.688274,"Backward","max"
0.91,32180853.5783294,"Backward","max"
0.92,32352334.4314662,"Backward","max"
0.93,32500138.4695101,"Backward","max"
0.94,32624794.4146878,"Backward","max"
0.95,32726787.1266299,"Backward","max"
0.96,32806554.7695324,"Backward","max"
0.97,32864486.324687,"Backward","max"
0.98,32900919.2791321,"Backward","max"
0.99,32916137.3342102,"Backward","max"
1,32910367.9972693,"Backward","max"
1.01,32883780.0055675,"Backward","max"
1.02,32836481.07761,"Backward","max"
1.03,32768520.0848492,"Backward","max"
1.04,32679922.0618505,"Backward","max"
1.05,32570956.1318621,"Backward","max"
1.06,32444109.5578818,"Backward","max"
1.07,32331402.7290046,"Backward","max"
1.08,32159691.3964948,"Backward","max"
1.09,31979524.0987174,"Backward","max"
1.1,31905685.9146805,"Backward","max"
0.5,5570358.49719604,"Backward","min"
0.51,6409555.46906368,"Backward","min"
0.52,7226114.74369902,"Backward","min"
0.53,8034162.43510612,"Backward","min"
0.54,8837718.7929904,"Backward","min"
0.55,9640549.99723279,"Backward","min"
0.56,10446527.4432033,"Backward","min"
0.57,11269034.7015454,"Backward","min"
0.58,12093663.5832512,"Backward","min"
0.59,12874360.1727952,"Backward","min"
0.6,13727818.1371381,"Backward","min"
0.61,14570238.3733971,"Backward","min"
0.62,15421750.5840623,"Backward","min"
0.63,16281370.1818833,"Backward","min"
0.64,17145930.541673,"Backward","min"
0.65,18006521.674164,"Backward","min"
0.66,18851803.4233311,"Backward","min"
0.67,19702775.9957428,"Backward","min"
0.68,20529311.0957104,"Backward","min"
0.69,21361778.5708747,"Backward","min"
0.7,22147730.7948263,"Backward","min"
0.71,22912758.7608388,"Backward","min"
