"fish_level","mean_total","min_total","mean_selected","mean_juvenile","mean_yield","rel_amplitude","knife_edge_size"
1,0.339716245896367,0.261942706376364,0.00620320961202361,0.333513036284344,0.0733469895631001,0.421229260220607,3
2,0.378817938533953,0.180819390460763,0.00431410372064181,0.374503834813312,0.0916804661681524,0.913611636800668,3
3,0.49671457171012,0.351627054855908,0.00197162491472333,0.494742946795397,0.0533721631550359,0.447784275182564,3
5,0.53647571753123,0.431084762169496,0.000987079980916338,0.535488637550314,0.0637176915822411,0.280324782556204,3
9,0.375874757186877,0.0263195078741486,0.000673054830445137,0.375201702356432,0.116824318013816,1.80291808751177,3
20,0.129974092403655,0.00388601723345968,0.000204007363125344,0.129770085040529,0.320825803845727,1.93122027294462,3
50,1.27197943054073e-05,1.33584853303898e-07,2.07225461678782e-08,1.26990717592394e-05,0.000127274286199913,1.99335840382025,3
100,3.95400381948976e-14,2.17167974819623e-29,1.53926905393425e-18,3.95384989258437e-14,5.69576690626232e-13,2,3
1,0.334594040266204,0.298764179018647,0.00701931315120035,0.327574727115004,0.033794031307927,0.207451175111906,5
2,0.329481837878952,0.236185360021019,0.00530582913541391,0.324176008743538,0.0596034439680183,0.510820150743668,5
3,0.353954863283937,0.18575645369842,0.00424892588330253,0.349705937400634,0.0713294260333066,0.833978037440381,5
5,0.463389480815202,0.305776310681205,0.00155876767946496,0.461830713135737,0.0455009361567371,0.53690156053062,5
9,0.460571566072574,0.288402196810742,0.000508639335844479,0.460062926736729,0.0528521328058702,0.595180185416088,5
20,0.256407657728252,0.0118074311401103,0.000303817694013069,0.256103840034239,0.146949812828977,1.87504345252941,5
50,0.0693076042825347,0.056313903290271,0.0001572738107681,0.0691503304717666,0.387189899696819,0.404467970885703,5
100,0.000387784447426316,4.99901575402385e-05,2.72007941074334e-07,0.000387512439485242,0.00352091162485415,1.87688724657474,5
1,0.340211178131526,0.310080321832534,0.00799218475164707,0.332218993379879,0.0186370141671159,0.152533466298262,7
2,0.322540424035683,0.284881726481609,0.00629177067099694,0.316248653364686,0.0344319877297409,0.232035670175311,7
3,0.317086422696476,0.252075612620261,0.00515005253224753,0.311936370164229,0.0475467550529813,0.379865542770915,7
5,0.328988811354343,0.196242732365906,0.00379322388679072,0.325195587467552,0.064953698073441,0.706571593991246,7
9,0.355067928295281,0.131265173622269,0.00228880901905134,0.35277911927623,0.0797926304538498,1.12547441096487,7
20,0.335390765829792,0.0635067382246799,0.00067275529408479,0.334718010535707,0.0945358635414555,1.49342481130258,7
50,0.209038893532895,0.0325826642755595,0.000163505111680803,0.208875388421214,0.170532794155223,1.59361199849365,7
100,0.124565224190067,0.0755166912548826,6.09982343098677e-05,0.124504225955757,0.364180482198447,0.724883792873669,7
1,0.351257671060751,0.321200809993366,0.00914388397721602,0.342113787083535,0.00914388397721602,0.13247089387155,10
2,0.339898203403458,0.313873227989443,0.00800001783113785,0.331898185572321,0.0160000356622757,0.137792728194842,10
3,0.331185534275264,0.307359335618839,0.00716499648300599,0.324020537792258,0.021494989449018,0.149181991571965,10
5,0.320382835251875,0.286082774069461,0.00599842266942252,0.314384412582453,0.0299921133471126,0.215594542508409,10
9,0.313112288869169,0.258113882797187,0.0044931015411308,0.308619187328038,0.0404379138701772,0.326294142283739,10
20,0.311126226272723,0.221839992839591,0.0026544855061607,0.308471740766563,0.053089710123214,0.499767017740922,10
50,0.309736417919498,0.191649914915582,0.00126735601349485,0.308469061906003,0.0633678006747424,0.64783988703698,10
100,0.306805681144554,0.178269389976536,0.000676479835075323,0.306129201309479,0.0676479835075323,0.70803880392538,10
1,0.364816862654161,0.335949995643467,0.0105808650170468,0.354235997637114,0.00103910660150853,0.115686962736949,15
2,0.363929592446822,0.334818387920535,0.0104844303347564,0.353445162112066,0.00179040308342056,0.117299101442725,15
3,0.363252404467471,0.334013813594677,0.0104103767356172,0.352842027731854,0.00235637537965924,0.118372154502683,15
5,0.362288521825438,0.332965110960484,0.0103045572043426,0.351983964621095,0.00314856887829139,0.119592992648502,15
9,0.361166884044211,0.331897974763488,0.010181281771943,0.350985602272268,0.00404710825505403,0.120843833029666,15
20,0.359913947181112,0.330910602512728,0.0100441867434849,0.349869760437627,0.0050164874008563,0.121616287294958,15
50,0.359037016707948,0.330349386483246,0.00994909722389024,0.349087919484057,0.00567121783944841,0.121937961157143,15
100,0.358688422819951,0.330155518156069,0.00991157329425149,0.3487768495257,0.00592580703769908,0.121939723435778,15
1,0.366000956615896,0.337560773427981,0.010706160405184,0.355294796210712,4.72666328806703e-05,0.113490302848686,20
2,0.365980042488924,0.337516261375529,0.0107023811520052,0.355277661336919,8.37733358095109e-05,0.113589944179882,20
3,0.365963251817732,0.337481393085264,0.0106993540075126,0.355263897810219,0.000112768263844316,0.1136662679052,20
5,0.365937986095112,0.337430402146267,0.0106948153749119,0.3552431707202,0.000155826616782284,0.113774884040828,20
9,0.365906314225488,0.33736900649141,0.010689163446854,0.355217150778634,0.000208747231584206,0.113900429900411,20
20,0.365867574840153,0.337297700654863,0.0106823254788403,0.355185249361313,0.000271728774651547,0.114038139262278,20
50,0.365837996108723,0.337245985688778,0.0106771735728786,0.355160822535844,0.00031842349041493,0.114131933354454,20
100,0.365825601060114,0.337224990027722,0.0106750349211999,0.355150566138914,0.000337616518309789,0.114168441403903,20
