"resource_decrease","direction","dead_below","alive_above"
1e-04,"Backward",1,1.1531864743933
1e-04,"Forward",2.71204430248488,3.12749280758097
0.000840896415253715,"Backward",1.1531864743933,1.32983904472365
0.000840896415253715,"Forward",1.7684718848715,2.03937785797864
0.00707106781186548,"Backward",1.1531864743933,1.32983904472365
0.00707106781186548,"Forward",1.53355239949542,1.7684718848715
0.0594603557501361,"Backward",1,1.1531864743933
0.0594603557501361,"Forward",1.53355239949542,1.7684718848715
0.5,"Backward",1,1.1531864743933
0.5,"Forward",1.53355239949542,1.7684718848715
