"param","value","catchable_fraction","error"
"kappa",0.001,1.35101646697729e-06,NA
"kappa",0.00163789370695406,3.25348141087428e-06,NA
"kappa",0.00268269579527973,4.35485469144226e-06,NA
"kappa",0.00439397056076079,1.76272861163677e-05,NA
"kappa",0.00719685673001152,4.77990054748043e-05,NA
"kappa",0.0117876863479359,0.000121109347024754,NA
"kappa",0.0193069772888325,9.95899922782322e-05,NA
"kappa",0.0316227766016838,0.00015809676052549,NA
"kappa",0.0517947467923121,0.000394271713603551,NA
"kappa",0.0848342898244072,0.000359506127039536,NA
"kappa",0.138949549437314,0.000396200865487218,NA
"kappa",0.227584592607479,0.000422351389121634,NA
"kappa",0.372759372031494,0.000451969024343526,NA
"kappa",0.610540229658533,0.000478528499425638,NA
"kappa",1,0.000495661111031909,NA
