"fish_level","mean_total","mean_yield","conv_type","conv_years","fraction_of_unfished"
21,1.11437935996046,0.0385325269569649,"steady",23,0.894166583956999
22,1.10768349195671,0.03749526210447,"steady",23.8,0.888793888055894
23,1.09941403055224,0.0364794582610446,"steady",24.6,0.882158556928206
24,1.08914638357531,0.0354863551674264,"steady",25.4,0.873919902164388
25,1.07401499559955,0.0341770386210531,"steady",26.6,0.861778631441916
26,1.05437686442633,0.0329222492039693,"steady",27.8,0.846021196139922
27,1.02203680679739,0.0312765417853437,"steady",29.6,0.820071865154405
28,0.719753584530481,0.0232545952455364,"steady",45.4,0.577522903863962
29,0.670277865156974,0.0225876180544229,"steady",47.2,0.537824093413458
