"rel_amplitude","mean_yield","window","fish_level","schedule","mean_effort","resource_decrease","n_peaks","n_troughs"
0.757538559011931,6.89366920320268e-06,NA,0.2,"Constant",0.2,0.005,34,34
0.730462730397049,1.31817505657052e-05,NA,0.4,"Constant",0.4,0.005,34,34
0.695686452170188,1.88505620952533e-05,NA,0.6,"Constant",0.6,0.005,34,34
0.649358010579016,2.39604217761997e-05,NA,0.8,"Constant",0.8,0.005,34,34
0.586426550450847,2.88253038208962e-05,NA,1,"Constant",1,0.005,34,34
0.744583940566474,1.77587400826171e-06,0.5,0.2,"Peaks only",0.0407185628742515,0.005,34,34
0.803995720904679,1.2096387360371e-06,0.5,0.2,"Troughs only",0.0407185628742515,0.005,34,34
0.786002655891423,2.75612331232129e-06,1,0.2,"Peaks only",0.0678642714570858,0.005,34,34
0.864204828003203,2.11053380387297e-06,1,0.2,"Troughs only",0.0678642714570858,0.005,34,34
0.828127807150345,3.47012799019636e-06,1.5,0.2,"Peaks only",0.0950099800399202,0.005,34,34
0.869247379148881,3.22206414544843e-06,1.5,0.2,"Troughs only",0.0950099800399202,0.005,34,34
0.785210074487277,4.50216037535532e-06,2,0.2,"Peaks only",0.125748502994012,0.005,34,34
0.843923885004021,5.08808170519319e-06,2,0.2,"Troughs only",0.148502994011976,0.005,34,34
0.753122281894322,5.14310593286263e-06,2.5,0.2,"Peaks only",0.139321357285429,0.005,34,34
0.841917259075559,5.72283788476746e-06,2.5,0.2,"Troughs only",0.16686626746507,0.005,34,34
0.738466019464616,5.8495842747697e-06,3,0.2,"Peaks only",0.15249500998004,0.005,34,34
0.830811553018147,6.18778740452328e-06,3,0.2,"Troughs only",0.180838323353293,0.005,34,34
0.82153217381527,3.27312413661357e-06,0.5,0.4,"Peaks only",0.081437125748503,0.005,34,34
0.878994248041371,2.59605944804713e-06,0.5,0.4,"Troughs only",0.081437125748503,0.005,34,34
0.907363665993383,4.20525169847438e-06,1,0.4,"Peaks only",0.135728542914172,0.005,34,34
0.820836741586288,4.56836409143775e-06,1,0.4,"Troughs only",0.135728542914172,0.005,34,34
0.940547145770416,5.71556531247611e-06,1.5,0.4,"Peaks only",0.19001996007984,0.005,34,34
0.839215229533067,6.4330315672804e-06,1.5,0.4,"Troughs only",0.19001996007984,0.005,34,34
0.885668682954847,7.85516426812197e-06,2,0.4,"Peaks only",0.251497005988024,0.005,34,34
0.81263028530639,9.96034744407184e-06,2,0.4,"Troughs only",0.297005988023952,0.005,34,34
0.83884736063825,8.82380133741651e-06,2.5,0.4,"Peaks only",0.278642714570858,0.005,34,34
0.790831369018642,1.12124784964311e-05,2.5,0.4,"Troughs only",0.33373253493014,0.005,34,34
