"rel_amplitude","mean_yield","threshold_frac","threshold_bp","fish_level","schedule","mean_effort","background_level","effective_window","n_bursts"
1.50662238988076,0.0115270890327982,NA,NA,1,"Constant",1,NA,NA,NA
1.60443091793619,0.0262348494358773,NA,NA,3,"Constant",3,NA,NA,NA
1.65288985705929,0.0337805674401443,NA,NA,5,"Constant",5,NA,NA,NA
1.70260341506245,0.038312125174419,NA,NA,7,"Constant",7,NA,NA,NA
1.74263959571608,0.0411495359160607,NA,NA,9,"Constant",9,NA,NA,NA
1.46868437731249,0.00763039954690914,0.5,0.010145178831359,1,"Threshold (peaks)",0.430948033164098,0,1.7,2
1.42040770378606,0.00406370713192316,0.5,0.010145178831359,1,"Threshold (troughs)",0.568326630480077,0,3.6,2
1.54201573551062,0.0169813084106353,0.5,0.010145178831359,3,"Threshold (peaks)",1.1058454972015,0,0.6,3
1.36852168855445,0.0120167474764242,0.5,0.010145178831359,3,"Threshold (troughs)",2.18158870302026,0,5.8,1
1.63140532495052,0.0216249721468298,0.5,0.010145178831359,5,"Threshold (peaks)",1.53474383300637,0,1,1
1.4179934074684,0.0172962542026147,0.5,0.010145178831359,5,"Threshold (troughs)",4.00863115468904,0,6,1
1.66033052170359,0.023806873640813,0.5,0.010145178831359,7,"Threshold (peaks)",1.80891056732362,0,0.8,1
1.41407539896651,0.020810983147906,0.5,0.010145178831359,7,"Threshold (troughs)",5.87202605948455,0,6,1
1.73884178009384,0.025333694908322,0.5,0.010145178831359,9,"Threshold (peaks)",2.02812684867516,0,0.8,1
1.39345569893591,0.0233164887581258,0.5,0.010145178831359,9,"Threshold (troughs)",7.77377577105129,0,6.2,1
