"resource_decrease","capacity_mult","effort","spectral_radius","stable","hopf_period","bifurcation_type","error"
0.001,1,0,0.761250163324107,TRUE,191.590430511347,"stable",NA
0.001,1.39495079396242,0,0.76125016332411,TRUE,124.224010504443,"stable",NA
0.001,1.94588771757639,0,0.761250163324108,TRUE,65.5620029398906,"stable",NA
0.001,2.71441761659491,0,0.76125016332411,TRUE,46.2870563831612,"stable",NA
0.001,3.78647900941465,0,0.761250163324107,TRUE,97.7236690836644,"stable",NA
0.001,5.281951900505,0,0.761250163324109,TRUE,39.3671303243999,"stable",NA
0.001,7.36806299728077,0,0.761250163324109,TRUE,82.6078399336534,"stable",NA
0.001,10.2780853280219,0,0.761250163324101,TRUE,177.937535218503,"stable",NA
0.001,14.3374232887377,0,0.761250163324095,TRUE,92.8467923458684,"stable",NA
0.001,20,0,0.761250163324105,TRUE,41.525439850629,"stable",NA
0.00187381742286038,1,0,0.761250163324111,TRUE,97.8911128305636,"stable",NA
0.00187381742286038,1.39495079396242,0,0.76125016332411,TRUE,76.4777303097763,"stable",NA
0.00187381742286038,1.94588771757639,0,0.761250163324106,TRUE,50.3269460649968,"stable",NA
0.00187381742286038,2.71441761659491,0,0.761250163324107,TRUE,93.4413115778068,"stable",NA
0.00187381742286038,3.78647900941465,0,0.761250163324108,TRUE,45.2182671328898,"stable",NA
0.00187381742286038,5.281951900505,0,0.761250163324108,TRUE,86.4846093338791,"stable",NA
0.00187381742286038,7.36806299728077,0,0.761250163324111,TRUE,41.8642937319102,"stable",NA
0.00187381742286038,10.2780853280219,0,0.761250163324106,TRUE,40.4175116631555,"stable",NA
0.00187381742286038,14.3374232887377,0,0.761250163324108,TRUE,60.47499212112,"stable",NA
0.00187381742286038,20,0,0.761250163324101,TRUE,32.1910534031683,"stable",NA
0.00351119173421513,1,0,0.761250163324107,TRUE,69.0078651017739,"stable",NA
0.00351119173421513,1.39495079396242,0,0.76125016332411,TRUE,100.061711498392,"stable",NA
0.00351119173421513,1.94588771757639,0,0.761250163324105,TRUE,81.6630427426032,"stable",NA
0.00351119173421513,2.71441761659491,0,0.761250163324102,TRUE,54.3562477478331,"stable",NA
0.00351119173421513,3.78647900941465,0,0.761250163324111,TRUE,41.8480987663349,"stable",NA
0.00351119173421513,5.281951900505,0,0.761250163324103,TRUE,146.356592537815,"stable",NA
0.00351119173421513,7.36806299728077,0,0.761250163324104,TRUE,57.4762104238833,"stable",NA
