"min_total","mean_total","mean_selected","mean_juvenile","mean_yield","rel_amplitude","knife_edge_size","schedule","boost_level","mean_effort","effective_window","n_bursts","trigger"
0.337080891006914,0.605140602730273,0.0563113321488412,0.548829270581432,0.112622664297682,0.694350500972293,10,"Constant",NA,2,NA,NA,"n/a"
0.208765131161279,0.636601843451821,0.0314315745638823,0.605170268887939,0.119018175259087,1.12352621579017,10,"Threshold (peaks)",9,3.26363311042419,1.6,1,"selected"
0.338791926969922,0.576149862333293,0.031988587149788,0.544161275183505,0.121039934394017,0.635155655322895,10,"Threshold (troughs)",9,7.36034805323805,NA,0,"selected"
0.338163350564092,0.588741032604914,0.0463442334400564,0.542396799164857,0.116416248436463,0.648316519643092,10,"Threshold (peaks, total)",9,3.88926025900056,NA,0,"total"
0.196071892372203,0.641174016844655,0.0285737238685838,0.612600292976072,0.121139453846017,1.17420281193233,10,"Threshold (troughs, total)",9,4.31128723726286,NA,0,"total"
