"theta","interaction_resource","unfished_cycle_ratio","growth_recovery_w0.01","growth_recovery_w1","growth_recovery_w10","growth_recovery_w30","total_unfished","total_at_effort10","mean_yield_at_effort10","fishing_sensitivity"
1,1,118074576.788558,1,1,1,1,0.275128494507167,0.395928328858355,0.0482535643964938,-0.439066969662934
1,1.3,98613528.9740667,1.41919476283259,2.58858388500154,0.978366972546864,0.938809884785413,0.251576281022368,0.364778175583294,0.0585086896939434,-0.449970458665222
1,2,15349713.8773786,2.0663912423217,2.89664024735125,0.975223849136604,0.95464985211181,0.260998481387625,0.19832373195421,0.0656732689248158,0.240134536799595
1,3,19011480.5384669,2.64330545344634,0.454096029006185,2.18293446674125,2.24191311027012,0.396334743811521,0.246930039941506,0.035451696390925,0.376965951642798
1,5,14587533.9722392,2.8447400351814,0.243509170221938,3.20375438923475,4.4904934171824,0.453458965410889,0.66055194605528,0.0514485222878893,-0.456696187397551
0.7,1,105701465.004189,0.924062654220315,0.413151025334899,1.08820567407597,1.10003785686324,0.279578744198034,0.430717190338715,0.050092276437747,-0.540593479573056
0.7,1.3,73818176.4344812,1.30653576489485,1.33918139777852,1.10127607333507,1.10034502468226,0.270687091833492,0.350089720957216,0.059312756513604,-0.293337331255409
0.7,2,36858216.3944997,1.99845264980189,1.93467319244359,1.3115777878367,1.32535367694856,0.346198518120443,0.229078245639157,0.0461806007265496,0.338303794935772
0.7,3,13582355.6283002,2.19247439971586,0.150147193904066,2.55492316256138,2.64602155042422,0.514830966649703,0.395905067705237,0.0340956648085076,0.230999894428231
0.7,5,14812687.6984304,2.10130953976765,0.282551273581834,3.12437407284709,4.25946842510668,0.387136463920815,0.729861122559452,0.0573783114160548,-0.885281265338876
0.5,1,93176464.1102297,0.848846510684898,0.290522041750688,1.08378123448388,1.09939711120013,0.283668678380696,0.476527829218069,0.0273328061260246,-0.679874676112629
0.5,1.3,21885157.7633086,1.28974233278544,2.27346774875919,0.812820648003776,0.778115154463801,0.302759021365433,0.321303195044422,0.0559302362691084,-0.0612506064901235
0.5,2,20371709.3316851,1.728642173137,0.229054831662101,1.75794429971472,1.80576119098775,0.440594406654923,0.276874079976184,0.0351456360234086,0.371589662069783
0.5,3,11969911.9035836,1.78838884496275,0.315574502060773,2.58148263153118,3.13513432722267,0.558608610153735,0.687189652896099,0.0482442031174373,-0.230180918097515
0.5,5,14726862.89848,1.62738156849029,0.338275696211772,3.30383245025198,3.77647813983364,0.369762364869571,0.689645389734946,0.0598642814806308,-0.865104335261945
0.3,1,26501895.6067723,1.08117875350222,2.27081525933063,0.781771469240184,0.728697576562216,0.361828095492092,0.426607339222031,0.0510766555799773,-0.17903320537295
0.3,1.3,51710339.853246,1.14372324300048,0.228189393310932,1.36152354775066,1.39310395182155,0.45669079490707,0.312478593997579,0.04223775218184,0.315776456450881
0.3,2,11994854.8922103,1.33707488928611,0.234971364763992,2.04218835945311,2.14218802877972,0.590388782205094,0.57487740288582,0.0344555856105597,0.0262731606473603
0.3,3,11656360.1754915,1.21806006160158,0.395329780268519,2.57683158679397,3.30271900376857,0.513529593693669,0.808607647708642,0.0600273359408676,-0.574607690849057
0.3,5,14976243.5342714,1.21590751114918,0.413466080737881,3.16907887592546,3.39051695786586,0.38742461619934,0.611332467952371,0.0623837085704492,-0.577939145812623
0.1,1,42067068.6303642,0.694999386299809,0.292001039183153,1.30063324613435,1.35570309896041,0.57161936139135,0.512665778025077,0.0185214365062265,0.103134336147707
0.1,1.3,13428148.2416605,0.78302628974225,0.308045736210055,1.5616276818535,1.70665852454487,0.642428232104785,0.823666169755334,0.0332017425434489,-0.282113905636992
0.1,2,10205905.5559613,0.702662124578267,0.516122583466836,2.15736028514725,2.43975566553193,0.64034123302148,0.891307762453889,0.0609506390767125,-0.391926236341538
0.1,3,11280931.1980588,0.684034373953722,0.518770683182852,2.55655702826916,2.6891886065074,0.538747673313232,0.750560607748229,0.0675249059559845,-0.393157956733944
0.1,5,17261477.5109054,0.828226792577278,0.50157855316687,2.91871345040874,3.02670444179994,0.476253489824037,0.640956667943788,0.0633398616427076,-0.345830910720683
