"tau","max_N","min_N","max_P","min_P","rel_amplitude_P"
0,0.600000000047549,0.600000000000002,0.666666666666663,0.666666666544905,1.82637738268486e-10
0.5,0.600000000419957,0.600000000000001,0.666666666666663,0.666666665583285,1.62506808028962e-09
1,0.600000002803365,0.600000000000006,0.666666666666651,0.666666659387747,1.09183560618353e-08
2,0.600000061947324,0.600000000001032,0.666666666663958,0.666666504108165,2.4383369399782e-07
5,0.600016716876317,0.600000010568607,0.666666638394179,0.666621944882667,6.70408784229359e-05
10,0.600976591158359,0.600009311001121,0.666641405666295,0.664021264536199,0.00393354303599609
20,0.618187945154535,0.601319848554706,0.663057452430744,0.618293987220449,0.0689450757176492
40,0.684840742928663,0.627040973935716,0.59568038132699,0.462194230919712,0.249500393109011
