"theta","interaction_resource","unfished_cycle_ratio","growth_recovery_w0.01","growth_recovery_w1","growth_recovery_w10","growth_recovery_w30","total_unfished","total_at_effort10","mean_yield_at_effort10","fishing_sensitivity"
1,1,34243217.7769774,1.09995820532965,3.61315799569285,0.25523354093165,0.0971962791449502,0.472253665412901,0.608366558512636,0.0838919351940875,-0.2882198764529
1,1.3,34013416.8697224,1.43043964643,4.18876223023106,0.107322224019365,0.0733947624661623,0.499506741230513,0.538199534002678,0.0823706238526733,-0.0774620031690596
1,2,11156948.9078507,2.20098864072988,4.40002098352843,0.102128702981711,0.0889246660195799,0.508529985471803,0.480415408963579,0.0662007354222039,0.0552859758744401
1,3,10712702.7662841,3.13510065765443,3.27468065988846,0.129923120202857,0.121357954936993,0.508698664179377,0.546850927326336,0.0659960592160973,-0.0749997313409609
1,5,10340334.9801517,4.37123343962214,0.131683259267294,0.141276691854761,0.138972145298265,0.512953369499163,0.689450079114441,0.0775281327458993,-0.344079442908437
0.7,1,31034422.6572583,1.10037940673798,3.22805662082189,0.100964140978442,0.069507042465595,0.523922746750367,0.668200142233903,0.0695092879988439,-0.275379140108759
0.7,1.3,13020045.4820231,1.43078121592135,3.43607544534896,0.0884767442337614,0.0730532753048135,0.540556034724629,0.604689139440923,0.0685385783082818,-0.118642842918153
0.7,2,10517881.1416054,2.1868763646923,2.94217980939604,0.123797835964774,0.114268886408592,0.545599119807833,0.566587621030503,0.0689419863311549,-0.0384687226586111
0.7,3,10555580.147176,2.80033587126284,1.00174215253751,0.141790368961568,0.137224864410506,0.550154613307473,0.661736506208966,0.0807810643654148,-0.202819153384309
0.7,5,10082113.4890074,3.87329356643076,0.101222285301356,0.14152384041179,0.145743042013514,0.520585330602167,0.784160446522611,0.0819096639956382,-0.506305307557483
0.5,1,12777431.6540381,1.10060065919141,2.68939300834433,0.0867120204863554,0.0711557958587916,0.565178181905138,0.701287142703497,0.075823368683188,-0.240824867548062
0.5,1.3,10393188.0215598,1.43024346551019,2.59986825894695,0.110786341538262,0.0995129661670112,0.57781547622492,0.646153708910356,0.0789361502859991,-0.118269993617883
0.5,2,10387214.8843885,1.97616435676866,1.42978408518013,0.139196680884676,0.133305977989586,0.588316152309573,0.659617627720329,0.0843609218484809,-0.121195848747049
0.5,3,10357884.0299871,2.51574931026138,0.104057982827976,0.147583060416854,0.1477491146496,0.580107712984251,0.772860442546826,0.0917148437569153,-0.332270585700361
0.5,5,10003215.4022117,3.33706547020253,0.116627020568395,0.13887707738316,0.166198191539423,0.483478011709764,0.848926345825258,0.0837608482373408,-0.755873742475129
0.3,1,10146288.5924001,1.09833910100892,1.69932076289508,0.121289619741079,0.112139401952118,0.627266231768321,0.749786069147882,0.0890208525017454,-0.195323502485007
0.3,1.3,10129260.0467572,1.31201571646895,1.15186883874838,0.139686194150479,0.133890539475556,0.643888682240484,0.732129844374536,0.0981153573117887,-0.137044126675759
0.3,2,10235854.5204099,1.65090881191789,0.0976099639855571,0.153165686049599,0.154528258692728,0.648101867076164,0.817777424782264,0.103877119672338,-0.261803840299938
0.3,3,10102684.2144833,2.07372746517103,0.102462742137796,0.147726140909206,0.167087757446234,0.569065770167124,0.916535993970561,0.100540372792924,-0.610597653240314
0.3,5,9831911.81508707,2.5442444138077,0.167916459703186,0.146577283029576,0.28414532758655,0.430442467981305,0.857892799681771,0.0852886273579695,-0.993048696391711
0.1,1,10036677.8421169,0.759356083795883,0.0874908036191097,0.164309423253311,0.17162052401467,0.783061138016549,0.970456891145124,0.115639007255897,-0.239311777881403
0.1,1.3,10066779.5758349,0.854527769696346,0.0984881773801084,0.164044898405962,0.192261814429316,0.737117294848364,1.00203933745608,0.123253400632932,-0.35940283108161
0.1,2,10110787.7647528,0.97160124822619,0.13926185247898,0.165319976053367,0.272219069544737,0.590792035160555,1.05431814381789,0.11723055145852,-0.78458422096257
0.1,3,10142290.9712283,1.11823766922274,0.182088460220013,0.189155805007803,0.248405993634487,0.506183533069192,1.01189892444686,0.106558818767967,-0.999075154245564
0.1,5,10116242.6466625,1.42660462901485,0.21329806597886,0.211947857936419,0.224764974686574,0.447162745103434,0.895910724166238,0.088295342233176,-1.0035450939881
