"resource_decrease","capacity_mult","effort","spectral_radius","stable","hopf_period","bifurcation_type","error","species"
0.001,1,0,0.76125016332411,TRUE,185.737374596555,"stable",NA,"cod"
0.001,1.38691885653003,0,0.761250163324107,TRUE,153.875514138826,"stable",NA,"cod"
0.001,1.92354391459856,0,0.761250163324109,TRUE,109.038570978228,"stable",NA,"cod"
0.001,2.66779932652033,0,0.761250163324107,TRUE,65.8525342809247,"stable",NA,"cod"
0.001,3.70002119138915,0,0.761250163324106,TRUE,220.062423020689,"stable",NA,"cod"
0.001,5.13162915989831,0,0.761250163324107,TRUE,198.239270533675,"stable",NA,"cod"
0.001,7.11715324658232,0,0.761250163324105,TRUE,45.1284009324583,"stable",NA,"cod"
0.001,9.87091404249892,0,0.761250163324102,TRUE,109.739289337006,"stable",NA,"cod"
0.001,13.6901568167288,0,0.761250163324116,TRUE,42.3828566219898,"stable",NA,"cod"
0.001,18.9871366379743,0,0.761250163324109,TRUE,374.279640969254,"stable",NA,"cod"
0.001,26.3336178347187,0,0.761250163324103,TRUE,73.9573240820642,"stable",NA,"cod"
0.001,36.5225911356268,0,0.761250163324106,TRUE,55.7268633730185,"stable",NA,"cod"
0.001,50.6538703353372,0,0.76125016332411,TRUE,33.0917969893224,"stable",NA,"cod"
0.001,70.2528079243062,0,0.761250163324098,TRUE,94.1423039445519,"stable",NA,"cod"
0.001,97.4349440344024,0,0.7612501633241,TRUE,187.220373068132,"stable",NA,"cod"
0.001,135.134361166261,0,0.761250163324099,TRUE,48.9990665340836,"stable",NA,"cod"
0.001,187.420393666626,0,0.761250163324118,TRUE,260.862637900866,"stable",NA,"cod"
0.001,259.936878074525,0,0.761250163324099,TRUE,39.8498496517344,"stable",NA,"cod"
0.001,360.511357709105,0,0.761250163324101,TRUE,38.0358108164181,"stable",NA,"cod"
0.001,500,0,0.7612501633241,TRUE,42.4005655617504,"stable",NA,"cod"
0.001,1,0,0.34815716959073,TRUE,68.0392427038194,"stable",NA,"anchovy"
0.001,1.38691885653003,0,0.348157639491573,TRUE,141.265092086822,"stable",NA,"anchovy"
0.001,1.92354391459856,0,0.348154262152383,TRUE,126.317102461174,"stable",NA,"anchovy"
0.001,2.66779932652033,0,0.348154202102955,TRUE,75.0330357033211,"stable",NA,"anchovy"
0.001,3.70002119138915,0,0.348222431926533,TRUE,101.417163679485,"stable",NA,"anchovy"
0.001,5.13162915989831,0,0.348196418489816,TRUE,40.4083908237399,"stable",NA,"anchovy"
0.001,7.11715324658232,0,0.348105167539631,TRUE,62.9156411821971,"stable",NA,"anchovy"
0.001,9.87091404249892,0,0.364219190852078,TRUE,17.9648591476286,"stable",NA,"anchovy"
0.001,13.6901568167288,0,0.348157864209497,TRUE,58.2198999206479,"stable",NA,"anchovy"
0.001,18.9871366379743,0,0.348157864138443,TRUE,55.9693619156068,"stable",NA,"anchovy"
0.001,26.3336178347187,0,0.348157864067389,TRUE,32.4249588527564,"stable",NA,"anchovy"
0.001,36.5225911356268,0,0.348157864209497,TRUE,59.7777874566479,"stable",NA,"anchovy"
0.001,50.6538703353372,0,0.358188249496303,TRUE,40.861329279152,"stable",NA,"anchovy"
0.001,70.2528079243062,0,0.348157864777932,TRUE,71.9955196480563,"stable",NA,"anchovy"
0.001,97.4349440344024,0,0.348157864777932,TRUE,76.2743551350001,"stable",NA,"anchovy"
0.001,135.134361166261,0,0.348157865346366,TRUE,82.6196301793301,"stable",NA,"anchovy"
0.001,187.420393666626,0,0.348157865346366,TRUE,120.480123206022,"stable",NA,"anchovy"
0.001,259.936878074525,0,0.348157866483234,TRUE,156.84576387707,"stable",NA,"anchovy"
0.001,360.511357709105,0,0.348157866483234,TRUE,207.224958458786,"stable",NA,"anchovy"
0.001,500,0,0.356130336968491,TRUE,55.0140612902875,"stable",NA,"anchovy"
