"param","min_mean","max_mean","log10_range","max_rel_sd"
"alpha",3.24865424774936e-28,0.922991712409257,27.4534943093777,0.113630671050013
"gamma",6.22539741474777e-05,0.000466517414156791,0.874700778732307,0.399618793969129
"kappa",1.58266056506294e-06,0.00049566165281106,2.49579753948914,0.394170528118012
