"min_total","mean_total","mean_selected","mean_juvenile","mean_yield","rel_amplitude","knife_edge_size","schedule","boost_level","mean_effort","effective_window","n_bursts"
0.355944658213964,0.524288533695682,0.0597548003879033,0.464533733307778,0.159307612835478,0.524756873884793,5,"Constant",NA,1,NA,NA
0.24944147968697,0.620677889044599,0.040671671877093,0.580006217167506,0.134875947878714,0.978662558858854,5,"Threshold (peaks)",2,1.19295363393095,2.2,1
0.334794928058839,0.517521878246623,0.0394992164817919,0.478022661764831,0.158834947061313,0.560475133860654,5,"Threshold (troughs)",2,1.68122262504701,4.8,1
0.196815000989873,0.637369769410353,0.0417065440071497,0.595663225403203,0.136787407787854,1.1709578817231,5,"Threshold (peaks)",3,1.27978484874361,1.6,1
0.311435447857591,0.526265438222029,0.0266693649607098,0.499596073261319,0.151792824361846,0.653548806509421,5,"Threshold (troughs)",3,2.59896573218343,NA,0
0.182717950919293,0.641374668736501,0.0421319004701624,0.599242768266339,0.137918412340445,1.22546988883253,5,"Threshold (peaks)",4,1.32683256195107,1,1
0.294591165918657,0.539043773816098,0.0211765763007579,0.51786719751534,0.144110466042996,0.725584608018189,5,"Threshold (troughs)",4,3.50632469546725,NA,0
0.175097702295872,0.642681559486462,0.0422804819338947,0.600401077552568,0.137826677546008,1.25441384444061,5,"Threshold (peaks)",5,1.34601596386637,0.8,1
0.276058681613087,0.554564905482864,0.0186622565894682,0.535902648893396,0.139729440006914,0.80560348321036,5,"Threshold (troughs)",5,4.42813618974581,NA,0
0.168479945586618,0.643169421552708,0.0422769663284613,0.600892455224246,0.138186393239549,1.27869465328565,5,"Threshold (peaks)",6,1.35829782856911,0.6,1
0.228945661789841,0.585340478634531,0.0162762027252182,0.569064275909312,0.136188389475259,1.0057729508542,5,"Threshold (troughs)",6,5.41886942920975,NA,0
0.169217133218021,0.643446447224822,0.0422442197883314,0.60120222743649,0.138210512726266,1.27689509750312,5,"Threshold (peaks)",7,1.36444893445841,0.4,1
0.664633937629877,0.725193135563967,0.00160367320764851,0.723589462356319,0.0967299879330885,0.122281792032638,5,"Threshold (troughs)",7,6.99999999999951,NA,0
