"rel_amplitude","mean_yield","window","fish_level","schedule","mean_effort","background_level","resource_decrease","n_peaks","n_troughs"
0.757538559011931,6.89366920320268e-06,NA,0.2,"Constant",0.2,NA,0.005,34,34
0.560516327151343,3.038946749107e-05,NA,1.06666666666667,"Constant",1.06666666666667,NA,0.005,34,34
0.0582196525485441,4.82359183335144e-05,NA,1.93333333333333,"Constant",1.93333333333333,NA,0.005,34,34
0.000382837404563923,6.25008057822825e-05,NA,2.8,"Constant",2.8,NA,0.005,34,34
1.75295654066081e-05,7.36339455783491e-05,NA,3.66666666666667,"Constant",3.66666666666667,NA,0.005,34,34
1.12332612434365e-05,8.22154627046758e-05,NA,4.53333333333333,"Constant",4.53333333333333,NA,0.005,34,34
1.22761053449269e-05,8.86599740004543e-05,NA,5.4,"Constant",5.4,NA,0.005,34,34
1.28869788434877e-05,9.32986085927388e-05,NA,6.26666666666667,"Constant",6.26666666666667,NA,0.005,34,34
1.3370970784456e-05,9.64030135112225e-05,NA,7.13333333333333,"Constant",7.13333333333333,NA,0.005,34,34
1.31027994425002e-05,9.81991155325297e-05,NA,8,"Constant",8,NA,0.005,34,34
0.755154858567156,3.82081234876601e-06,0.1,0.2,"Peaks only",0.106786427145709,0.1,0.005,34,34
0.775489379465922,3.72299884958687e-06,0.1,0.2,"Troughs only",0.106786427145709,0.1,0.005,34,34
0.731485845343246,4.40970592247855e-06,0.5,0.2,"Peaks only",0.120359281437126,0.1,0.005,34,34
0.791885521351597,4.1210988172011e-06,0.5,0.2,"Troughs only",0.120359281437126,0.1,0.005,34,34
0.697758458758916,5.57457971913055e-06,1.5,0.2,"Peaks only",0.14750499001996,0.1,0.005,34,34
0.821673407068898,5.03073353809325e-06,1.5,0.2,"Troughs only",0.14750499001996,0.1,0.005,34,34
0.703850788294906,6.40824007352222e-06,3,0.2,"Peaks only",0.17624750499002,0.1,0.005,34,34
0.796548176451535,6.49858619251851e-06,3,0.2,"Troughs only",0.190419161676647,0.1,0.005,34,34
0.757538559011931,6.8828444313688e-06,6,0.2,"Peaks only",0.199800399201597,0.1,0.005,34,34
0.757538559011931,6.89366920320268e-06,6,0.2,"Troughs only",0.2,0.1,0.005,34,34
0.757538559011931,6.89366920320268e-06,9,0.2,"Peaks only",0.2,0.1,0.005,34,34
0.757538559011931,6.89366920320268e-06,9,0.2,"Troughs only",0.2,0.1,0.005,34,34
0.729897342576697,6.27645023392147e-06,0.1,1.06666666666667,"Peaks only",0.165602129075183,0.1,0.005,34,34
0.849608552295969,5.69651145375703e-06,0.1,1.06666666666667,"Troughs only",0.165602129075183,0.1,0.005,34,34
0.987326489283313,8.66609221441744e-06,0.5,1.06666666666667,"Peaks only",0.296806387225549,0.1,0.005,34,34
