"resource_decrease","capacity_mult","rel_amplitude","perturbed_verdict","error","species"
0.001,1,4.21755726170646e-07,"settled",NA,"cod"
0.00187381742286038,1,6.33619676318592e-07,"settled",NA,"cod"
0.00351119173421513,1,4.59027746604256e-07,"settled",NA,"cod"
0.00657933224657568,1,2.47910633907932e-07,"settled",NA,"cod"
0.0123284673944207,1,1.23687510499616e-07,"settled",NA,"cod"
0.0231012970008316,1,6.30564635439462e-08,"settled",NA,"cod"
0.0432876128108306,1,3.28623504162699e-08,"settled",NA,"cod"
0.0811130830789687,1,1.73773088806526e-08,"settled",NA,"cod"
0.151991108295293,1,9.27000849024871e-09,"settled",NA,"cod"
0.28480358684358,1,4.96512173324161e-09,"settled",NA,"cod"
0.533669923120631,1,2.65403678577501e-09,"settled",NA,"cod"
1,1,1.39792382739583e-09,"settled",NA,"cod"
0.001,1.39495079396242,1.37924233240276e-07,"settled",NA,"cod"
0.00187381742286038,1.39495079396242,8.11103377961104e-08,"settled",NA,"cod"
0.00351119173421513,1.39495079396242,4.02822789788071e-08,"settled",NA,"cod"
0.00657933224657568,1.39495079396242,2.02349212712043e-08,"settled",NA,"cod"
0.0123284673944207,1.39495079396242,1.04195713823362e-08,"settled",NA,"cod"
0.0231012970008316,1.39495079396242,5.45613703431649e-09,"settled",NA,"cod"
0.0432876128108306,1.39495079396242,2.88685190260065e-09,"settled",NA,"cod"
0.0811130830789687,1.39495079396242,1.53564908574335e-09,"settled",NA,"cod"
0.151991108295293,1.39495079396242,8.16781937108765e-10,"settled",NA,"cod"
0.28480358684358,1.39495079396242,4.29860977498205e-10,"settled",NA,"cod"
0.533669923120631,1.39495079396242,2.18153924545858e-10,"settled",NA,"cod"
1,1.39495079396242,1.00471380962165e-10,"settled",NA,"cod"
0.001,1.94588771757639,3.31766318492449e-08,"settled",NA,"cod"
0.00187381742286038,1.94588771757639,1.65020237992098e-08,"settled",NA,"cod"
0.00351119173421513,1.94588771757639,8.25786346707162e-09,"settled",NA,"cod"
0.00657933224657568,1.94588771757639,4.23961428161951e-09,"settled",NA,"cod"
0.0123284673944207,1.94588771757639,2.21495420949637e-09,"settled",NA,"cod"
0.0231012970008316,1.94588771757639,1.16976285607389e-09,"settled",NA,"cod"
0.0432876128108306,1.94588771757639,6.21303087007234e-10,"settled",NA,"cod"
0.0811130830789687,1.94588771757639,3.30086830833111e-10,"settled",NA,"cod"
0.151991108295293,1.94588771757639,1.73664398049149e-10,"settled",NA,"cod"
0.28480358684358,1.94588771757639,8.827662944622e-11,"settled",NA,"cod"
0.533669923120631,1.94588771757639,4.08799438442816e-11,"settled",NA,"cod"
1,1.94588771757639,1.54434112494803e-11,"settled",NA,"cod"
0.001,2.71441761659491,8.71276972171855e-09,"settled",NA,"cod"
0.00187381742286038,2.71441761659491,4.32008594004796e-09,"settled",NA,"cod"
0.00351119173421513,2.71441761659491,2.20132554661508e-09,"settled",NA,"cod"
0.00657933224657568,2.71441761659491,1.14431816206898e-09,"settled",NA,"cod"
0.0123284673944207,2.71441761659491,6.0240983797857e-10,"settled",NA,"cod"
0.0231012970008316,2.71441761659491,3.19399301717433e-10,"settled",NA,"cod"
0.0432876128108306,2.71441761659491,1.69695880215065e-10,"settled",NA,"cod"
0.0811130830789687,2.71441761659491,8.96106421550783e-11,"settled",NA,"cod"
0.151991108295293,2.71441761659491,4.61423391853257e-11,"settled",NA,"cod"
0.28480358684358,2.71441761659491,2.21063582732676e-11,"settled",NA,"cod"
0.533669923120631,2.71441761659491,8.94395116922852e-12,"settled",NA,"cod"
1,2.71441761659491,2.73624876923975e-12,"settled",NA,"cod"
0.001,3.78647900941465,2.18675715173193e-09,"settled",NA,"cod"
0.00187381742286038,3.78647900941465,1.10150208961589e-09,"settled",NA,"cod"
0.00351119173421513,3.78647900941465,5.68243992491046e-10,"settled",NA,"cod"
0.00657933224657568,3.78647900941465,2.97722487920713e-10,"settled",NA,"cod"
0.0123284673944207,3.78647900941465,1.5743434095993e-10,"settled",NA,"cod"
0.0231012970008316,3.78647900941465,8.35976849907778e-11,"settled",NA,"cod"
0.0432876128108306,3.78647900941465,4.42888622935113e-11,"settled",NA,"cod"
0.0811130830789687,3.78647900941465,2.30885507118009e-11,"settled",NA,"cod"
0.151991108295293,3.78647900941465,1.14465123155122e-11,"settled",NA,"cod"
0.28480358684358,3.78647900941465,4.99781632407053e-12,"settled",NA,"cod"
