"capacity_mult","direction","biomass","alive"
1.2,"Backward",3.6795548361008e-23,FALSE
1.23297428958885,"Backward",9.27540587858237e-13,FALSE
1.26685466565593,"Backward",3.82824458601946e-07,FALSE
1.3016660261662,"Backward",3.01577689477777e-05,TRUE
1.33743395324517,"Backward",0.000104645852925586,TRUE
1.37418473197872,"Backward",0.000181290280209431,TRUE
1.41194536972942,"Backward",0.00025821283413448,TRUE
1.45074361598366,"Backward",0.000335588818571131,TRUE
1.49060798274417,"Backward",0.000413595206991665,TRUE
1.53156776548288,"Backward",0.000492401540131699,TRUE
1.57365306466952,"Backward",0.000572170033855376,TRUE
1.61689480789184,"Backward",0.000653056386113975,TRUE
1.66132477258361,"Backward",0.000735210646536885,TRUE
1.70697560937719,"Backward",0.000818778043198643,TRUE
1.75388086609778,"Backward",0.000903899745506996,TRUE
1.80207501241698,"Backward",0.000990713561585826,TRUE
1.85159346518386,"Backward",0.00107935457395542,TRUE
1.90247261445202,"Backward",0.00116995571886806,TRUE
1.95474985022184,"Backward",0.00126264831493702,TRUE
2.00846358991765,"Backward",0.00135756254650704,TRUE
2.06365330661981,"Backward",0.00145482790684495,TRUE
2.1203595580727,"Backward",0.00155457360578265,TRUE
2.17862401648967,"Backward",0.00165692894522269,TRUE
2.23848949917712,"Backward",0.00176202359621674,TRUE
2.3,"Backward",0.00186996141518083,TRUE
1.2,"Forward",2.18758739193422e-15,FALSE
1.23297428958885,"Forward",3.44253138497372e-25,FALSE
1.26685466565593,"Forward",3.25953817184614e-30,FALSE
1.3016660261662,"Forward",6.81057116278898e-30,FALSE
1.33743395324517,"Forward",7.37320359123702e-24,FALSE
1.37418473197872,"Forward",2.18186460079618e-13,FALSE
1.41194536972942,"Forward",0.000268169052217676,TRUE
1.45074361598366,"Forward",0.000335539847529495,TRUE
1.49060798274417,"Forward",0.000413549317447475,TRUE
1.53156776548288,"Forward",0.000492358051399436,TRUE
1.57365306466952,"Forward",0.000572128524782415,TRUE
1.61689480789184,"Forward",0.00065301656617811,TRUE
1.66132477258361,"Forward",0.000735172299504143,TRUE
1.70697560937719,"Forward",0.000818740999333815,TRUE
1.75388086609778,"Forward",0.000903863866416638,TRUE
1.80207501241698,"Forward",0.000990678731269748,TRUE
1.85159346518386,"Forward",0.001079320693171,TRUE
1.90247261445202,"Forward",0.00116992270138433,TRUE
1.95474985022184,"Forward",0.00126261608492856,TRUE
2.00846358991765,"Forward",0.0013575310366691,TRUE
2.06365330661981,"Forward",0.00145479705698493,TRUE
2.1203595580727,"Forward",0.00155454336175519,TRUE
2.17862401648967,"Forward",0.00165689925893169,TRUE
2.23848949917712,"Forward",0.00176199449751943,TRUE
2.3,"Forward",0.00186995959238162,TRUE
