"rel_amplitude","mean_yield","threshold_frac","threshold_bp","fish_level","schedule","mean_effort","background_level","effective_window","n_bursts","resource_decrease"
0.757538559011931,6.89366920320268e-06,NA,NA,0.2,"Constant",0.2,NA,NA,NA,0.005
0.730462730397049,1.31817505657052e-05,NA,NA,0.4,"Constant",0.4,NA,NA,NA,0.005
0.695686452170188,1.88505620952533e-05,NA,NA,0.6,"Constant",0.6,NA,NA,NA,0.005
0.649358010579016,2.39604217761997e-05,NA,NA,0.8,"Constant",0.8,NA,NA,NA,0.005
0.586426550450847,2.88253038208962e-05,NA,NA,1,"Constant",1,NA,NA,NA,0.005
0.738133275471517,6.68560282060686e-06,0.05,1.63468270440339e-05,0.2,"Threshold (peaks)",0.187966574377151,0,7.34999999999999,4,0.005
0.803447595010844,2.85366287010323e-07,0.05,1.63468270440339e-05,0.2,"Threshold (troughs)",0.0177269391378365,0,0.499999999999999,6,0.005
0.714020862126947,6.46917066485061e-06,0.15,1.81778376554505e-05,0.2,"Threshold (peaks)",0.176025649731898,0,4.33333333333333,6,0.005
0.829941965518559,5.28815809627139e-07,0.15,1.81778376554505e-05,0.2,"Threshold (troughs)",0.0325434742881319,0,0.866666666666665,6,0.005
0.67069270805833,6.11841057496094e-06,0.25,2.16701480727288e-05,0.2,"Threshold (peaks)",0.156983922565139,0,3.83333333333333,6,0.005
0.861038448376022,8.40043288287168e-07,0.25,2.16701480727288e-05,0.2,"Threshold (troughs)",0.0494263308216891,0,1.52,5,0.005
0.626959390850867,5.62127921600837e-06,0.35,2.71791058548242e-05,0.2,"Threshold (peaks)",0.134715215102247,0,3.36666666666666,6,0.005
0.893517017033938,1.28504982470972e-06,0.35,2.71791058548242e-05,0.2,"Threshold (troughs)",0.0692989594740692,0,2.08,5,0.005
0.595546932825339,4.9702130242427e-06,0.45,3.37974721473825e-05,0.2,"Threshold (peaks)",0.112326805764793,0,2.83333333333333,6,0.005
