"fish_level","mean_total","min_total","mean_selected","mean_juvenile","mean_yield","rel_amplitude"
1,0.662308991008223,0.620733140209293,0.0114854216616094,0.650823569346613,0.0114854216616094,0.119187129414587
2,0.687906481009531,0.6408026133274,0.0103960101781381,0.677510470831392,0.0207920203562762,0.128175615951381
3,0.707434388466554,0.657747145792687,0.00948316031425604,0.697951228152298,0.0284494809427681,0.130622197043368
5,0.728114298705493,0.675985571649822,0.00803799806605492,0.720076300639438,0.0401899903302746,0.132101729355747
9,0.73238160124826,0.680938152757531,0.00609557261927461,0.726286028628986,0.0548601535734715,0.126819798660604
12,0.723515529142653,0.673748841232739,0.00512638998707651,0.718389139155576,0.0615166798449181,0.12559072812342
15,0.712161648596728,0.662379599095193,0.00440596520981145,0.707755683386916,0.0660894781471718,0.125496149187231
18,0.701065553604939,0.652306484317428,0.0038521778782672,0.697213375726672,0.0693392018088095,0.124102395838496
20,0.693738601776955,0.646182390608107,0.00355001074204835,0.690188591034907,0.071000214840967,0.123554864611126
25,0.677269499027438,0.629790480153636,0.00295913145634809,0.67431036757109,0.0739782864087023,0.122895816575827
30,0.663054329674738,0.618372123105775,0.00252934719599432,0.660524982478744,0.0758804158798295,0.119028892391656
40,0.639879271941544,0.597579315237411,0.00195014272914507,0.637929129212399,0.0780057091658027,0.112244481339613
50,0.622159594339176,0.584223092850059,0.00158070509788235,0.620578889241294,0.0790352548941173,0.101993530201829
70,0.597097401840219,0.564425805931351,0.00114058338564749,0.595956818454572,0.0798408369953246,0.0849312890589857
100,0.573944422284365,0.548477867802867,0.000800739878390507,0.573143682405974,0.0800739878390507,0.0661416503977294
