"fish_level","mean_total","min_total","mean_selected","mean_juvenile","mean_yield","rel_amplitude"
1,0.367100427490479,0.362908144802823,0.00810688750603444,0.358993539984444,0.00810688750603444,0.0270427167021517
2,0.347338362180819,0.342192486164401,0.00696422562378247,0.340374136557036,0.0139284512475649,0.0329157572238014
3,0.331346332408509,0.325064864494405,0.00613021229547689,0.325216120113032,0.0183906368864307,0.0387399266763548
5,0.30799652915682,0.29906304357181,0.00500013315473197,0.302996396002088,0.0250006657736598,0.0495314639944402
9,0.281275890942157,0.267589508383328,0.0037292283031393,0.277546662639018,0.0335630547282537,0.0713030496800137
12,0.269666710458615,0.254524578686647,0.003156951852307,0.266509758606308,0.037883422227684,0.0826129684933689
15,0.261686373235726,0.247152134960352,0.00274586836236516,0.258940504873361,0.0411880254354774,0.0860594178434734
18,0.255969659395389,0.243194779151511,0.00243246059115037,0.253537198804239,0.0437842906407066,0.0844052508069244
20,0.253017348117324,0.241729538588055,0.00226056869134767,0.250756779425977,0.0452113738269533,0.081428077242212
25,0.247579579050482,0.239954705110318,0.00191975922595891,0.245659819824523,0.0479939806489728,0.0724550754463801
30,0.243854002403635,0.234581140267262,0.00166666939706813,0.242187333006567,0.050000081912044,0.0847362556757618
40,0.238975131160314,0.227240751972786,0.00131777017801126,0.237657360982303,0.0527108071204502,0.104508035199924
50,0.235827563270882,0.222468794357085,0.00108998019881022,0.234737583072072,0.054499009940511,0.118918568898903
70,0.231902492135783,0.216675761473951,0.000811403875516837,0.231091088260266,0.0567982712861786,0.138186929426339
100,0.228657928741763,0.211875084135974,0.000588124452357985,0.228069804289405,0.0588124452357985,0.156023584302589
