"gamma","t_run","catchable_fraction"
231.241086320467,600,0.000245278286623144
305.787692160639,600,9.47730370629889e-05
404.366344081881,600,0.000403035196163839
231.241086320467,1200,0.00021864253040004
305.787692160639,1200,0.000145357489092451
404.366344081881,1200,0.000339068255523411
231.241086320467,2400,0.000231825630513728
305.787692160639,2400,0.000303124150074974
404.366344081881,2400,0.000151453640271987
231.241086320467,4800,0.000285937527539188
305.787692160639,4800,9.73102129662443e-05
404.366344081881,4800,0.000150011927508927
