"fish_level","min_total","mean_total","mean_selected","mean_juvenile"
0,1.00313335353005e-12,3.53526760499167e-12,2.90153543200469e-20,3.53526757597631e-12
5,1.0031331081878e-12,3.53526638017832e-12,1.10239975216207e-20,3.53526636915432e-12
10,1.00313305537999e-12,3.53526611558871e-12,6.70676720637828e-21,3.53526610888194e-12
20,1.00313302155281e-12,3.53526594557861e-12,3.74296253576228e-21,3.53526594183565e-12
50,1.00313299878342e-12,3.53526583074315e-12,1.60467911973036e-21,3.53526582913848e-12
