"r","D_max","D_r","window_open"
1.001,0.00199600599200977,0.091327030614137,FALSE
1.02439174607797,0.0464879874198919,0.475073322086996,FALSE
1.04833011931335,0.0879532183841325,0.673896358689772,FALSE
1.07282789349603,0.126551597224592,0.825020179215372,FALSE
1.09789814091862,0.162435272350359,0.948685705848544,FALSE
1.12355423935203,0.19574900425568,1.05319271818411,FALSE
1.14980987918394,0.226630510914766,1.14302113088886,FALSE
1.17667907072421,0.255210797312214,1.22097242472971,FALSE
1.20417615168089,0.281614469831469,1.28897046061262,FALSE
1.23231579481102,0.305960036190985,1.34842524934693,FALSE
1.26111301575017,0.328360191586477,1.40042069513484,FALSE
1.29058318102494,0.348922091667802,1.44582076377103,FALSE
1.32074201625274,0.367747612950486,1.48533382016501,FALSE
1.35160561453315,0.384933601234701,1.51955379899507,FALSE
1.38319044503536,0.400572108578514,1.54898774084048,FALSE
1.41551336178634,0.41475061934741,1.57407489789938,FALSE
1.44859161266434,0.427552265838409,1.59520040905906,FALSE
1.48244284860251,0.439056033954488,1.61270535343639,FALSE
1.51708513300772,0.449336959383407,1.62689431601384,FALSE
1.5525369513993,0.458466314714454,1.63804119944658,FALSE
1.58881722127321,0.466511787906908,1.6463937711501,FALSE
1.62594530219661,0.473537652505263,1.65217727982185,FALSE
1.66394100613832,0.479604929978289,1.65559737480491,FALSE
1.70282460804072,0.4847715445419,1.65684249458815,FALSE
1.74261685663872,0.48909247080943,1.65608584504759,FALSE
1.7833389855315,0.492619874597327,1.65348705631614,FALSE
1.82501272451301,0.495403247199346,1.64919358475922,FALSE
1.86766031116722,0.497489533428128,1.64334191044444,FALSE
1.91130450273437,0.498923253709417,1.63605856877231,FALSE
1.95596858825449,0.499746620501265,1.62746104628032,FALSE
2.00167640099467,0.499999649298127,1.6176585641627,FALSE
2.04845233116683,0.499720264467969,1.60675276815652,FALSE
2.09632133894252,0.49894440015923,1.59483833970584,FALSE
2.14530896777206,0.49770609650366,1.5820035404307,FALSE
2.19544135801472,0.496037591330838,1.56833069968009,FALSE
2.24674526088759,0.493969407600296,1.55389665318228,FALSE
2.2992480527403,0.491530436747832,1.53877313940696,FALSE
2.35297774966333,0.488748018133646,1.52302715913741,FALSE
2.40796302243779,0.485648014771372,1.50672130285295,FALSE
2.46423321183439,0.482254885508943,1.4899140497953,FALSE
2.52181834427007,0.478591753824425,1.47266004200006,FALSE
2.58074914783043,0.474680473392536,1.45501033608921,FALSE
2.64105706866657,0.470541690570454,1.43701263521961,FALSE
2.70277428777513,0.466194903944766,1.41871150325041,FALSE
2.76593373817042,0.461658521074918,1.40014856291492,FALSE
2.8305691224579,0.456949912562376,1.38136267955017,FALSE
2.8967149308182,0.452085463568803,1.36239013174157,FALSE
2.96440645941156,0.447080622900922,1.34326477007389,FALSE
3.0336798292122,0.441949949774393,1.32401816503901,FALSE
3.10457200528291,0.436707158363878,1.30467974503006,FALSE
3.17712081650003,0.43136516024158,1.28527692524797,FALSE
3.25136497573938,0.425936104801884,1.26583522825717,FALSE
3.32734410053387,0.420431417765258,1.24637839685012,FALSE
3.40509873421389,0.414861837850306,1.2269284998127,FALSE
3.4846703675417,0.409237451698825,1.2075060311244,FALSE
3.56610146085134,0.403567727134812,1.18813000307545,FALSE
3.64943546670598,0.397861544834691,1.16881803373824,FALSE
3.73471685308471,0.39212722848247,1.14958642919047,FALSE
3.82199112711114,0.386372573480185,1.13045026085212,FALSE
3.91130485933654,0.380604874280752,1.11142343826729,FALSE
4.0027057085904,0.374830950407285,1.09251877763389,FALSE
4.09624244741175,0.369057171219999,1.07374806635941,FALSE
4.19196498807473,0.363289479489012,1.05512212389864,FALSE
4.28992440922235,0.357533413828699,1.03665085910906,FALSE
4.39017298312265,0.351794130046678,1.01834332434182,FALSE
4.49276420356176,0.3460764214581,1.00020776646948,FALSE
4.59775281438882,0.340384738213568,0.98225167503745,FALSE
4.70519483872792,0.334723205686796,0.964481827711992,FALSE
4.81514760887265,0.329095641966008,0.946904333186035,FALSE
4.92766979687932,0.323505574491048,0.929524671692431,FALSE
5.04282144587499,0.317956255876249,0.912347733264338,FALSE
5.16066400209719,0.312450678957257,0.895377853873004,FALSE
5.28126034768236,0.306991591098263,0.878618849564606,FALSE
5.40467483422044,0.301581507794403,0.862074048709977,FALSE
5.53097331709363,0.296222725602497,0.845746322473738,FALSE
5.66022319061756,0.290917334431765,0.829638113602654,FALSE
5.79249342400371,0.285667229224696,0.813751463626846,FALSE
5.92785459816214,0.280474121056863,0.798088038561715,FALSE
6.06637894336425,0.275339547683137,0.782649153193155,FALSE
6.20814037778572,0.270264883556503,0.767435794023628,FALSE
6.35321454695009,0.265251349344447,0.752448640952141,FALSE
6.50167886409404,0.260300020966746,0.737688087756822,FALSE
6.65361255147602,0.255411838177393,0.723154261444847,FALSE
6.80909668265014,0.25058761271232,0.708847040530724,FALSE
6.96821422572793,0.245828036023602,0.694766072300473,FALSE
7.13105008765111,0.241133686619838,0.68091078911596,FALSE
7.29769115949885,0.236505037031523,0.667280423810657,FALSE
7.46822636285391,0.231942460419336,0.653874024225166,FALSE
7.64274669725216,0.227446236842431,0.640690466928252,FALSE
7.82134528874101,0.223016559203034,0.62772847016655,FALSE
8.0041174395725,0.218653538882898,0.614986606083801,FALSE
8.19116067905771,0.214357211086428,0.602463312248235,FALSE
8.3825748156095,0.210127539904604,0.59015690252463,FALSE
8.5784619900014,0.205964423113188,0.578065577325628,FALSE
8.77892672987112,0.201867696718034,0.566187433275029,FALSE
8.98407600549771,0.19783713925978,0.55452047231406,FALSE
9.19401928688207,0.193872475889565,0.543062610279945,FALSE
9.40886860216146,0.18997338222691,0.531811684984583,FALSE
9.62873859738894,0.186139488010379,0.520765463819672,FALSE
9.85374659770985,0.182370380551113,0.509921650913218,FALSE
10.0840126699678,0.178665607998892,0.499277893861095,FALSE
10.3196596867739,0.175024682429892,0.488831790056069,FALSE
10.5608133920726,0.171447082764909,0.478580892635536,FALSE
10.8076024682406,0.167932257526382,0.468522716068137,FALSE
11.0601586047528,0.164479627442159,0.458654741398353,FALSE
11.3186165684535,0.161088587903602,0.448974421167215,FALSE
11.5831142754696,0.157758511285234,0.439479184026309,FALSE
11.8537928648041,0.154488749132802,0.430166439061398,FALSE
12.1307967736496,0.151278634226334,0.421033579841123,FALSE
12.4142738144614,0.1481274825244,0.412077988205465,FALSE
12.7043752538322,0.145034594995558,0.403297037807898,FALSE
13.0012558932097,0.141999259342623,0.394688097424442,FALSE
13.3050741515,0.139020751625176,0.386248534042159,FALSE
13.6159921496023,0.136098337785448,0.377975715738992,FALSE
13.9341757969181,0.133231275082464,0.369867014366234,FALSE
14.2597948798823,0.130418813439131,0.361919808044348,FALSE
14.5930231525638,0.127660196706694,0.354131483482307,FALSE
14.9340384293816,0.124954663850794,0.346499438130095,FALSE
15.2830226799897,0.122301450063152,0.33902108217354,FALSE
15.6401621263774,0.119699787802721,0.331693840380161,FALSE
16.00564734224,0.11714890776994,0.324515153804285,FALSE
16.3796733546707,0.114648039817578,0.317482481359244,FALSE
16.7624397482296,0.112196413801469,0.310593301264102,FALSE
17.1541507714442,0.109793260374281,0.303845112371936,FALSE
17.5550154457986,0.107437811725325,0.297235435386377,FALSE
17.96524767727,0.105129302269246,0.290761813972739,FALSE
18.3850663704713,0.102866969286306,0.28442181576977,FALSE
18.8146955454609,0.100650053516852,0.278213033307718,FALSE
19.2543644572827,0.0984777997124153,0.272133084838148,FALSE
19.7043077182991,0.0963494571457683,0.266179615080632,FALSE
20.1647654233825,0.0942642800821846,0.260350295891196,FALSE
20.6359832780334,0.0922215282139915,0.254642826857136,FALSE
21.1182127294908,0.0902204670604362,0.249054935822596,FALSE
21.6117111009081,0.0882603683347724,0.243584379349054,FALSE
22.1167417286632,0.0863405102803848,0.238228943114666,FALSE
22.6335741028778,0.0844601779776763,0.232986442256187,FALSE
23.1624840112208,0.0826186636233602,0.227854721657029,FALSE
23.7037536860714,0.0808152667837171,0.222831656184794,FALSE
24.2576719551216,0.0790492946232977,0.217915150881469,FALSE
24.824534395498,0.0773200621104802,0.21310314110929,FALSE
25.4046434914852,0.0756268922012197,0.208393592655141,FALSE
25.9983087959348,0.0739691160022614,0.203784501796162,FALSE
26.6058470954464,0.0723460729150217,0.199273895329161,FALSE
