"schedule","max_biomass","min_biomass","rel_amplitude","resource_decrease","window","fish_level"
"Constant",0.198108364895249,0.0214058815584993,1.60994091446344,0.001,0.5,0.6
"Peaks only",0.194747844338715,0.0226198881280323,1.58374892406825,0.001,0.5,0.6
"Troughs only",0.190094091663968,0.0197321255260981,1.62383870251592,0.001,0.5,0.6
"Unfished reference",0.18299264142455,0.023681372150435,1.54166715513379,0.001,0.5,0.6
"Constant",0.139110456578134,0.0308030672658704,1.27485307657676,0.0025,3,0.6
"Peaks only",0.127154313660662,0.0312384586463492,1.21111403780976,0.0025,3,0.6
"Troughs only",0.130849639343397,0.0336396950034023,1.1819604562937,0.0025,3,0.6
"Unfished reference",0.133672400981737,0.0319267395567245,1.22881871360173,0.0025,3,0.6
