"fish_level","mean_total","min_total","mean_selected","mean_juvenile","mean_yield","rel_amplitude","theta","interaction_resource","knife_edge_size"
1,0.293132099015626,0.0130568250221715,0.013971172233895,0.279160926781731,0.013971172233895,1.90893247419029,1,0.3,10
3,0.269671090281896,0.00947003938580726,0.00953300743924397,0.260138082842652,0.0285990223177319,1.93917497073123,1,0.3,10
5,0.242095873219843,0.00759903844752734,0.00716360115118826,0.234932272068654,0.0358180057559413,1.94275724547398,1,0.3,10
9,0.186025847064284,0.00593951882519571,0.00561303016783776,0.180412816896447,0.0505172715105398,1.94083374912464,1,0.3,10
15,0.130175393136673,0.00528771465874283,0.00417599070831197,0.125999402428361,0.0626398606246796,1.92964110919614,1,0.3,10
20,0.106000411525789,0.00473105782881138,0.00304830264127685,0.102952108884512,0.060966052825537,1.92582418973335,1,0.3,10
25,0.0917365561836663,0.00468383950377075,0.00232039686395392,0.0894161593197124,0.058009921598848,1.91797639991649,1,0.3,10
30,0.0825281427513423,0.00472008456166315,0.00184729569932499,0.0806808470520173,0.0554188709797497,1.90935637177881,1,0.3,10
50,0.0651978601308412,0.00403615473393587,0.000982194727820947,0.0642156654030202,0.0491097363910474,1.90540988376277,1,0.3,10
100,0.0534465496065411,0.00363883050782155,0.000436577428557403,0.0530099721779837,0.0436577428557403,1.89868200871263,1,0.3,10
1,0.664285994006539,0.466487516183261,0.00477789019250329,0.659508103814036,0.0104846985165045,0.450235800161056,1,0.7,7
3,0.661146220042967,0.517828029178057,0.00230334611740799,0.658842873925559,0.0205647263424794,0.344933499174806,1,0.7,7
5,0.617352026748311,0.436651478010387,0.00114030347660113,0.616211723271709,0.0238761508113086,0.469187847022348,1,0.7,7
9,0.444195486755213,0.0182786562111193,0.00167893363754412,0.442516553117669,0.070828920607358,1.88502112320713,1,0.7,7
15,0.367475775513884,0.00805664781600457,0.000683712287381823,0.366792063226502,0.0817490723085061,1.93567121454277,1,0.7,7
20,0.267991526809117,0.00658444733700713,0.000714657017398258,0.267276869791719,0.145267120439234,1.93723359436254,1,0.7,7
25,0.208515607164402,0.00588463136305496,0.000475756684436942,0.208039850479966,0.15827980174673,1.93337399406628,1,0.7,7
30,0.163360733384679,0.00513260963786742,0.000466998018048825,0.16289373536663,0.215364547012498,1.9306436761281,1,0.7,7
50,0.0660326673608056,0.00468726181079141,0.000182293113661746,0.0658503742471438,0.186811067063355,1.88065374847212,1,0.7,7
100,0.024484015062823,0.00323091771373958,1.58987197808928e-05,0.0244681163430421,0.090285145947441,1.77839000113978,1,0.7,7
1,0.664623085820013,0.441098532796155,0.00574291492275412,0.658880170897259,0.00574291492275412,0.50507533816367,1,0.7,10
3,0.674300648031199,0.48147666376067,0.0040288739934338,0.670271774037765,0.0120866219803014,0.429766561847848,1,0.7,10
5,0.659121269903003,0.493466824513951,0.00294466382574391,0.656176606077259,0.0147233191287195,0.391675080067362,1,0.7,10
9,0.604791918246363,0.417875401441193,0.00178349251723368,0.60300842572913,0.0160514326551031,0.501153074379147,1,0.7,10
15,0.510813037879935,0.137625059396471,0.00270678750730432,0.508106250372631,0.0406018126095648,1.29578146514511,1,0.7,10
20,0.436177979408185,0.0163201507741913,0.00266053786409109,0.433517441544093,0.0532107572818218,1.89576957410805,1,0.7,10
25,0.408739650922402,0.0126531921397607,0.00214920322321914,0.406590447699183,0.0537300805804785,1.91517526909319,1,0.7,10
30,0.398128423830172,0.0108554957978133,0.00182622452587955,0.396302199304292,0.0547867357763866,1.92449095663454,1,0.7,10
50,0.379489315428934,0.0104281655684991,0.00116935850927125,0.378319956919663,0.0584679254635626,1.92092152051582,1,0.7,10
100,0.355390830554827,0.00850986126406921,0.000628557339472986,0.354762273215354,0.0628557339472986,1.92952696837277,1,0.7,10
1,0.386490352599181,0.0796145413605858,0.0125383924899557,0.373951960109225,0.0233499423823848,1.49586661900038,1,1,7
3,0.403803390066274,0.057739262057619,0.00681857919627258,0.396984810870002,0.0461803308943326,1.64657056711907,1,1,7
5,0.404486995709205,0.0420102773123351,0.00420958552047165,0.400277410188733,0.0573372062436323,1.73674785028412,1,1,7
9,0.390271921358843,0.0269752640294891,0.00199392806267137,0.388277993296172,0.0696231664669588,1.81705330951296,1,1,7
15,0.368493351411421,0.0267136660211082,0.000843201667899374,0.367650149743522,0.0768272091134554,1.79703271955763,1,1,7
20,0.2777767703731,0.0108760290840732,0.000789882571020007,0.27698688780208,0.117299277595708,1.90319749292402,1,1,7
25,0.2964436338438,0.0151722830269845,0.000300406305008899,0.296143227538791,0.0875615735542111,1.84917126554269,1,1,7
30,0.231416207843768,0.00539734491173929,0.00032057956087149,0.231095628282897,0.136195964278275,1.93838718534064,1,1,7
50,0.134045432973664,0.00455317537871024,0.000185253545201251,0.133860179428462,0.217909512872821,1.92187627722708,1,1,7
100,0.0473539962482587,0.017978751798896,6.48590600689985e-05,0.0472891371881897,0.217681749649353,1.28212016875428,1,1,7
1,0.333576950562963,0.10790750658174,0.0138866898286715,0.319690260734291,0.0247953359779894,1.21148082599683,1,1.3,7
3,0.366402484619162,0.0782934619460997,0.00849526364788023,0.357907220971282,0.0528156025061381,1.44624735922738,1,1.3,7
5,0.367030380264862,0.0600728198343807,0.00541844776214146,0.361611932502721,0.0662666192684582,1.57551635691341,1,1.3,7
9,0.366773872288237,0.0554677465435769,0.00263328594804209,0.364140586340195,0.0782351174122464,1.60260380002417,1,1.3,7
15,0.353724007938599,0.0221063282591696,0.00104225642692531,0.352681751511674,0.0823016644327336,1.81670967584846,1,1.3,7
