"min_total","mean_total","mean_selected","mean_juvenile","mean_yield","rel_amplitude","knife_edge_size","schedule","boost_level","mean_effort","effective_window","n_bursts","model"
0.64535712807766,0.722280573532717,0.00776429857870214,0.714516274954015,0.0776429857870214,0.165257945497691,10,"Constant",NA,10,NA,NA,"Original (theta=1, ir=1)"
0.551122578880931,0.692531273851127,0.00660667646787707,0.68592459738325,0.0774739753962192,0.288530712679387,10,"Threshold (peaks)",20,11.6334864453187,NA,0,"Original (theta=1, ir=1)"
0.646926536575468,0.721463322356089,0.00396655654255677,0.717496765813532,0.0793310404527879,0.161128514162425,10,"Threshold (troughs)",20,19.9999845069764,NA,0,"Original (theta=1, ir=1)"
0.168754210952996,0.650337309518646,0.00743098520633271,0.642906324312314,0.115234792868818,1.24140965649903,10,"Threshold (peaks)",30,13.4421569909309,NA,0,"Original (theta=1, ir=1)"
0.647082595500942,0.721046538995324,0.00265954110350096,0.718386997891823,0.079786233105026,0.160221102867344,10,"Threshold (troughs)",30,29.9999999999992,NA,0,"Original (theta=1, ir=1)"
0.0259692063081497,0.602102442509603,0.00662352331544055,0.595478919194162,0.116664192021643,1.85845345107211,10,"Threshold (peaks)",50,15.1088018593064,1.2,1,"Original (theta=1, ir=1)"
0.646634873925266,0.720488849340497,0.00160060925845629,0.718888240082041,0.0800304629228143,0.160266273941898,10,"Threshold (troughs)",50,50,NA,0,"Original (theta=1, ir=1)"
0.026247249725363,0.593989944767993,0.00640787222359501,0.587582072544398,0.118725113306765,1.85582283606863,10,"Threshold (peaks)",75,16.2605496460359,0.8,1,"Original (theta=1, ir=1)"
0.645666257007122,0.719904573272448,0.00106706914492484,0.718837504127523,0.0800301858693629,0.16124041425829,10,"Threshold (troughs)",75,75,NA,0,"Original (theta=1, ir=1)"
0.0302361509921659,0.591391883139935,0.00627218376878814,0.585119699371147,0.118592715947102,1.83424459157361,10,"Threshold (peaks)",100,17.3625121626233,0.6,1,"Original (theta=1, ir=1)"
0.645167909650871,0.719661754541808,0.000800134705831674,0.718861619835976,0.0800134705831674,0.16198313425485,10,"Threshold (troughs)",100,100,NA,0,"Original (theta=1, ir=1)"
0.0202787559737312,0.589787871572107,0.00620807603833668,0.583579795533771,0.119256118045298,1.88698581034367,10,"Threshold (peaks)",150,18.1417502145885,0.4,1,"Original (theta=1, ir=1)"
0.64953745985627,0.722140437743154,0.000537197031114962,0.721603240712039,0.0805795546672443,0.159504456600516,10,"Threshold (troughs)",150,150,NA,0,"Original (theta=1, ir=1)"
0.0236517498518543,0.589493784721515,0.00616861313948079,0.583325171582034,0.0979334199094294,1.86874441827864,10,"Threshold (peaks)",200,15.3437820060148,NA,0,"Original (theta=1, ir=1)"
0.0101659409528812,0.562845714116605,0.00060653058607117,0.562239183530534,0.121305900527447,1.93919618959968,10,"Threshold (troughs)",200,199.999962470742,NA,0,"Original (theta=1, ir=1)"
0.574387829667607,0.700059912279447,0.00354252982019634,0.69651738245925,0.0796460653719744,0.265248878723304,9,"Constant",NA,10,NA,NA,"Original (theta=1, ir=1)"
0.0197604061537852,0.597144430564467,0.00312516514163594,0.594019265422831,0.120765767829941,1.89161037144341,9,"Threshold (peaks)",20,12.1311776100602,2,1,"Original (theta=1, ir=1)"
0.580122703526505,0.69955827426618,0.00119091572443768,0.698367358541743,0.080096712469482,0.252884603846779,9,"Threshold (troughs)",20,19.9999997157208,NA,0,"Original (theta=1, ir=1)"
0.0133845152239547,0.579291296242453,0.00269726254843076,0.576594033694022,0.123042351938182,1.92351176957139,9,"Threshold (peaks)",30,13.6113681650659,1.4,1,"Original (theta=1, ir=1)"
0.580833308653917,0.699124710285825,0.000595518660757736,0.698529191625067,0.0801800801068925,0.250629307795254,9,"Threshold (troughs)",30,29.9999999999999,NA,0,"Original (theta=1, ir=1)"
0.0217221917981455,0.56820038694152,0.00249190195764228,0.565708484983878,0.126594569814477,1.8739230107411,9,"Threshold (peaks)",50,15.4571889884598,1.2,1,"Original (theta=1, ir=1)"
0.579878380116411,0.698425621377666,0.000237510573102378,0.698188110804564,0.0802213432874561,0.251221830285848,9,"Threshold (troughs)",50,50,NA,0,"Original (theta=1, ir=1)"
0.0185285844610215,0.562682026604993,0.00239042704797891,0.560291599557014,0.123943304187122,1.8905495818739,9,"Threshold (peaks)",75,16.3917166337204,0.8,1,"Original (theta=1, ir=1)"
0.578010062564009,0.697765840647846,0.000111319143259601,0.697654521504586,0.0802423742231367,0.25375614197257,9,"Threshold (troughs)",75,75,NA,0,"Original (theta=1, ir=1)"
0.0131385190676255,0.560254597323206,0.00237271597155577,0.55788188135165,0.124742060753676,1.92131702478288,9,"Threshold (peaks)",100,16.8831438389258,0.6,1,"Original (theta=1, ir=1)"
0.578327119892539,0.697834549956724,6.44860556163114e-05,0.697770063901108,0.0802112396949464,0.253460031645225,9,"Threshold (troughs)",100,100,NA,0,"Original (theta=1, ir=1)"
0.0181401381728638,0.558287613800988,0.00233007948743803,0.55595753431355,0.125171808585815,1.89173426781592,9,"Threshold (peaks)",150,17.9190739399298,0.4,1,"Original (theta=1, ir=1)"
0.594137767783283,0.702653213453801,3.03297880343265e-05,0.702622883665767,0.0799701401332585,0.232843213787477,9,"Threshold (troughs)",150,150,NA,0,"Original (theta=1, ir=1)"
0.016389592592955,0.557981655856654,0.00231729313771293,0.555664362718941,0.112563903507683,1.90185396855654,9,"Threshold (peaks)",200,16.3784782364087,0.2,1,"Original (theta=1, ir=1)"
0.00589567622801729,0.421194400794313,3.5967092468368e-05,0.421158433701844,0.16717178719768,1.95702989524049,9,"Threshold (troughs)",200,199.999992130917,NA,0,"Original (theta=1, ir=1)"
0.0341267892323417,0.578301780080987,0.00085694598430529,0.577444834096681,0.140223018826181,1.8124153732882,5,"Constant",NA,10,NA,NA,"Original (theta=1, ir=1)"
0.00712924540925344,0.454308314951819,0.00035821446186559,0.453950100489953,0.145615077025267,1.95212502953522,5,"Threshold (peaks)",20,12.928845980391,1.6,1,"Original (theta=1, ir=1)"
0.0223553674910641,0.573646264879105,0.000493731900547002,0.573152532978558,0.139509149686853,1.87386923097481,5,"Threshold (troughs)",20,18.0926256901097,NA,0,"Original (theta=1, ir=1)"
0.00465903666442272,0.397715890371201,0.000218719333916426,0.397497171037285,0.184643787942473,1.96480678837597,5,"Threshold (peaks)",30,16.2198014233866,1.1,2,"Original (theta=1, ir=1)"
0.0220531844777022,0.57073850041592,0.000456690565196821,0.570281809850723,0.139748776226366,1.87475420579287,5,"Threshold (troughs)",30,27.2727343401237,NA,0,"Original (theta=1, ir=1)"
0.00333673057157311,0.336378236143251,0.000193784384506454,0.336184451758744,0.228176857647672,1.97212103856417,5,"Threshold (peaks)",50,21.5452373499103,0.666666666666667,3,"Original (theta=1, ir=1)"
