"fish_level","direction","mean_total","conv_type","conv_years","theta","interaction_resource","knife_edge_size","fraction_of_unfished"
30,"up",0.948667972993653,"steady",0.8,0,2,15,0.965052699871262
50,"up",0.945117781518764,"steady",0.6,0,2,15,0.961441191982901
100,"up",0.941881815475532,"steady",0.6,0,2,15,0.958149336607139
100,"down",0.942217901795724,"steady",0.2,0,2,15,0.958491227574183
50,"down",0.939435901503032,"steady",0.6,0,2,15,0.955661178526535
30,"down",0.939417353511091,"steady",0.8,0,2,15,0.955642310186705
20,"down",0.943051085562848,"steady",0.8,0,2,15,0.959338801506098
10,"down",0.952408266041135,"steady",1,0,2,15,0.968857592633048
10,"up",0.77631306028036,"steady",12,0,3,5,0.877646258019675
20,"up",0.843399017507632,"steady",24.6,0,3,5,0.953489036324757
30,"up",0.176107635539865,"cycle",55,0,3,5,0.199095204303837
50,"up",0.151199179761916,"cycle",10.8,0,3,5,0.170935413975601
100,"up",0.102980633895988,"cycle",4.8,0,3,5,0.116422835852675
100,"down",0.0297832531509953,"cycle",4.6,0,3,5,0.0336709016207762
50,"down",0.0930390152517684,"cycle",10.2,0,3,5,0.105183524229337
30,"down",0.10686100693131,"cycle",25,0,3,5,0.120809719248583
20,"down",0.242595749531127,"cycle",41.8,0,3,5,0.274262102083635
10,"down",0.961450865799263,"steady",14.4,0,3,5,1.08695035264995
10,"up",0.789106232954578,"steady",7.8,0,3,10,0.892109340892031
20,"up",0.792981774809291,"steady",5.6,0,3,10,0.896490762486766
30,"up",0.814502488409972,"steady",4.2,0,3,10,0.920820604051881
50,"up",0.818931461200795,"steady",4.4,0,3,10,0.925827696674196
100,"up",0.824467001097495,"steady",6,0,3,10,0.932085798109078
100,"down",0.825635198147567,"steady",0.2,0,3,10,0.933406481506127
50,"down",0.908023766327962,"steady",2.2,0,3,10,1.02654934134802
30,"down",0.997921286928301,"steady",2.8,0,3,10,1.12818130736394
20,"down",1.04678083735171,"steady",2.6,0,3,10,1.18341856123952
10,"down",1.08919081410994,"steady",3.4,0,3,10,1.23136436984297
10,"up",0.868222325733784,"steady",1.2,0,3,15,0.981552564675656
20,"up",0.855157286163756,"steady",1,0,3,15,0.966782127752473
30,"up",0.848234543596062,"steady",1.4,0,3,15,0.958955750198583
50,"up",0.846176327548796,"steady",0.6,0,3,15,0.956628872416279
100,"up",0.843592372235832,"steady",0.6,0,3,15,0.953707629908141
100,"down",0.853048783747661,"steady",0.2,0,3,15,0.964398399653344
50,"down",0.844140464965991,"steady",1.4,0,3,15,0.954327265926501
30,"down",0.843786991541615,"steady",0.8,0,3,15,0.953927653136138
20,"down",0.846159775449887,"steady",0.8,0,3,15,0.956610159749427
10,"down",0.854026017834238,"steady",1,0,3,15,0.965503193432009
10,"up",0.668914057715268,"steady",7.4,0,5,5,0.859430898233536
20,"up",0.686300229450375,"steady",8.8,0,5,5,0.881768914633105
30,"up",0.725839020692972,"steady",9.4,0,5,5,0.932568951619556
50,"up",0.124332234126955,"cycle",31.2,0,5,5,0.159743934848796
100,"up",0.114287815567651,"cycle",7.6,0,5,5,0.14683871396864
100,"down",0.126033586838256,"cycle",7.8,0,5,5,0.161929858544105
50,"down",0.132566557876422,"cycle",15.8,0,5,5,0.170323518540789
30,"down",0.106441580126609,"steady",24.2,0,5,5,0.136757752004889
20,"down",0.860284226525541,"steady",17.4,0,5,5,1.10530618546771
10,"down",0.987579957847164,"steady",5.6,0,5,5,1.26885766633314
10,"up",0.697016079721971,"steady",4.6,0,5,10,0.895536801132171
20,"up",0.681792571404429,"steady",4.6,0,5,10,0.875977407400338
30,"up",0.690730800479207,"steady",3.6,0,5,10,0.887461379300393
50,"up",0.713480698217785,"steady",5,0,5,10,0.916690791992015
100,"up",0.73502143392446,"steady",5.8,0,5,10,0.944366655017275
100,"down",0.744464530602829,"steady",0.2,0,5,10,0.956499288450211
50,"down",0.856447787795416,"steady",3,0,5,10,1.10037707096365
30,"down",0.932433239185554,"steady",3.4,0,5,10,1.1980043281392
20,"down",0.956847448439188,"steady",3,0,5,10,1.22937207343697
10,"down",0.970669911419207,"steady",3.4,0,5,10,1.24713138292928
10,"up",0.761962824120197,"steady",1.2,0,5,15,0.978981360611395
20,"up",0.751855938860847,"steady",2,0,5,15,0.965995881570254
30,"up",0.74925567274443,"steady",0.8,0,5,15,0.962655020336583
50,"up",0.746831022330637,"steady",0.6,0,5,15,0.959539792813714
100,"up",0.744317599150885,"steady",0.6,0,5,15,0.956310508698513
100,"down",0.743276239535505,"steady",1.4,0,5,15,0.954972554114799
50,"down",0.741260281378883,"steady",0.6,0,5,15,0.952382420585143
30,"down",0.742218654065583,"steady",0.8,0,5,15,0.953613752307766
20,"down",0.746015950232521,"steady",0.8,0,5,15,0.958492575854631
10,"down",0.755161288801575,"steady",1,0,5,15,0.970242645165324
10,"up",0.488576026311252,"cycle",21.8,0.3,1,5,1.13883995255629
20,"up",0.00854097233514434,"cycle",8.8,0.3,1,5,0.0199084687031775
30,"up",0.0218625094790064,"cycle",22.6,0.3,1,5,0.0509601329516969
50,"up",0.0373195577954311,"steady",8.6,0.3,1,5,0.0869895392740679
100,"up",NA,"extinction",9.6,0.3,1,5,NA
100,"down",NA,"extinction",10.6,0.3,1,5,NA
50,"down",0.0347538712742395,"steady",30.6,0.3,1,5,0.0810090855499493
30,"down",0.144095472391239,"cycle",8.4,0.3,1,5,0.335877472704879
20,"down",0.313980712375086,"cycle",9.2,0.3,1,5,0.731869269731704
10,"down",0.317312879220619,"cycle",21.8,0.3,1,5,0.739636340827943
