"schedule","max_biomass","min_biomass","rel_amplitude"
"Constant",0.105198623134213,0.0498330753599576,0.714248096512171
"Peaks only",0.111432566381972,0.046014017458026,0.830993564019479
"Troughs only",0.110164737920367,0.0501456845815686,0.748785417717603
