"min_total","mean_total","mean_selected","mean_juvenile","mean_yield","rel_amplitude","schedule","boost_level","mean_effort","effective_window","n_bursts"
0.731280380306774,0.779387583205748,0.0103129722363452,0.769074610969402,0.0206259444726903,0.109165729488137,"Constant",NA,2,NA,NA
0.732778169145011,0.780882587489889,0.010270612872703,0.770611974617186,0.020990088597166,0.108568387930143,"Threshold (peaks)",3,2.04359957567893,NA,0
0.751468572637552,0.795319822130055,0.00938336440467761,0.785936457725378,0.0281500932140328,0.0895572947841955,"Threshold (troughs)",3,3,NA,0
0.732971687734079,0.781015271446648,0.0102673734919894,0.770747897954659,0.0210151430059483,0.108431471611084,"Threshold (peaks)",5,2.04668781279413,NA,0
0.773176950685159,0.807708641765163,0.00789701918076353,0.799811622584399,0.0394850959038176,0.0635232649873691,"Threshold (troughs)",5,5,NA,0
0.733056396086675,0.781074047152562,0.0102658666360255,0.770808180516536,0.0210268789086738,0.108373202897457,"Threshold (peaks)",7,2.0481330199991,NA,0
0.775866580778296,0.806082089473313,0.00676535336665263,0.799316736106661,0.0473574735665684,0.0519244818978794,"Threshold (troughs)",7,7,NA,0
0.73310328105159,0.781108483487238,0.0102648723327726,0.770843611154466,0.0210347959964217,0.108344072517948,"Threshold (peaks)",9,2.04910378025283,NA,0
0.773920397111251,0.798282972901681,0.00588122268739666,0.792401750214285,0.0529310041865699,0.0401337905716369,"Threshold (troughs)",9,9,NA,0
0.733193669108979,0.781173889829205,0.010263019470657,0.770910870358548,0.0210494909678986,0.108286653573365,"Threshold (peaks)",15,2.05090764556746,NA,0
0.752031347901659,0.764518216354243,0.00413092304419044,0.760387293310053,0.0619638456628567,0.024797640957974,"Threshold (troughs)",15,15,NA,0
0.73324166435363,0.781208564230261,0.0102620329414361,0.770946531288825,0.0210573180293788,0.108256205837271,"Threshold (peaks)",20,2.05186867186709,NA,0
0.709034657988368,0.734022541131914,0.00325373085221356,0.7307688102797,0.0650746170442712,0.0501167441462201,"Threshold (troughs)",20,20,NA,0
0.733307026622037,0.781255820614678,0.0102606788420984,0.770995141772579,0.0210680718759006,0.108214923224137,"Threshold (peaks)",30,2.05318912646462,NA,0
0.623082740579981,0.67625617037794,0.00222610797143312,0.674030062406507,0.0667832391429937,0.12031495369425,"Threshold (troughs)",30,30,NA,0
