"fish_level","mean_total","min_total","mean_selected","mean_juvenile","mean_yield","rel_amplitude"
1,0.44817236767015,0.177660055584075,0.0115687902376488,0.436603577432501,0.0666712600316876,1.05366297706956
2,0.479196839542444,0.126909234278182,0.00780514305292127,0.471391696489523,0.100267921043724,1.32949474687099
3,0.489328437619244,0.0864338626598954,0.00507442015943504,0.484254017459809,0.116630789093088,1.52550175439135
5,0.511224247660233,0.0511744691333067,0.00216861996291606,0.509055627697317,0.108023948037898,1.6974665121563
7,0.522199583276397,0.381399527857598,0.000179844921576901,0.52201973835482,0.0674759490087436,0.411030308622079
9,0.381614807497793,0.0160503675818004,0.000473184031714144,0.381141623466079,0.127400540442668,1.87794446660411
10,0.363076807514665,0.011316782378178,0.000339350325119233,0.362737457189546,0.130495178020409,1.9062458783664
11,0.307845845698254,0.00889256123712673,0.000262763379064203,0.30758308231919,0.191799988765565,1.91918978012133
12,0.250485552674413,0.0072053944506047,0.000390848493219761,0.250094704181193,0.196902819269443,1.92770811819468
13,0.236603418274669,0.00599110580328439,0.000236192956178066,0.236367225318491,0.212448088876522,1.93318154594198
14,0.210672123437611,0.00689382504377498,0.000280775535227968,0.210391347902383,0.234461846065785,1.91396224525526
15,0.154053545392699,0.00530980891908559,0.000343359370967106,0.153710186021732,0.279940630640289,1.92509510078803
16,0.138001903361213,0.00583222751593037,0.000308859488754627,0.137693043872459,0.301447707571915,1.90699085895044
17,0.117742159614958,0.00832355148457346,0.000316511964664109,0.117425647650294,0.308195183033514,1.8516507887557
18,0.107309267104758,0.0134214419410289,0.000335106696165124,0.106974160408593,0.366135043343583,1.72761571404573
19,0.0821846446468877,0.0255557741549027,0.000451825424486146,0.0817328192224016,0.363555057550989,1.3965353954852
20,0.0739246861996381,0.0535221086253458,0.000457093562279265,0.0734675926373588,0.362571490069585,0.566518199575718
22,0.0603930920612608,0.0571188564159891,0.000341153338284698,0.0600519387229761,0.324555144662639,0.111030816214362
25,0.0405883966714372,0.0395133912943426,0.000196009301605442,0.0403923873698318,0.240186468070032,0.0457775689866356
28,0.0219579367612299,0.0213764809983176,9.11862133498877e-05,0.02186675054788,0.141416341891329,0.0532318691350298
30,0.0105940659643853,0.0101700500084448,3.96008455061129e-05,0.0105544651188792,0.0716120143487777,0.129168766896514
