"min_total","mean_total","mean_selected","mean_juvenile","mean_yield","rel_amplitude","threshold_frac","boost_level","schedule","mean_effort","threshold_value"
0.24766730839171,0.62412893760441,0.034715201043774,0.589413736560636,0.119033396199663,0.988889858058461,0.3,5,"Threshold (peaks)",3.00629058301898,0.0327523944782781
0.338315205167584,0.587415941170558,0.0432271043309072,0.544188836839651,0.11739467322212,0.655257487202997,0.3,5,"Threshold (troughs)",3.89877288258289,0.0327523944782781
0.171396523860697,0.633400730822354,0.0264530106325763,0.606947720189777,0.121595314865014,1.24821316390768,0.3,15,"Threshold (peaks)",4.03991282834159,0.0327523944782781
0.331749130561325,0.577963413269207,0.0260265086892146,0.551936904579992,0.120505823857757,0.660575883704836,0.3,15,"Threshold (troughs)",12.1848575628679,0.0327523944782781
0.173173125161115,0.630573922606883,0.0243969511750978,0.606176971431785,0.122684253282925,1.2401461860259,0.3,30,"Threshold (peaks)",4.52988888675393,0.0327523944782781
0.232586274032793,0.596677720092943,0.0154855230207637,0.58119219707218,0.121966726875715,0.995933319407729,0.3,30,"Threshold (troughs)",25.7989204187014,0.0327523944782781
0.250728645296746,0.625483561854729,0.0356708785994413,0.589812683255288,0.118527543593955,0.981379739781987,0.4,5,"Threshold (peaks)",2.90163475024635,0.0350019348916581
0.338066150071101,0.586107058767256,0.0423281610091215,0.543778897758135,0.11771060721916,0.65417191174703,0.4,5,"Threshold (troughs)",4.00305807788164,0.0350019348916581
0.18216825261966,0.635435417165279,0.0278383589631608,0.607597058202119,0.120685537478676,1.21214718402968,0.4,15,"Threshold (peaks)",3.81977544479147,0.0350019348916581
0.329304111257004,0.579257229169457,0.0248477204422338,0.554409508727223,0.120197786902664,0.670556728732223,0.4,15,"Threshold (troughs)",12.417109995552,0.0350019348916581
0.1612313161617,0.633048331505028,0.0259252660534634,0.607123065451565,0.121681517882343,1.28511282039432,0.4,30,"Threshold (peaks)",4.23213413421279,0.0350019348916581
0.210384572674656,0.599942917702104,0.013465470880658,0.586477446821446,0.135719417984085,1.07543054962778,0.4,30,"Threshold (troughs)",26.497994446263,0.0350019348916581
0.252985568366854,0.626711119524514,0.036578005384437,0.590133114140077,0.118037264887086,0.976270325391694,0.5,5,"Threshold (peaks)",2.8085948008065,0.0373690341220419
0.339567062278138,0.585016556334573,0.0415420988198181,0.543474457514755,0.118066622072308,0.648804103770837,0.5,5,"Threshold (troughs)",4.08774793244955,0.0373690341220419
0.184622410764976,0.637337666018212,0.0292041982575749,0.608133467760637,0.119795556128182,1.20546568051116,0.5,15,"Threshold (peaks)",3.62228903031531,0.0373690341220419
0.324355863819719,0.580900999392605,0.0236224769819825,0.557278522410623,0.119594099537863,0.688301378555265,0.5,15,"Threshold (troughs)",12.630691439029,0.0373690341220419
0.165921221963967,0.635421614680092,0.0274608403595544,0.607960774320538,0.120949466032387,1.2700448012817,0.5,30,"Threshold (peaks)",3.96799474346912,0.0373690341220419
0.156694130536067,0.595775315229407,0.00446814305625548,0.591307172173152,0.133481497320236,1.26596591909633,0.5,30,"Threshold (troughs)",29.9787461378028,0.0373690341220419
0.248681540369662,0.628363382758716,0.0379245806288201,0.590438802129896,0.117291716050112,0.991693698085579,0.6,5,"Threshold (peaks)",2.68103815996878,0.0416194306551726
0.339376287654357,0.583537625747352,0.0403758073112432,0.543161818436109,0.11866735545975,0.647386811782775,0.6,5,"Threshold (troughs)",4.20512892420529,0.0416194306551726
0.177470318199481,0.639963107590548,0.0313551366071363,0.608607970983412,0.118670791302268,1.23304155288653,0.6,15,"Threshold (peaks)",3.34196669476939,0.0416194306551726
0.316378827232519,0.584487481375796,0.0217874891341426,0.562699992241654,0.123983474034008,0.718944515709106,0.6,15,"Threshold (troughs)",13.0458175093997,0.0416194306551726
0.176454721994463,0.638891806922352,0.0299425033709819,0.608949303551371,0.119536750253786,1.23567603286029,0.6,30,"Threshold (peaks)",3.58137048548723,0.0416194306551726
0.144076335232811,0.595618230044172,0.0044533925589619,0.59116483748521,0.133524657833882,1.3147619188276,0.6,30,"Threshold (troughs)",29.9968559205094,0.0416194306551726
0.247092432122781,0.630105624633539,0.0399755099633163,0.590130114670222,0.11621742272557,0.998484346864378,0.7,5,"Threshold (peaks)",2.51520211736566,0.0511197648502155
0.341795749678941,0.581606086573685,0.0382399983349639,0.543366088238721,0.119096876153076,0.638484715365697,0.7,5,"Threshold (troughs)",4.36735361506417,0.0511197648502155
0.188837454582481,0.641930540675125,0.0347519114251669,0.607178629249959,0.11702106659743,1.19696156469931,0.7,15,"Threshold (peaks)",2.94114729871854,0.0511197648502155
0.270070538208788,0.592891997658957,0.0178796193968365,0.57501237826212,0.128754197330203,0.873533048054337,0.7,15,"Threshold (troughs)",13.6883653818722,0.0511197648502155
0.180829945566715,0.642211982765092,0.0338863492046573,0.608325633560434,0.117454064963512,1.22449188000775,0.7,30,"Threshold (peaks)",3.05525177660932,0.0511197648502155
0.13770052988902,0.595547614899423,0.00445218092104827,0.591095433978374,0.133562669773279,1.33999044587032,0.7,30,"Threshold (troughs)",29.9998889457742,0.0511197648502155
