"resource_decrease","min_total","mean_total","min_selected","mean_selected"
1,3.08479794860102e-08,0.159220239191684,6.60263261666162e-10,0.00772378784306554
0.5,1.27464950383502e-08,0.0500886976974858,2.26986982951432e-10,0.0018127946337037
0.2,9.90007223696773e-09,0.0198350113710713,2.71893210927142e-10,0.000621784289443063
0.1,5.4267161124585e-09,0.00393234312889206,1.33606542626164e-10,0.00022279350644079
0.05,1.9071131896512e-09,0.000374008061695431,2.41387086265154e-11,4.1414358853149e-06
0.02,2.82277692705157e-10,0.000198462980843648,7.43880358493126e-13,1.40586947534442e-07
0.01,1.02309679880246e-10,0.000175487081483725,3.40528186132498e-14,1.56600671337278e-08
0.005,9.22843571134059e-11,0.000166565239419892,8.12434864699103e-16,4.01174896633437e-09
