"t","fish_level","selected","total"
30.2,0,0.00831233065775804,0.415952713426861
30.4,0,0.00800832528352663,0.403574173260613
30.6,0,0.00777183421732888,0.390154687920345
30.8,0,0.00762994797585943,0.375865799203088
31,0,0.00762841405381005,0.360851931422316
31.2,0,0.00784490002411489,0.345241410863892
31.4,0,0.00841680208835037,0.329167421168672
31.6,0,0.00959901878338067,0.312808472329081
31.8,0,0.0118744980122461,0.296469053464239
32,0,0.0161033070684177,0.280746459054969
32.2,0,0.0234246376767963,0.26687495832883
32.4,0,0.0339428172223112,0.257337959549902
32.6,0,0.0440560451795242,0.256396914978062
32.8,0,0.0477580999579569,0.268747201233851
33,0,0.043746235765291,0.294720662329091
33.2,0,0.0360514661077474,0.327685184541
33.4,0,0.0285602464547038,0.359845653557027
33.6,0,0.0227822307557567,0.38733108426362
33.8,0,0.0187127626330475,0.409202269551786
34,0,0.015917692418821,0.42561261874429
34.2,0,0.0139821724289612,0.437037368163488
34.4,0,0.0126042878627258,0.444027165214065
34.6,0,0.0115837194279511,0.447127299143714
34.8,0,0.0107928355680373,0.44684830328908
35,0,0.0101521161672295,0.443655228517937
35.2,0,0.00961309763839407,0.437965317450421
35.4,0,0.00914759590001371,0.430149521452674
35.6,0,0.00874141585820261,0.420535324138387
35.8,0,0.0083911599762643,0.409409562225994
36,0,0.00810332241930236,0.397020927248156
36.2,0,0.00789545833072488,0.383582513865554
36.4,0,0.00780001579858732,0.369275694321252
36.6,0,0.00787274044265106,0.354257257379002
36.8,0,0.0082102038114918,0.338673361882958
37,0,0.00898616201546654,0.322686548527938
37.2,0,0.0105243966009622,0.306528596486053
37.4,0,0.0134232515594302,0.290606802699469
37.6,0,0.01865197683048,0.27572205957514
37.8,0,0.0271197105801836,0.26349478682189
38,0,0.0377557127888153,0.256989569709825
38.2,0,0.0456803180373101,0.260758566783831
38.4,0,0.0462252123277047,0.278235005597248
38.6,0,0.0405235787228701,0.307018618652855
38.8,0,0.0328546040350285,0.339513484354072
39,0,0.0261142446002367,0.36945995893761
39.2,0,0.0210975561135559,0.394350531538083
39.4,0,0.0175871462974488,0.41374647599789
39.6,0,0.015158944929938,0.427928561497669
39.8,0,0.0134537892022385,0.437388864485847
40,0,0.0122184827027379,0.442663560697858
40.2,0,0.0112865621577196,0.44427467849425
40.4,0,0.010552173913621,0.442707907850527
40.6,0,0.00994950239677561,0.438404773598884
