"t","selected_biomass","on_frac","schedule"
21.2,0.0207665488354728,0.118019288773474,"Threshold (peaks)"
21.4,0.0240177627632217,0.261779512621571,"Threshold (peaks)"
21.6,0.0282216618955393,0.55562347397022,"Threshold (peaks)"
21.8,0.0236663938921294,0.241941225413893,"Threshold (peaks)"
22,0.0147016545450359,0.0212622276287033,"Threshold (peaks)"
22.2,0.00777905964229129,0.0027198771503223,"Threshold (peaks)"
22.4,0.00563280148037317,0.00143120515958958,"Threshold (peaks)"
22.6,0.0110171613136498,0.007147685396544,"Threshold (peaks)"
22.8,0.0158933652107976,0.0301164333283305,"Threshold (peaks)"
23,0.0171060700699867,0.0427545062317371,"Threshold (peaks)"
23.2,0.0173657656302375,0.0460563445124096,"Threshold (peaks)"
23.4,0.0174553372563353,0.0472504838591255,"Threshold (peaks)"
23.6,0.0174542408465857,0.047235690521299,"Threshold (peaks)"
23.8,0.0173947050700308,0.0464389807272777,"Threshold (peaks)"
24,0.017296841852259,0.0451570856579206,"Threshold (peaks)"
24.2,0.0171719744005351,0.0435703719478744,"Threshold (peaks)"
24.4,0.0170262972686147,0.0417864742008783,"Threshold (peaks)"
24.6,0.0168631309374523,0.039871375856329,"Threshold (peaks)"
24.8,0.0166841825194339,0.0378678234649413,"Threshold (peaks)"
25,0.0164903564437509,0.0358068896214863,"Threshold (peaks)"
25.2,0.0162823863756327,0.0337157723804023,"Threshold (peaks)"
25.4,0.0160614126010105,0.0316231689616567,"Threshold (peaks)"
25.6,0.0158295781039458,0.0295629158655381,"Threshold (peaks)"
25.8,0.0155905078854829,0.0275748387364587,"Threshold (peaks)"
26,0.015349841348878,0.0257049282003282,"Threshold (peaks)"
26.2,0.0151153386035728,0.024001941073305,"Threshold (peaks)"
26.4,0.01489717966334,0.0225167627391539,"Threshold (peaks)"
26.6,0.0147078484297048,0.0213008996803222,"Threshold (peaks)"
26.8,0.0145626416616446,0.0204121415136106,"Threshold (peaks)"
27,0.0144806426412056,0.019926403275435,"Threshold (peaks)"
27.2,0.0144870285328297,0.0199638213309856,"Threshold (peaks)"
27.4,0.0146177189400879,0.0207448928580849,"Threshold (peaks)"
27.6,0.0149270546125534,0.0227147118109292,"Threshold (peaks)"
27.8,0.0155000425451384,0.026856929483174,"Threshold (peaks)"
28,0.0164658460326834,0.0355540916844926,"Threshold (peaks)"
28.2,0.0179919041643825,0.0550417829011526,"Threshold (peaks)"
28.4,0.0202234556510445,0.102098766269693,"Threshold (peaks)"
28.6,0.0232883642174708,0.221769522204827,"Threshold (peaks)"
28.8,0.0274279057539301,0.49637074002642,"Threshold (peaks)"
29,0.0258240396544905,0.378647856340619,"Threshold (peaks)"
29.2,0.0162400637634064,0.0333048913770293,"Threshold (peaks)"
29.4,0.00892133876091245,0.00382625182676961,"Threshold (peaks)"
29.6,0.00538396066466163,0.00132846925754732,"Threshold (peaks)"
29.8,0.0096906958857716,0.00481393963124954,"Threshold (peaks)"
30,0.0152775093690259,0.0251674634907895,"Threshold (peaks)"
30.2,0.017001358436493,0.0414881696194076,"Threshold (peaks)"
30.4,0.0173325359502181,0.0456206838319256,"Threshold (peaks)"
30.6,0.0174458158719558,0.0471221631126022,"Threshold (peaks)"
30.8,0.0174599086943743,0.047312211574818,"Threshold (peaks)"
31,0.0174101523254016,0.046644459844547,"Threshold (peaks)"
31.2,0.0173188810887027,0.0454428004237872,"Threshold (peaks)"
31.4,0.0171988491281628,0.0439073167395134,"Threshold (peaks)"
31.6,0.0170570530495065,0.0421571832064853,"Threshold (peaks)"
31.8,0.0168972657307529,0.0402649318851771,"Threshold (peaks)"
32,0.0167214434619639,0.0382768719576031,"Threshold (peaks)"
32.2,0.0165305957559152,0.0362256709396743,"Threshold (peaks)"
32.4,0.0163254454163928,0.0341388215989872,"Threshold (peaks)"
32.6,0.0161069956910574,0.0320442910471917,"Threshold (peaks)"
32.8,0.0158771536433114,0.0299748116770281,"Threshold (peaks)"
33,0.0156391824570468,0.0279687881110641,"Threshold (peaks)"
33.2,0.0153983137626709,0.0260713405335872,"Threshold (peaks)"
33.4,0.015161820244045,0.0243305145775647,"Threshold (peaks)"
33.6,0.0149394287659822,0.0227971989135384,"Threshold (peaks)"
33.8,0.0147430688790635,0.0215221130396137,"Threshold (peaks)"
34,0.0145874581942025,0.0205614196302648,"Threshold (peaks)"
34.2,0.0144906893281803,0.0199853027484962,"Threshold (peaks)"
34.4,0.0144764191651318,0.0199016936240242,"Threshold (peaks)"
34.6,0.0145778234461134,0.0205033375263988,"Threshold (peaks)"
34.8,0.0148445506842573,0.0221721391531474,"Threshold (peaks)"
35,0.0153540919880549,0.0257368580248549,"Threshold (peaks)"
35.2,0.0162257501973472,0.0331670280141794,"Threshold (peaks)"
35.4,0.0176220098586668,0.0495512173737592,"Threshold (peaks)"
35.6,0.019699024314089,0.0885618389649493,"Threshold (peaks)"
35.8,0.0225736240272087,0.186998218577116,"Threshold (peaks)"
36,0.0265058257922113,0.427778774374242,"Threshold (peaks)"
36.2,0.0276940538326388,0.516309989361897,"Threshold (peaks)"
36.4,0.0179023833376586,0.0536626013521014,"Threshold (peaks)"
36.6,0.0102735342463467,0.00572766845391661,"Threshold (peaks)"
36.8,0.00553381838685602,0.00138942164969357,"Threshold (peaks)"
37,0.00834515182590913,0.00322126880611931,"Threshold (peaks)"
37.2,0.014435342548189,0.0196629333733261,"Threshold (peaks)"
37.4,0.0168491250589232,0.0397109645008728,"Threshold (peaks)"
37.6,0.0172911112023645,0.0450830748203344,"Threshold (peaks)"
37.8,0.0174319897070899,0.0469364159982267,"Threshold (peaks)"
38,0.017463185935457,0.0473565110207366,"Threshold (peaks)"
38.2,0.0174244203086024,0.0468350202676233,"Threshold (peaks)"
38.4,0.0173404366118606,0.0457239092330034,"Threshold (peaks)"
38.6,0.017225638093306,0.0442456595384573,"Threshold (peaks)"
38.8,0.0170879547232425,0.0425328159136693,"Threshold (peaks)"
39,0.0169316841212812,0.0406655243504169,"Threshold (peaks)"
39.2,0.0167590757724944,0.038694301915542,"Threshold (peaks)"
39.4,0.0165712764230327,0.03665383524905,"Threshold (peaks)"
39.6,0.0163690211774313,0.034572158582416,"Threshold (peaks)"
39.8,0.0161532037765575,0.0324767194622806,"Threshold (peaks)"
40,0.0159255046416022,0.0303991173944728,"Threshold (peaks)"
40.2,0.015688854769389,0.0283764463756928,"Threshold (peaks)"
40.4,0.0154480618322222,0.0264526800353038,"Threshold (peaks)"
40.6,0.0152099426827308,0.0246753065943842,"Threshold (peaks)"
40.8,0.0149837366427944,0.0230949648166866,"Threshold (peaks)"
41,0.0147808714569839,0.0217620442324748,"Threshold (peaks)"
41.2,0.0146154936163376,0.02073134613288,"Threshold (peaks)"
41.4,0.014504819922729,0.0200684331616411,"Threshold (peaks)"
41.6,0.0144711654728065,0.0198709985351683,"Threshold (peaks)"
41.8,0.0145452454132061,0.0203081316029841,"Threshold (peaks)"
42,0.0147725264358812,0.0217088548336527,"Threshold (peaks)"
42.2,0.0152236200437729,0.0247741695445749,"Threshold (peaks)"
42.4,0.0160081845870321,0.0311381929133426,"Threshold (peaks)"
42.6,0.0172815936348396,0.0449604115860189,"Threshold (peaks)"
42.8,0.0192080793700785,0.0773800719725542,"Threshold (peaks)"
43,0.0219042614132254,0.158386585568726,"Threshold (peaks)"
43.2,0.025595338153072,0.362657855539175,"Threshold (peaks)"
43.4,0.0286900604089315,0.589966166908878,"Threshold (peaks)"
43.6,0.0196767989711786,0.0880255426719158,"Threshold (peaks)"
43.8,0.0117402956866667,0.00886247729066007,"Threshold (peaks)"
44,0.00604803443527108,0.00162060118638657,"Threshold (peaks)"
20.2,0.0008070728879095,0.999662755150524,"Threshold (troughs)"
20.4,0.000911255844387933,0.999652060591054,"Threshold (troughs)"
20.6,0.00108052783304576,0.999633956886194,"Threshold (troughs)"
20.8,0.00139783313321782,0.999597445751348,"Threshold (troughs)"
21,0.00207648503264953,0.999506673420694,"Threshold (troughs)"
21.2,0.00379529004439096,0.999174435818385,"Threshold (troughs)"
21.4,0.0088478998505786,0.996256747094814,"Threshold (troughs)"
21.6,0.0194829620995164,0.916528613460403,"Threshold (troughs)"
21.8,0.00159846215033139,0.9995725038158,"Threshold (troughs)"
22,1.5046321594274e-06,0.999735086101317,"Threshold (troughs)"
22.2,3.5178758537318e-05,0.999732399201226,"Threshold (troughs)"
22.4,0.00131388844263022,0.999607445000178,"Threshold (troughs)"
22.6,0.0048888481415398,0.998854551886725,"Threshold (troughs)"
22.8,0.00240060084566067,0.999456365124274,"Threshold (troughs)"
23,0.00013953971720796,0.999723897825374,"Threshold (troughs)"
23.2,0.000421692360172545,0.999699537019347,"Threshold (troughs)"
23.4,0.00227464049034016,0.999476498355391,"Threshold (troughs)"
23.6,0.00440982646297081,0.999007613006752,"Threshold (troughs)"
23.8,0.00276754601114114,0.999393193525467,"Threshold (troughs)"
24,0.000517957824957464,0.999690743125082,"Threshold (troughs)"
24.2,0.00086590707622912,0.999656756767843,"Threshold (troughs)"
24.4,0.00234714610180406,0.999465002051072,"Threshold (troughs)"
24.6,0.00397290648477777,0.999129329091154,"Threshold (troughs)"
24.8,0.00292818733099208,0.999363277617907,"Threshold (troughs)"
25,0.00100305703036714,0.999642356414379,"Threshold (troughs)"
25.2,0.00114641880452906,0.99962665785998,"Threshold (troughs)"
25.4,0.00225319042545603,0.999479851854055,"Threshold (troughs)"
25.6,0.00355469957592151,0.99923183451716,"Threshold (troughs)"
25.8,0.00294901264142638,0.999359292947244,"Threshold (troughs)"
26,0.00144221668883425,0.999592056425676,"Threshold (troughs)"
26.2,0.00135525057890847,0.999602549479778,"Threshold (troughs)"
26.4,0.00216720622604747,0.999493080443951,"Threshold (troughs)"
26.6,0.00318794683286104,0.999311753160757,"Threshold (troughs)"
26.8,0.00290143376291746,0.999368360266182,"Threshold (troughs)"
27,0.0017782619736742,0.999548841648618,"Threshold (troughs)"
27.2,0.00154027177721049,0.999579892916563,"Threshold (troughs)"
27.4,0.00211188985974701,0.999501412522186,"Threshold (troughs)"
27.6,0.00289814781118816,0.99936898172954,"Threshold (troughs)"
27.8,0.00282133770895126,0.999383335803066,"Threshold (troughs)"
28,0.00201278728584378,0.999515999124852,"Threshold (troughs)"
28.2,0.00170761624573544,0.999558291078142,"Threshold (troughs)"
28.4,0.00208522291620842,0.99950538021471,"Threshold (troughs)"
28.6,0.00268461759459336,0.999408083109275,"Threshold (troughs)"
28.8,0.00272903180325736,0.999400154642693,"Threshold (troughs)"
29,0.00216602076326373,0.999493260456421,"Threshold (troughs)"
29.2,0.00185274726401114,0.999538659734326,"Threshold (troughs)"
29.4,0.00208153392806641,0.999505926597394,"Threshold (troughs)"
29.6,0.00253351965568171,0.999434279912005,"Threshold (troughs)"
29.8,0.00263806648153026,0.99941628064948,"Threshold (troughs)"
30,0.00225973617133027,0.999478830776213,"Threshold (troughs)"
30.2,0.00197245601015974,0.999521812531427,"Threshold (troughs)"
30.4,0.0020940154722111,0.999504075496995,"Threshold (troughs)"
30.6,0.00242951135019589,0.999451635998377,"Threshold (troughs)"
30.8,0.00255641246762294,0.999430386618083,"Threshold (troughs)"
31,0.0023122269503232,0.999470569903915,"Threshold (troughs)"
31.2,0.00206686009308576,0.999508093999718,"Threshold (troughs)"
31.4,0.00211605528873547,0.999500789894656,"Threshold (troughs)"
31.6,0.0023598909705885,0.999462955338057,"Threshold (troughs)"
31.8,0.00248749104257005,0.999442027515069,"Threshold (troughs)"
32,0.00233755592294804,0.999466537006962,"Threshold (troughs)"
32.2,0.00213843061622104,0.999497432018843,"Threshold (troughs)"
32.4,0.00214226338613027,0.999496854572795,"Threshold (troughs)"
32.6,0.00231495135660344,0.999470137588639,"Threshold (troughs)"
32.8,0.00243178557101421,0.999451262245847,"Threshold (troughs)"
33,0.00234596436439254,0.99946519143223,"Threshold (troughs)"
33.2,0.0021907555071422,0.999489491211271,"Threshold (troughs)"
33.4,0.00216883073956603,0.999492833657838,"Threshold (troughs)"
33.6,0.00228740094901752,0.999474493145536,"Threshold (troughs)"
33.8,0.00238823936806326,0.99945837473035,"Threshold (troughs)"
34,0.00234456366165136,0.999465415817243,"Threshold (troughs)"
34.2,0.00222767032249243,0.999483813704339,"Threshold (troughs)"
34.4,0.00219340286452386,0.99948908613286,"Threshold (troughs)"
34.6,0.00227179985878298,0.999476943697499,"Threshold (troughs)"
34.8,0.00235515130481521,0.999463717398798,"Threshold (troughs)"
35,0.0023380679367659,0.999466455167939,"Threshold (troughs)"
35.2,0.00225275385927449,0.99947991988331,"Threshold (troughs)"
35.4,0.00221475809623454,0.999485806748537,"Threshold (troughs)"
35.6,0.002264140051018,0.999478142683262,"Threshold (troughs)"
35.8,0.00233066668988243,0.999467636945621,"Threshold (troughs)"
36,0.00232945501668252,0.999467830167488,"Threshold (troughs)"
