"fish_level","mean_total","min_total","mean_selected","mean_juvenile","mean_yield","rel_amplitude","model"
1,0.384437581737041,0.0827192248518932,0.0144284606816397,0.370009121055401,0.0144284606816397,1.47642987621179,"Baseline (theta=1)"
3,0.39693244171453,0.0749096209209427,0.00998154083663518,0.386950900877894,0.0299446225099056,1.54729289295336,"Baseline (theta=1)"
5,0.405016604196462,0.0630857404350474,0.00769156862616028,0.397325035570301,0.0384578431308014,1.61817341797054,"Baseline (theta=1)"
7,0.403493267804842,0.0517953140196044,0.00621062547527243,0.39728264232957,0.043474378326907,1.68013812518618,"Baseline (theta=1)"
9,0.398415732920188,0.0460854351018409,0.00519590392838516,0.393219828991803,0.0467631353554664,1.70922318802056,"Baseline (theta=1)"
20,0.387762081249632,0.0243936114290323,0.00283231958029967,0.384929761669333,0.0566463916059935,1.83293312671863,"Baseline (theta=1)"
30,0.382581511011235,0.0367380085712814,0.00201934205653158,0.380562168954703,0.0605802616959475,1.73938821705598,"Baseline (theta=1)"
50,0.359178954175257,0.0218365428798468,0.00123643265312683,0.35794252152213,0.0618216326563416,1.82862898601964,"Baseline (theta=1)"
75,0.327761769035475,0.0137893897995486,0.000910623880061751,0.326851145155413,0.0682967910046314,1.88429613040089,"Baseline (theta=1)"
100,0.293587184489658,0.0249612202187597,0.000984599004769003,0.292602585484889,0.0984599004769003,1.78931324776904,"Baseline (theta=1)"
1,0.558668871926177,0.402077281231516,0.126504319041106,0.432164552885071,0.126504319041106,0.502709342462916,"theta=0.3"
3,0.594616466688429,0.294664345158531,0.0434754732528842,0.551140993435545,0.130426419758653,0.822738909693435,"theta=0.3"
5,0.619376455525827,0.252156974912737,0.0246949139582964,0.594681541567531,0.123474569791482,0.957051708414913,"theta=0.3"
7,0.633314538829421,0.222873284717372,0.016590936861594,0.616723601967827,0.116136558031158,1.05133717147293,"theta=0.3"
9,0.641072627205365,0.233080426310409,0.0123420442940425,0.628730582911323,0.111078398646383,1.01785925181207,"theta=0.3"
20,0.647746714259557,0.329193654117518,0.00522843814244334,0.642518276117114,0.104568762848867,0.726843918793582,"theta=0.3"
30,0.644224850762239,0.356300337295421,0.0034074484475559,0.640817402314683,0.102223453426677,0.64733341681664,"theta=0.3"
50,0.638364582492976,0.373670854711564,0.0019886117645159,0.636375970728461,0.0994305882257949,0.592935780572817,"theta=0.3"
75,0.634193543202403,0.380565880531011,0.00130240289680285,0.6328911403056,0.0976802172602137,0.568957150342408,"theta=0.3"
100,0.631768032960283,0.383520675849992,0.000967155705076099,0.630800877255207,0.0967155705076099,0.557763849339668,"theta=0.3"
