"D","alpha","beta","gamma","beta_gamma","B","Cc","disc","sum_positive","disc_nonneg","hopf_possible"
0.000503896262506516,0.000839827104177526,0.6,0.000167965420835505,0.000100779252501303,-0.000200853195437695,6.09387464083285e-08,-2.03412979515781e-07,TRUE,FALSE,FALSE
0.000527725435248354,0.000879542392080591,0.6,0.000175908478416118,0.000105545087049671,-0.000210316579279875,6.68385924019356e-08,-2.23121306087754e-07,TRUE,FALSE,FALSE
0.000552681485714461,0.000921135809524101,0.6,0.00018422716190482,0.000110536297142892,-0.000220224103106197,7.33096379163705e-08,-2.44739896076553e-07,TRUE,FALSE,FALSE
0.000578817703770128,0.000964696172950213,0.6,0.000192939234590043,0.000115763540754026,-0.000230596442801946,8.04071842074537e-08,-2.68454017396903e-07,TRUE,FALSE,FALSE
0.000606189899349758,0.00101031649891626,0.6,0.000202063299783253,0.000121237979869952,-0.000241455220311921,8.81918865776808e-08,-2.94466922894845e-07,TRUE,FALSE,FALSE
0.000634856521630522,0.00105809420271754,0.6,0.000211618840543507,0.000126971304326104,-0.000252823045310384,9.67302727336333e-08,-3.23001598694517e-07,TRUE,FALSE,FALSE
0.000664878783841727,0.00110813130640288,0.6,0.000221626261280576,0.000132975756768345,-0.000264723558544461,1.06095311328685e-07,-3.54302682866297e-07,TRUE,FALSE,FALSE
0.000696320793976389,0.00116053465662732,0.6,0.000232106931325463,0.000139264158795278,-0.000277181476901323,1.16367035549738e-07,-3.88638571061754e-07,TRUE,FALSE,FALSE
0.000729249691684145,0.00121541615280691,0.6,0.000243083230561382,0.000145849938336829,-0.000290222640249154,1.27633227077141e-07,-4.26303727395374e-07,TRUE,FALSE,FALSE
0.000763735791637803,0.001272892986063,0.6,0.000254578597212601,0.000152747158327561,-0.000303874060101153,1.39990166262869e-07,-4.67621220649117e-07,TRUE,FALSE,FALSE
0.000799852733679671,0.00133308788946612,0.6,0.000266617577893224,0.000159970546735934,-0.000318163970150827,1.53543454937962e-07,-5.12945507849713e-07,TRUE,FALSE,FALSE
0.000837677640068293,0.00139612940011382,0.6,0.000279225880022764,0.000167535528013659,-0.000333121878725455,1.68408918880892e-07,-5.62665489437992e-07,TRUE,FALSE,FALSE
0.000877291280161336,0.00146215213360223,0.6,0.000292430426720445,0.000175458256032267,-0.000348778623202737,1.84713597659308e-07,-6.17207862634035e-07,TRUE,FALSE,FALSE
0.000918778242886334,0.00153129707147722,0.6,0.000306259414295445,0.000183755648577267,-0.000365166426433419,2.02596830304312e-07,-6.77040802223095e-07,TRUE,FALSE,FALSE
0.000962227117367515,0.00160371186227919,0.6,0.000320742372455838,0.000192445423473503,-0.000382318955209791,2.22211446095375e-07,-7.42678000868795e-07,TRUE,FALSE,FALSE
0.00100773068209446,0.0016795511368241,0.6,0.000335910227364821,0.000201546136418892,-0.000400271380816578,2.43725070632297e-07,-8.14683104228377e-07,TRUE,FALSE,FALSE
0.00105538610303653,0.00175897683839421,0.6,0.000351795367678842,0.000211077220607305,-0.000419060441696603,2.67321558355829e-07,-8.93674579628366e-07,TRUE,FALSE,FALSE
0.00110529514112602,0.00184215856854337,0.6,0.000368431713708674,0.000221059028225204,-0.000438724508258751,2.9320256375923e-07,-9.80331060890038e-07,TRUE,FALSE,FALSE
0.00115756436955331,0.00192927394925551,0.6,0.000385854789851102,0.000231512873910661,-0.000459303649850046,3.21589264718242e-07,-1.07539721610739e-06,TRUE,FALSE,FALSE
0.00121230540133765,0.00202050900222942,0.6,0.000404101800445885,0.000242461080267531,-0.000480839703906971,3.52724252666988e-07,-1.17969018981461e-06,TRUE,FALSE,FALSE
0.00126963512765997,0.00211605854609996,0.6,0.000423211709219992,0.000253927025531995,-0.000503376347293467,3.86873605773158e-07,-1.29410667607812e-06,TRUE,FALSE,FALSE
0.00132967596746621,0.00221612661244369,0.6,0.000443225322488738,0.000265935193493243,-0.000526959169824104,4.2432916282973e-07,-1.41963068465721e-06,TRUE,FALSE,FALSE
0.00139255612887446,0.00232092688145744,0.6,0.000464185376291488,0.000278511225774893,-0.000551635749960714,4.654110172958e-07,-1.55734206854848e-06,TRUE,FALSE,FALSE
0.00145840988294399,0.00243068313823998,0.6,0.000486136627647996,0.000291681976588798,-0.000577455732659071,5.10470252800487e-07,-1.70842588802112e-06,TRUE,FALSE,FALSE
0.00152737785039071,0.00254562975065119,0.6,0.000509125950130238,0.000305475570078143,-0.000604470909328885,5.59891943487398e-07,-1.8741826937247e-06,TRUE,FALSE,FALSE
0.00159960730186149,0.00266601216976915,0.6,0.00053320243395383,0.000319921460372298,-0.000632735299855239,6.14098444840462e-07,-2.05603981967895e-06,TRUE,FALSE,FALSE
0.00167525247240822,0.00279208745401369,0.6,0.000558417490802739,0.000335050494481643,-0.000662305236612426,6.73553003114362e-07,-2.25556378601321e-06,TRUE,FALSE,FALSE
0.00175447489083346,0.00292412481805577,0.6,0.000584824963611154,0.000350894978166692,-0.000693239450381815,7.3876371421562e-07,-2.4744739212968e-06,TRUE,FALSE,FALSE
0.00183744372461073,0.00306240620768455,0.6,0.00061248124153691,0.000367488744922146,-0.000725599158063427,8.10287865866724e-07,-2.71465732528454e-06,TRUE,FALSE,FALSE
0.00192433614111598,0.00320722690185997,0.6,0.000641445380371994,0.000384867228223196,-0.000759448152046378,8.88736700161235e-07,-2.97818530499828e-06,TRUE,FALSE,FALSE
0.00201533768594174,0.00335889614323623,0.6,0.000671779228647245,0.000403067537188347,-0.000794852891075647,9.74780637210477e-07,-3.26733143039059e-06,TRUE,FALSE,FALSE
0.00211064267910156,0.0035177377985026,0.6,0.000703547559700519,0.000422128535820311,-0.000831882592421609,1.0691550045228e-06,-3.5845913705171e-06,TRUE,FALSE,FALSE
0.00221045462997102,0.00368409104995171,0.6,0.000736818209990341,0.000442090925994205,-0.000870609325124075,1.17266632107848e-06,-3.93270468732092e-06,TRUE,FALSE,FALSE
0.00231498667185116,0.00385831111975194,0.6,0.000771662223950388,0.000462997334370233,-0.000911108104043664,1.28619918980365e-06,-4.31467878196054e-06,TRUE,FALSE,FALSE
0.00242446201708233,0.00404077002847055,0.6,0.00080815400569411,0.000484892403416466,-0.000953456984409946,1.41072385734598e-06,-4.73381520826382e-06,TRUE,FALSE,FALSE
0.00253911443368035,0.00423185738946725,0.6,0.00084637147789345,0.00050782288673607,-0.000997737156507352,1.54730450575773e-06,-5.19373858955556e-06,TRUE,FALSE,FALSE
0.00265918874451269,0.00443198124085449,0.6,0.000886396248170898,0.000531837748902539,-0.00104403304008579,1.69710834694632e-06,-5.6984283989945e-06,TRUE,FALSE,FALSE
0.00278494135008065,0.00464156891680108,0.6,0.000928313783360216,0.00055698827001613,-0.00109243237802285,1.86141559761337e-06,-6.25225388990081e-06,TRUE,FALSE,FALSE
0.00291664077602371,0.00486106796003951,0.6,0.000972213592007902,0.000583328155204741,-0.00114302632869736,2.0416304199274e-06,-6.86001249161424e-06,TRUE,FALSE,FALSE
0.00305456824651543,0.00509094707752572,0.6,0.00101818941550514,0.000610913649303087,-0.00119590955646001,2.23929292142889e-06,-7.52697201848319e-06,TRUE,FALSE,FALSE
0.00319901828477507,0.00533169714129178,0.6,0.00106633942825836,0.000639803656955014,-0.00125118031950357,2.45609231671805e-06,-8.25891707495917e-06,TRUE,FALSE,FALSE
0.00335029934197723,0.00558383223662872,0.6,0.00111676644732574,0.000670059868395446,-0.00130894055434408,2.69388136340474e-06,-9.06220007881237e-06,TRUE,FALSE,FALSE
0.00350873445590272,0.00584789075983786,0.6,0.00116957815196757,0.000701746891180543,-0.00136929595602209,2.95469219568934e-06,-9.94379736757893e-06,TRUE,FALSE,FALSE
0.00367466194073669,0.00612443656789449,0.6,0.0012248873135789,0.000734932388147339,-0.00143235605302051,3.2407536908877e-06,-1.09113709009263e-05,TRUE,FALSE,FALSE
0.00384843610948743,0.00641406018247906,0.6,0.00128281203649581,0.000769687221897487,-0.00149823427577051,3.55451051731363e-06,-1.19733361241609e-05,TRUE,FALSE,FALSE
0.00403042803056805,0.00671738005094676,0.6,0.00134347601018935,0.000806085606113611,-0.00156704801747836,3.89864402630129e-06,-1.31389366161223e-05,TRUE,FALSE,FALSE
0.0042210263201569,0.00703504386692817,0.6,0.00140700877338563,0.000844205264031381,-0.00163891868585316,4.27609516690976e-06,-1.44183262088004e-05,TRUE,FALSE,FALSE
