"t_max","rel_amplitude_P","tau"
300,0.249500396595708,40
600,0.0483819304783563,40
1200,0.000800212646120818,40
2400,1.51364048139321e-07,40
4800,4.16333634234436e-15,40
9600,1.66533453693774e-16,40
300,0.251318295828074,80
600,0.24484466542697,80
1200,0.0463082039772896,80
2400,0.000518371427123068,80
4800,8.34401371962094e-08,80
9600,1.66533453693774e-15,80
