"fish_level","mean_total","min_total","mean_selected","mean_juvenile","mean_yield","rel_amplitude","knife_edge_size"
1,0.338600290720456,0.322413491919874,0.0057130552179816,0.332887235502474,0.0443214534096704,0.075478660394349,3
2,0.297127544293665,0.268453676125492,0.00356787810100399,0.293559666192661,0.0766346333891961,0.159248710509186,3
3,0.271520950760918,0.2054164135738,0.00253324272333888,0.268987708037579,0.105735165550201,0.435952572221805,3
5,0.324454231463832,0.112919014209615,0.00175042584063772,0.322703805623194,0.109168423676195,1.14086545900624,3
9,0.415179013990067,0.293412637307947,0.000458988798368717,0.414720025191698,0.0702831131854432,0.439656419328602,3
20,0.209513461517932,0.00606665777405243,0.000193434122475916,0.209320027395456,0.166655295079197,1.9164855784254,3
50,0.0320753539349291,0.0318798237554874,0.000121229875212983,0.0319541240597161,0.363429539509594,0.00950492583472707,3
100,3.47932192958083e-11,6.74300632220625e-21,2.14161803671754e-14,3.47718031154411e-11,6.87890430639623e-10,1.99999999995832,3
1,0.341944608528522,0.33628183048427,0.00643679033350247,0.335507818195019,0.0205798787224175,0.0371747452186926,5
2,0.299974130569006,0.288636207763374,0.00448794828510486,0.295486182283901,0.0391153714983949,0.0657610834221067,5
3,0.269277265283499,0.247324323150412,0.00331072301777151,0.265966542265728,0.057340300233308,0.125800147343332,5
5,0.242559893615305,0.19282129146582,0.00206757670304611,0.240492316912259,0.0853003203492991,0.363265140630248,5
9,0.298872063590323,0.0958733163257858,0.00139900025069119,0.297473063339632,0.0949774262854456,1.20343691316477,5
20,0.281859828577144,0.0243374739831437,0.00037264985345747,0.281487178723686,0.103609305611161,1.74703823830799,5
50,0.100302059253322,0.00691525969050831,0.00012210609274677,0.100179953160575,0.297514881136946,1.8455478716956,5
100,0.0322913842855658,0.032232127568167,4.72328913175953e-05,0.0322441513942483,0.337214388663865,0.00583248167681688,5
1,0.353631039308155,0.34904717974136,0.00721074207280138,0.346420297235353,0.0131125421322754,0.0302801050086488,7
2,0.321194710487144,0.314597006053712,0.00554168938089539,0.315653021106248,0.0233989515983866,0.0423935959871719,7
3,0.294891623104525,0.285142718871901,0.00441035448224203,0.290481268622283,0.0326227729361853,0.0573301241277848,7
5,0.258156271882696,0.239870608987914,0.00302062687989107,0.255135645002805,0.0499771904153388,0.108456031730291,7
9,0.226644738096499,0.195421510534437,0.00164253827056399,0.225002199825935,0.0752968252697724,0.253403306419388,7
20,0.252695298155688,0.1005612861564,0.000652165531592075,0.252043132624096,0.0913039638355309,1.01677341701964,7
50,0.195930363472091,0.0418669648928181,0.000183265106942657,0.195747098365149,0.144001435447178,1.45483302714873,7
100,0.142295660002598,0.034057166620635,5.37516139911115e-05,0.142241908388607,0.215550773810009,1.39075674550823,7
1,0.367100427490479,0.362908144802823,0.00810688750603444,0.358993539984444,0.00810688750603444,0.0270427167021517,10
2,0.347338362180819,0.342192486164401,0.00696422562378247,0.340374136557036,0.0139284512475649,0.0329157572238014,10
3,0.331346332408509,0.325064864494405,0.00613021229547689,0.325216120113032,0.0183906368864307,0.0387399266763548,10
5,0.30799652915682,0.29906304357181,0.00500013315473197,0.302996396002088,0.0250006657736598,0.0495314639944402,10
9,0.281275890942157,0.267589508383328,0.0037292283031393,0.277546662639018,0.0335630547282537,0.0713030496800137,10
20,0.253017348117324,0.241729538588055,0.00226056869134767,0.250756779425977,0.0452113738269533,0.081428077242212,10
50,0.235827563270882,0.222468794357085,0.00108998019881022,0.234737583072072,0.054499009940511,0.118918568898903,10
100,0.228657928741763,0.211875084135974,0.000588124452357985,0.228069804289405,0.0588124452357985,0.156023584302589,10
1,0.387032637615391,0.383325263564219,0.00947162655944727,0.377561011055944,0.00175340841519039,0.0232506496541607,15
2,0.383866823095387,0.379950286070373,0.00928067336860192,0.374586149726785,0.00301932590257725,0.0243984242380948,15
3,0.381414204610627,0.377315388567725,0.00913628366630259,0.372277920944325,0.00397032922474224,0.02535318799563,15
5,0.377886064315159,0.373504183458063,0.00893365263536704,0.368952411679792,0.00529515956081648,0.0267924710583169,15
9,0.373756409031656,0.369009198691596,0.00870347626904219,0.365052932762614,0.00678460023158844,0.0285639955429941,15
20,0.369163001036017,0.363915650999979,0.00845533828596511,0.360707662750052,0.0083685748187439,0.0307438367446344,15
50,0.365991037276087,0.360379503938808,0.0082881970994693,0.357702840176618,0.00942051863670088,0.0322429759241176,15
100,0.364744938549208,0.35897726159457,0.0082233600197158,0.356521578529493,0.00982491080396432,0.0328492028555334,15
1,0.39091423554283,0.387404235727411,0.00971444284912844,0.381199792693702,0.000174082796491925,0.0220660645244771,20
2,0.39065955060372,0.387122701152183,0.00969924340446319,0.380960307199256,0.000308620893686427,0.0222093794635179,20
3,0.390455672722178,0.386897287332385,0.00968709117721052,0.380768581544968,0.000415445230154202,0.0223239461809882,20
5,0.390150396859007,0.386559733733796,0.00966891709434336,0.380481479764664,0.000573879172751376,0.0224950054101825,20
9,0.389771343063226,0.386140635871185,0.00964638116064417,0.380124961902582,0.000767928557442279,0.0227061214596572,20
20,0.38931531844716,0.385635439908341,0.00961930103548325,0.379696017411677,0.000997165622659226,0.0229604452071538,20
50,0.388974382203503,0.385252235746001,0.00959906846148793,0.379375313742015,0.00116531091672081,0.0231629176576194,20
100,0.388833690695363,0.385094189456744,0.00959072069312244,0.379242970002241,0.001233843706042,0.0232456953458325,20
