"t","selected_biomass","on_frac","schedule"
21.4,0.00521332696146437,0.111435631210125,"Threshold (peaks)"
21.6,0.00524410816701448,0.113518307222626,"Threshold (peaks)"
21.8,0.00528798067533102,0.116545358750542,"Threshold (peaks)"
22,0.00534637749684445,0.120683038862496,"Threshold (peaks)"
22.2,0.0054200640829079,0.126084343187134,"Threshold (peaks)"
22.4,0.00551055756621831,0.132999292531543,"Threshold (peaks)"
22.6,0.00562091601320068,0.141863892222406,"Threshold (peaks)"
22.8,0.00575383371683076,0.153189330730589,"Threshold (peaks)"
23,0.00591082033038054,0.167507452023299,"Threshold (peaks)"
23.2,0.00609652065451123,0.185801078995698,"Threshold (peaks)"
23.4,0.00631971758713846,0.209781266257589,"Threshold (peaks)"
23.6,0.00658672490626856,0.241354855598126,"Threshold (peaks)"
23.8,0.00690359893721285,0.282825823886794,"Threshold (peaks)"
24,0.00728863977855377,0.338607596445011,"Threshold (peaks)"
24.2,0.00777670053328216,0.416126254196497,"Threshold (peaks)"
24.4,0.00842426427835268,0.525035295380111,"Threshold (peaks)"
24.6,0.00937681166671448,0.678277051759619,"Threshold (peaks)"
24.8,0.0112243612031125,0.880601740576229,"Threshold (peaks)"
25,0.0171628861014029,0.997584172291077,"Threshold (peaks)"
25.2,0.0163329988615783,0.99576780774003,"Threshold (peaks)"
25.4,0.00314789637152865,0.0299994872091401,"Threshold (peaks)"
25.6,0.00239273162307375,0.0181999340677666,"Threshold (peaks)"
25.8,0.00628916796672189,0.206369288089545,"Threshold (peaks)"
26,0.00666601292930727,0.251331380123799,"Threshold (peaks)"
26.2,0.00635418839191789,0.213680725063945,"Threshold (peaks)"
26.4,0.00625998755709876,0.203148739798614,"Threshold (peaks)"
26.6,0.00619797132788191,0.196429009318526,"Threshold (peaks)"
26.8,0.00613839565807598,0.190133178850767,"Threshold (peaks)"
27,0.00607698410912232,0.183806179984044,"Threshold (peaks)"
27.2,0.00601374906859873,0.177463054241604,"Threshold (peaks)"
