"body","rates","resource_decrease","capacity_mult","effort","spectral_radius","stable","hopf_period","bifurcation_type","error"
"anchovy","anchovy",0.001,1,0,NA,NA,NA,NA,"Some species have no reproduction."
"cod","anchovy",0.001,1,0,0.71164420473694,TRUE,257.50373655236,"stable",NA
"anchovy","cod",0.001,1,0,0.999999999427488,TRUE,270573564.864871,"stable",NA
"cod","cod",0.001,1,0,0.999999999874749,TRUE,604926523.275372,"stable",NA
"anchovy","anchovy",0.00562341325190349,1,0,0.351067717553983,TRUE,104.326577187503,"stable",NA
"cod","anchovy",0.00562341325190349,1,0,0.71164420473694,TRUE,182.646747669198,"stable",NA
"anchovy","cod",0.00562341325190349,1,0,0.999999999427488,TRUE,270724915.980902,"stable",NA
"cod","cod",0.00562341325190349,1,0,0.999999999874749,TRUE,605102629.119001,"stable",NA
"anchovy","anchovy",0.0316227766016838,1,0,0.351067717544788,TRUE,115.775506963245,"stable",NA
"cod","anchovy",0.0316227766016838,1,0,0.71164420473694,TRUE,198.321214596155,"stable",NA
"anchovy","cod",0.0316227766016838,1,0,0.999999999427488,TRUE,270471683.466204,"stable",NA
"cod","cod",0.0316227766016838,1,0,0.999999999874749,TRUE,605129370.909352,"stable",NA
"anchovy","anchovy",0.177827941003892,1,0,0.352624601587799,TRUE,51.4885593428427,"stable",NA
"cod","anchovy",0.177827941003892,1,0,0.71164420473694,TRUE,177.680738164228,"stable",NA
"anchovy","cod",0.177827941003892,1,0,0.999999999427488,TRUE,270556810.013208,"stable",NA
"cod","cod",0.177827941003892,1,0,0.999999999874749,TRUE,605129398.249091,"stable",NA
"anchovy","anchovy",1,1,0,0.351067715389067,TRUE,247.660246250783,"stable",NA
"cod","anchovy",1,1,0,0.71164420473694,TRUE,184.097067137448,"stable",NA
"anchovy","cod",1,1,0,0.999999999427488,TRUE,270399424.462214,"stable",NA
"cod","cod",1,1,0,0.999999999874749,TRUE,605129398.249091,"stable",NA
"anchovy","anchovy",0.001,2.71441761659491,0,0.351067717315429,TRUE,86.8603783356325,"stable",NA
"cod","anchovy",0.001,2.71441761659491,0,0.71164420473694,TRUE,326.477220367518,"stable",NA
"anchovy","cod",0.001,2.71441761659491,0,0.999999999427488,TRUE,457242822.522079,"stable",NA
"cod","cod",0.001,2.71441761659491,0,0.999999999877247,TRUE,560151264.112704,"stable",NA
"anchovy","anchovy",0.00562341325190349,2.71441761659491,0,0.351067715905925,TRUE,165.587716814696,"stable",NA
"cod","anchovy",0.00562341325190349,2.71441761659491,0,0.71164420473694,TRUE,188.295226932704,"stable",NA
"anchovy","cod",0.00562341325190349,2.71441761659491,0,0.999999999427488,TRUE,614498213.057901,"stable",NA
"cod","cod",0.00562341325190349,2.71441761659491,0,0.999999999874749,TRUE,559989691.641675,"stable",NA
"anchovy","anchovy",0.0316227766016838,2.71441761659491,0,0.377146338368696,TRUE,19.6128499376918,"stable",NA
"cod","anchovy",0.0316227766016838,2.71441761659491,0,0.71164420473694,TRUE,1342.34363602228,"stable",NA
"anchovy","cod",0.0316227766016838,2.71441761659491,0,0.999999999427488,TRUE,454256539.647264,"stable",NA
"cod","cod",0.0316227766016838,2.71441761659491,0,0.99999999987481,TRUE,560087286.525202,"stable",NA
"anchovy","anchovy",0.177827941003892,2.71441761659491,0,0.351067703494145,TRUE,62.9520313714207,"stable",NA
"cod","anchovy",0.177827941003892,2.71441761659491,0,0.71164420473694,TRUE,2156.45356406209,"stable",NA
"anchovy","cod",0.177827941003892,2.71441761659491,0,0.999999999427488,TRUE,454436885.618161,"stable",NA
"cod","cod",0.177827941003892,2.71441761659491,0,0.999999999874833,TRUE,560073591.433094,"stable",NA
"anchovy","anchovy",1,2.71441761659491,0,0.351067717315387,TRUE,388.987282948308,"stable",NA
"cod","anchovy",1,2.71441761659491,0,0.71164420473694,TRUE,1524.03085228694,"stable",NA
"anchovy","cod",1,2.71441761659491,0,0.999999999427488,TRUE,626282669.086414,"stable",NA
"cod","cod",1,2.71441761659491,0,0.999999999874805,TRUE,560073816.924656,"stable",NA
"anchovy","anchovy",0.001,7.36806299728077,0,0.351067718094432,TRUE,77.2062850193246,"stable",NA
"cod","anchovy",0.001,7.36806299728077,0,0.71164420473694,TRUE,140.095552190929,"stable",NA
"anchovy","cod",0.001,7.36806299728077,0,0.999999999427606,TRUE,576128459.020887,"stable",NA
"cod","cod",0.001,7.36806299728077,0,0.999999999874749,TRUE,585444157.720882,"stable",NA
"anchovy","anchovy",0.00562341325190349,7.36806299728077,0,0.351067717219001,TRUE,97.9642570630834,"stable",NA
"cod","anchovy",0.00562341325190349,7.36806299728077,0,0.71164420473694,TRUE,299.95268827071,"stable",NA
"anchovy","cod",0.00562341325190349,7.36806299728077,0,0.999999999438797,TRUE,562069229.607186,"stable",NA
"cod","cod",0.00562341325190349,7.36806299728077,0,0.999999999877166,TRUE,585916976.339191,"stable",NA
"anchovy","anchovy",0.0316227766016838,7.36806299728077,0,0.351067717218705,TRUE,141.503270187263,"stable",NA
"cod","anchovy",0.0316227766016838,7.36806299728077,0,0.71164420473694,TRUE,233.012684256642,"stable",NA
"anchovy","cod",0.0316227766016838,7.36806299728077,0,0.999999999428344,TRUE,522785090.836119,"stable",NA
"cod","cod",0.0316227766016838,7.36806299728077,0,0.999999999874749,TRUE,584840554.178333,"stable",NA
"anchovy","anchovy",0.177827941003892,7.36806299728077,0,0.394991310743096,TRUE,19.718845334692,"stable",NA
"cod","anchovy",0.177827941003892,7.36806299728077,0,0.71164420473694,TRUE,199.927370834425,"stable",NA
"anchovy","cod",0.177827941003892,7.36806299728077,0,0.999999999426963,TRUE,563967222.854521,"stable",NA
"cod","cod",0.177827941003892,7.36806299728077,0,0.999999999874749,TRUE,583770163.515392,"stable",NA
"anchovy","anchovy",1,7.36806299728077,0,0.396002716434185,TRUE,19.9761075009459,"stable",NA
"cod","anchovy",1,7.36806299728077,0,0.71164420473694,TRUE,717.727207302053,"stable",NA
"anchovy","cod",1,7.36806299728077,0,0.999999999440031,TRUE,568095756.293954,"stable",NA
"cod","cod",1,7.36806299728077,0,0.999999999874749,TRUE,583747307.301861,"stable",NA
"anchovy","anchovy",0.001,20,0,0.351067717181359,TRUE,112.87682098349,"stable",NA
"cod","anchovy",0.001,20,0,0.71164420473694,TRUE,278.237413675926,"stable",NA
"anchovy","cod",0.001,20,0,0.999999999427366,TRUE,379440779.392207,"stable",NA
"cod","cod",0.001,20,0,0.99999999987499,TRUE,521418474.383384,"stable",NA
"anchovy","anchovy",0.00562341325190349,20,0,0.362109205744718,TRUE,56.3843118473684,"stable",NA
