"resource_decrease","spectral_radius","stable","hopf_period","dominant_period","n_active","error","measured_period"
0.001,0.508413331747631,TRUE,64.1675658637495,Inf,200,NA,NA
0.00187381742286038,0.508413331747627,TRUE,183.711369430468,Inf,200,NA,NA
0.00351119173421513,0.508413331747629,TRUE,82.3721369252559,Inf,200,NA,NA
0.00657933224657568,0.508413331747629,TRUE,148.461336964158,Inf,200,NA,NA
0.0123284673944207,0.508413331747627,TRUE,185.961633371629,Inf,200,NA,NA
0.0231012970008316,0.508413331747626,TRUE,61.2547602606898,Inf,200,NA,NA
0.0432876128108306,0.50841333174763,TRUE,182.570188257384,Inf,200,NA,NA
0.0811130830789687,0.50841333174763,TRUE,64.4313383593408,Inf,200,NA,NA
0.151991108295293,0.50841333174763,TRUE,126.023701433383,Inf,200,NA,NA
0.28480358684358,0.508413331747631,TRUE,66.5855476718289,Inf,200,NA,NA
0.533669923120631,0.508413331747628,TRUE,83.9243396028964,Inf,200,NA,NA
1,0.50841333174763,TRUE,55.6674509619092,Inf,200,NA,NA
