"tau","max_N","min_N","max_P","min_P","rel_amplitude_P","t_max"
10,3.38277808713988,-6.9562503015077,1.9819756350503,0.0182031118784796,3.05920416891329,300
10,3.38450187465042,-6.96724714876412,1.98253998517413,0.0181499248464861,2.95146284424748,1500
10,3.38456933538823,-6.96730648246428,1.98254204677026,0.0181472059948359,2.92322728228358,3000
