"min_total","mean_total","mean_selected","mean_juvenile","mean_yield","rel_amplitude","knife_edge_size","schedule","boost_level","mean_effort","effective_window","n_bursts"
0.409339641569763,0.597990081067225,0.101504300542543,0.496485780524682,0.101504300542543,0.485856499967448,10,"Constant",NA,1,NA,NA
0.335328456450619,0.626053678768392,0.0728814657369063,0.553172213031486,0.105117556531744,0.734949446725277,10,"Threshold (peaks)",2,1.28628610735513,3,1
0.41714233712256,0.567309558216958,0.0877996513683628,0.479509906848595,0.114201180609225,0.413760520341325,10,"Threshold (troughs)",2,1.57629340611024,4.4,1
0.295198822365209,0.638473567089149,0.0644398880698346,0.574033679019315,0.106733763299298,0.866650478394017,10,"Threshold (peaks)",3,1.4353477108039,2.2,1
0.423131605677393,0.538718227242195,0.0877712238086517,0.450947003433544,0.130688363519084,0.362097921416526,10,"Threshold (troughs)",3,2.11902765299327,4.4,1
0.243210200153711,0.652418120184566,0.0581204310070428,0.594297689177523,0.107593540705752,1.03314923012145,10,"Threshold (peaks)",5,1.60441481162612,1.4,1
0.408361974128043,0.520485583097652,0.0732104244147577,0.447275158682894,0.144149714757999,0.380426893380948,10,"Threshold (troughs)",5,3.5680462590559,5.4,1
0.226078448921315,0.658477633732765,0.055991725551622,0.602485908181143,0.10778646269226,1.0900891077171,10,"Threshold (peaks)",7,1.69332607504329,1.2,1
0.345909755916982,0.556949272737336,0.0418881419514251,0.515061130785911,0.124677136872945,0.581887842391236,10,"Threshold (troughs)",7,5.80221175753832,NA,0
0.214283042513478,0.660324810150806,0.0551286690228824,0.605196141127924,0.108125062087401,1.12828607154077,10,"Threshold (peaks)",9,1.73995909840633,0.8,1
0.294554184730563,0.582156567073869,0.0322073667597459,0.549949200314123,0.115836472096688,0.762595394719336,10,"Threshold (troughs)",9,7.67227270273153,NA,0
0.219168809856054,0.661624080753044,0.0539305534172013,0.607693527335842,0.108510209818329,1.11322369200603,10,"Threshold (peaks)",15,1.80211774222295,0.4,1
0.171354757344226,0.604481540557131,0.00864997097082392,0.595831569586307,0.129725209918558,1.22195649940428,10,"Threshold (troughs)",15,14.999490947796,NA,0
0.211070261462797,0.66193141289492,0.0533370149742123,0.608594397920707,0.10872388330295,1.13886026552234,10,"Threshold (peaks)",20,1.83252821746817,NA,0
0.151696421753821,0.600868374255708,0.00656932243185318,0.594299051823855,0.131385174692705,1.29142848574606,10,"Threshold (troughs)",20,19.9999646839898,NA,0
0.204381157494921,0.662139427875124,0.0525204459305668,0.609618981944557,0.109039610825047,1.16016889211842,10,"Threshold (peaks)",30,1.87439152925364,NA,0
0.153891598012231,0.595725505075796,0.00444367323885823,0.591281831836938,0.13331011255781,1.27668924195417,10,"Threshold (troughs)",30,29.999996522869,NA,0
