"D","alpha","tau_critical","tau_tested","predicted_period","measured_period","n_peaks_found"
0.3,0.5,11.4779474559029,17.2169211838544,53.77073872824,77.5875,21
0.5,0.833333333333333,12.0303454157995,18.0455181236993,52.889255736748,77.8575,21
1,1.66666666666667,12.5247093917664,18.7870640876496,52.4947243666677,78.5657894736842,20
1.5,2.5,12.7053118876375,19.0579678314563,52.4200232568729,78.9052631578947,20
2,3.33333333333333,12.7985673181197,19.1978509771796,52.3937519442844,79.095,21
3,5,12.8937749547404,19.3406624321106,52.3749463603348,79.2975,21
5,8.33333333333333,12.971334498008,19.457001747012,52.3653048254344,79.4684210526316,20
