"t","total_biomass","on_frac","schedule","rel_amplitude"
23.2,0.691768848113955,0.00431381788348734,"Threshold (peaks)",1.12828607154077
23.4,0.687269505920691,0.00647067240322067,"Threshold (peaks)",1.12828607154077
23.6,0.682129670553619,0.0102896850670675,"Threshold (peaks)",1.12828607154077
23.8,0.676114182862941,0.0169916232300043,"Threshold (peaks)",1.12828607154077
24,0.668904143586712,0.0279856696010634,"Threshold (peaks)",1.12828607154077
24.2,0.660075325717354,0.0438960011239798,"Threshold (peaks)",1.12828607154077
24.4,0.649214959243419,0.0643700791280376,"Threshold (peaks)",1.12828607154077
24.6,0.635971697714377,0.0896226761829877,"Threshold (peaks)",1.12828607154077
24.8,0.619894985177484,0.120961476703556,"Threshold (peaks)",1.12828607154077
25,0.600344314788353,0.160182194376473,"Threshold (peaks)",1.12828607154077
25.2,0.576505145582079,0.209621475316202,"Threshold (peaks)",1.12828607154077
25.4,0.54730036875785,0.272551353143655,"Threshold (peaks)",1.12828607154077
25.6,0.511277117184185,0.353349929450765,"Threshold (peaks)",1.12828607154077
25.8,0.466607080559872,0.457366502743387,"Threshold (peaks)",1.12828607154077
26,0.411183474501275,0.589085328967498,"Threshold (peaks)",1.12828607154077
26.2,0.34358491285375,0.741781074725738,"Threshold (peaks)",1.12828607154077
26.4,0.268523126588381,0.853687301597009,"Threshold (peaks)",1.12828607154077
26.6,0.217453598049451,0.711666014585486,"Threshold (peaks)",1.12828607154077
26.8,0.253045517440801,0.321329429931996,"Threshold (peaks)",1.12828607154077
27,0.345682580062258,0.157364111480026,"Threshold (peaks)",1.12828607154077
27.2,0.43077717114281,0.0884982313028989,"Threshold (peaks)",1.12828607154077
27.4,0.497260042321955,0.0599325810426068,"Threshold (peaks)",1.12828607154077
27.6,0.549414966108576,0.0467727330090033,"Threshold (peaks)",1.12828607154077
27.8,0.590579881712081,0.0397682484652575,"Threshold (peaks)",1.12828607154077
28,0.623328262692055,0.035500755408907,"Threshold (peaks)",1.12828607154077
28.2,0.649641271982503,0.0325636324272127,"Threshold (peaks)",1.12828607154077
28.4,0.670987716180653,0.0303329047174768,"Threshold (peaks)",1.12828607154077
28.6,0.688449329023513,0.0285092149095174,"Threshold (peaks)",1.12828607154077
28.8,0.702831052450115,0.0269374106950168,"Threshold (peaks)",1.12828607154077
