"t","total","selected","juvenile","knife_edge_size","fish_level"
41.8,0.586043643266386,0.00392177061873468,0.582121872647651,10,10
42,0.592417602801128,0.00388163406828805,0.58853596873284,10,10
42.2,0.596821368334533,0.00382173921909023,0.592999629115443,10,10
42.4,0.599548730440841,0.00374818880593757,0.595800541634904,10,10
42.6,0.600764094456396,0.00366447795588457,0.597099616500511,10,10
42.8,0.600567993531276,0.00357260579651123,0.596995387734765,10,10
43,0.599042285780803,0.00347373418198014,0.595568551598822,10,10
43.2,0.59627034304226,0.00336858930850916,0.592901753733751,10,10
43.4,0.592333062712528,0.00325773300900898,0.589075329703519,10,10
43.6,0.587313997731609,0.00314177209928768,0.584172225632322,10,10
43.8,0.581278509779548,0.00302148707034168,0.578257022709207,10,10
44,0.5742939504715,0.00289797622743502,0.571395974244065,10,10
20,0.431021786219296,0.00714306441787082,0.423878721801426,10,30
20.2,0.408871122757421,0.000665594277067437,0.408205528480353,10,30
20.4,0.392137065303145,0.000647452983031206,0.391489612320114,10,30
20.6,0.374081300133545,0.000645391491213409,0.373435908642331,10,30
20.8,0.354597217954928,0.000661694820656506,0.353935523134272,10,30
21,0.333505118400413,0.00071177085613592,0.332793347544277,10,30
21.2,0.31045436484825,0.000831346416051957,0.309623018432198,10,30
21.4,0.284723176252829,0.00112100829920321,0.283602167953625,10,30
21.6,0.254588532521929,0.00192046916793075,0.252668063353998,10,30
21.8,0.214937759996783,0.00454394085492113,0.210393819141862,10,30
22,0.149150098045116,0.0129851429926556,0.13616495505246,10,30
22.2,0.0442110075381652,0.0163811867565175,0.0278298207816477,10,30
22.4,0.0352374132402637,0.00073580269125658,0.0345016105490071,10,30
22.6,0.170945404442914,0.000217242580222103,0.170728161862692,10,30
22.8,0.322865831743761,0.000616758997861752,0.322249072745899,10,30
23,0.40344597761351,0.000917171514278318,0.402528806099232,10,30
23.2,0.450828921601035,0.00113411419031896,0.449694807410716,10,30
23.4,0.481349629420161,0.00126164489693044,0.480087984523231,10,30
23.6,0.501401403735157,0.00132313586821165,0.500078267866946,10,30
23.8,0.514381061787227,0.00134176739087857,0.513039294396348,10,30
24,0.522255393787732,0.00133355894336,0.520921834844372,10,30
24.2,0.526239311814435,0.00130854845032136,0.524930763364114,10,30
24.4,0.527143010857534,0.00127278585880792,0.525870224998726,10,30
24.6,0.525537608960452,0.001229884855418,0.524307724105034,10,30
24.8,0.521835774843766,0.00118205314762095,0.520653721696145,10,30
25,0.51633996910125,0.00113073981032247,0.515209229290928,10,30
25.2,0.509275711981976,0.00107702979189465,0.508198682190081,10,30
25.4,0.500813888163118,0.00102189419388313,0.499791993969235,10,30
25.6,0.491083844575438,0.000966327690534579,0.490117516884904,10,30
25.8,0.480183534918607,0.000911434029812236,0.479272100888795,10,30
26,0.468182179055252,0.000858432843210809,0.467323746212042,10,30
26.2,0.455125603670198,0.000808627958606346,0.454316975711591,10,30
26.4,0.44103708408195,0.000763382767125778,0.440273701314824,10,30
26.6,0.425918806068312,0.000724101569916648,0.425194704498395,10,30
26.8,0.409751869475962,0.000692390325888145,0.409059479150074,10,30
27,0.392492364672442,0.00067042338890387,0.391821941283538,10,30
27.2,0.37406303086992,0.000661792790627386,0.373401238079292,10,30
27.4,0.354334857836697,0.000673416633771901,0.353661441202925,10,30
27.6,0.333089951351611,0.000720239481669069,0.332369711869942,10,30
27.8,0.309941122579525,0.000838663494808369,0.309102459084716,10,30
28,0.284127329371335,0.0011318214678327,0.282995507903502,10,30
28.2,0.253867925214747,0.00194900633098708,0.25191891888376,10,30
28.4,0.213905181850855,0.00464273685234213,0.209262444998513,10,30
28.6,0.147242909537245,0.0132492433762114,0.133993666161034,10,30
28.8,0.0423359692295289,0.0160005329634842,0.0263354362660448,10,30
29,0.0367380085712814,0.000666258916606106,0.0360717496546753,10,30
29.2,0.174775835834864,0.000224771358002669,0.174551064476861,10,30
29.4,0.325187295449994,0.000624071866666667,0.324563223583327,10,30
29.6,0.404706230207886,0.000922704128932328,0.403783526078953,10,30
29.8,0.451623659353239,0.00113767198252401,0.450485987370715,10,30
30,0.481870756721886,0.0012635318670678,0.480607224854819,10,30
30.2,0.501743711126875,0.00132390174674168,0.500419809380133,10,30
30.4,0.514598005364536,0.00134182535449918,0.513256180010037,10,30
30.6,0.522378961250564,0.00133317569246177,0.521045785558103,10,30
30.8,0.52629012278221,0.00130788659461454,0.524982236187595,10,30
31,0.527135322960663,0.00127194246047105,0.525863380500192,10,30
31.2,0.525481644386274,0.00122891823184068,0.524252726154434,10,30
