"min_total","mean_total","mean_selected","mean_juvenile","mean_yield","rel_amplitude","knife_edge_size","schedule","boost_level","mean_effort","effective_window","n_bursts"
0.337080891006914,0.605140602730273,0.0563113321488412,0.548829270581432,0.112622664297682,0.694350500972293,10,"Constant",NA,2,NA,NA
0.295784312055042,0.614665811006008,0.0450161965572265,0.569649614448781,0.116280705642122,0.831702997523593,10,"Threshold (peaks)",3,2.39438486082813,3.8,1
0.33696594109644,0.596417635390126,0.0500022340908441,0.546415401299282,0.115116922137643,0.677032948895417,10,"Threshold (troughs)",3,2.61218247000625,NA,0
0.251453258786009,0.626807382972543,0.036561877111013,0.59024550586153,0.11801651425367,0.980992029383175,10,"Threshold (peaks)",5,2.80901190668536,2.6,1
0.339222364265021,0.585098125492926,0.0415527189528644,0.543545406540061,0.118070452576233,0.6499146370151,10,"Threshold (troughs)",5,4.0872899285976,NA,0
0.225430828918348,0.633568678631468,0.03319309901648,0.600375579614988,0.118442896032479,1.06774529935596,10,"Threshold (peaks)",7,3.06407660299186,2,1
0.339202437195253,0.578914968204721,0.0360913302728544,0.542823637931867,0.119782552155508,0.638099525675752,10,"Threshold (troughs)",7,5.68419271788542,NA,0
0.208765131161279,0.636601843451821,0.0314315745638823,0.605170268887939,0.119018175259087,1.12352621579017,10,"Threshold (peaks)",9,3.26363311042419,1.6,1
0.338791926969922,0.576149862333293,0.031988587149788,0.544161275183505,0.121039934394017,0.635155655322895,10,"Threshold (troughs)",9,7.36034805323805,NA,0
0.18115842303122,0.637514940927064,0.0291794690679921,0.608335471859071,0.119717256548372,1.2175332291368,10,"Threshold (peaks)",15,3.62304932266165,1,1
0.32439503180364,0.580903587261132,0.023640454339732,0.5572631329214,0.119583701465068,0.688207220832731,10,"Threshold (troughs)",15,12.6294464690821,NA,0
0.18338543254553,0.636789067030401,0.0283758498251762,0.608413217205225,0.120408365069545,1.20941031297528,10,"Threshold (peaks)",20,3.78876336270843,0.6,1
0.293859277081128,0.58896529647376,0.0192192522275816,0.569746044246178,0.122813080804736,0.793176974024739,10,"Threshold (troughs)",20,17.2993558781323,NA,0
0.167741954518196,0.635583099163223,0.0274357551713846,0.608147343991838,0.120940414261762,1.26358116626114,10,"Threshold (peaks)",30,3.97045844271885,0.4,1
0.15302905322693,0.595837797436005,0.00446810432843148,0.591369693107574,0.133375960569534,1.2801415988743,10,"Threshold (troughs)",30,29.9754565343508,NA,0
