"value","metric","direction","branch"
1.075,2211904.13201386,"Forward","min"
1.1,1733036.92737016,"Forward","min"
1.125,1352614.46492074,"Forward","min"
1.15,1052273.03666558,"Forward","min"
1.175,816369.515066546,"Forward","min"
1.2,631866.804109607,"Forward","min"
1.225,488078.250290138,"Forward","min"
1.25,376354.998010113,"Forward","min"
1.275,289766.970424141,"Forward","min"
1.3,222805.135198372,"Forward","min"
1.325,171117.936415424,"Forward","min"
1.35,131285.894670366,"Forward","min"
1.375,100633.425483513,"Forward","min"
1.4,77074.4493930432,"Forward","min"
1.425,58987.3740030732,"Forward","min"
1.45,45114.875653163,"Forward","min"
1.475,34484.1955920788,"Forward","min"
1.5,26344.152391844,"Forward","min"
1.525,20115.6209629052,"Forward","min"
1.55,15352.7643839101,"Forward","min"
1.575,11712.7913498237,"Forward","min"
1.6,8932.43497776879,"Forward","min"
1.625,6809.70585261652,"Forward","min"
1.65,5189.76772487608,"Forward","min"
1.675,3954.02463560967,"Forward","min"
1.7,3011.70411094331,"Forward","min"
1.725,2293.37859726203,"Forward","min"
1.75,1745.97415644216,"Forward","min"
1.775,1328.94148636798,"Forward","min"
1.8,1011.31567032689,"Forward","min"
1.825,769.461577860383,"Forward","min"
1.85,585.346702069802,"Forward","min"
1.875,445.213235194169,"Forward","min"
1.9,338.573026062769,"Forward","min"
1.925,257.432364470041,"Forward","min"
1.95,195.699858842167,"Forward","min"
1.975,148.736721653421,"Forward","min"
2,113.012370338052,"Forward","min"
2.025,85.8407552107195,"Forward","min"
2.05,65.2303391667535,"Forward","min"
2.075,49.0686457253938,"Forward","min"
2.1,36.3826401143356,"Forward","min"
2.125,26.7691670645728,"Forward","min"
2.15,19.6612177169964,"Forward","min"
2.175,14.6476931901661,"Forward","min"
2.2,11.1478936280572,"Forward","min"
2.225,8.58739971686854,"Forward","min"
2.25,6.61701420741292,"Forward","min"
2.275,5.03492060409532,"Forward","min"
2.3,3.82910498015045,"Forward","min"
2.325,2.91540581240676,"Forward","min"
2.35,2.22383692623679,"Forward","min"
2.375,1.69705125367942,"Forward","min"
2.4,1.29620735059703,"Forward","min"
2.425,0.990981813030689,"Forward","min"
2.45,0.758181164472026,"Forward","min"
2.475,0.580482290286221,"Forward","min"
2.5,0.444786763987025,"Forward","min"
0.05,16172986.1866521,"Backward","max"
0.075,16935034.2751201,"Backward","max"
0.1,17721506.7753391,"Backward","max"
0.125,18531270.0390542,"Backward","max"
0.15,19362755.4397867,"Backward","max"
0.175,20213875.5826625,"Backward","max"
0.2,21081926.1819017,"Backward","max"
0.225,21963471.6028596,"Backward","max"
0.25,22854212.0937495,"Backward","max"
0.275,23748830.9899077,"Backward","max"
0.3,24640820.8093872,"Backward","max"
0.325,25522288.386452,"Backward","max"
0.35,26383741.3027718,"Backward","max"
0.375,27213861.256331,"Backward","max"
0.4,27999275.1138653,"Backward","max"
0.425,28724341.7112433,"Backward","max"
0.45,29370982.4028677,"Backward","max"
0.475,29918596.0434846,"Backward","max"
0.5,30344114.0827662,"Backward","max"
0.525,30622267.517579,"Backward","max"
0.55,30726151.8033671,"Backward","max"
0.575,30628186.1795925,"Backward","max"
0.6,30301564.0473881,"Backward","max"
0.625,29722276.0520994,"Backward","max"
0.65,28871745.2597172,"Backward","max"
0.675,27740016.6590119,"Backward","max"
0.7,26329246.9142544,"Backward","max"
0.725,24656913.3781387,"Backward","max"
0.75,22757789.7867293,"Backward","max"
0.775,20683615.5643579,"Backward","max"
0.8,18499836.3421059,"Backward","max"
0.825,16279705.1521612,"Backward","max"
0.85,14096856.7288672,"Backward","max"
0.875,12017831.2090541,"Backward","max"
0.9,10095970.8346271,"Backward","max"
0.925,8367750.55146445,"Backward","max"
0.95,6851979.83961821,"Backward","max"
0.975,5551579.9132321,"Backward","max"
1,4457066.17243472,"Backward","max"
1.025,3550662.32958167,"Backward","max"
1.05,2810146.35284358,"Backward","max"
1.075,2211904.13039708,"Backward","max"
1.1,1733036.92626937,"Backward","max"
1.125,1352614.4641788,"Backward","max"
1.15,1052273.03616875,"Backward","max"
1.175,816369.514734749,"Backward","max"
1.2,631866.803887645,"Backward","max"
1.225,488078.250140685,"Backward","max"
1.25,376354.997908468,"Backward","max"
1.275,289766.970354998,"Backward","max"
1.3,222805.135153724,"Backward","max"
1.325,171117.936389014,"Backward","max"
1.35,131285.894645404,"Backward","max"
1.375,100633.425420203,"Backward","max"
1.4,77074.4492273305,"Backward","max"
1.425,58987.3736568439,"Backward","max"
1.45,45114.8750461694,"Backward","max"
1.475,34484.1946487042,"Backward","max"
1.5,26344.1510429576,"Backward","max"
1.525,20115.6191451754,"Backward","max"
1.55,15352.7620374677,"Backward","max"
1.575,11712.7884143365,"Backward","max"
1.6,8932.43138759743,"Backward","max"
1.625,6809.70153211692,"Backward","max"
1.65,5189.76258446735,"Backward","max"
1.675,3954.01914143952,"Backward","max"
1.7,3011.70127406138,"Backward","max"
1.725,2293.37854313299,"Backward","max"
1.75,1745.97605910044,"Backward","max"
1.775,1328.94426848364,"Backward","max"
1.8,1011.31781710424,"Backward","max"
1.825,769.460758217215,"Backward","max"
1.85,585.339774318295,"Backward","max"
1.875,445.205618630778,"Backward","max"
1.9,338.57202236245,"Backward","max"
1.925,257.448570890469,"Backward","max"
1.95,195.747055979938,"Backward","max"
1.975,148.828516218632,"Backward","max"
2,113.158309064128,"Backward","max"
2.025,86.0442726068117,"Backward","max"
2.05,65.3679314466002,"Backward","max"
2.075,50.3487795763468,"Backward","max"
2.1,39.3323688893428,"Backward","max"
2.125,30.8041392275577,"Backward","max"
2.15,23.7374672758162,"Backward","max"
2.175,17.9917805706978,"Backward","max"
2.2,13.626095123553,"Backward","max"
2.225,10.3307976017511,"Backward","max"
2.25,7.84244954557581,"Backward","max"
2.275,6.00194575937231,"Backward","max"
2.3,4.53791410236816,"Backward","max"
2.325,3.49094140327931,"Backward","max"
2.35,2.72376516995914,"Backward","max"
2.375,1.86101809615694,"Backward","max"
2.4,1.58057063878199,"Backward","max"
2.425,1.39254718420321,"Backward","max"
2.45,0.832375113162884,"Backward","max"
2.475,0.47228339167794,"Backward","max"
2.5,0.397775918349357,"Backward","max"
0.05,16172982.5709858,"Backward","min"
0.075,16935031.0779996,"Backward","min"
0.1,17721503.9559036,"Backward","min"
0.125,18531267.5594486,"Backward","min"
0.15,19362753.2651481,"Backward","min"
0.175,20213873.6810825,"Backward","min"
0.2,21081924.5243693,"Backward","min"
0.225,21963470.163187,"Backward","min"
0.25,22854210.8484879,"Backward","min"
0.275,23748829.9182577,"Backward","min"
0.3,24640819.8931084,"Backward","min"
0.325,25522287.609779,"Backward","min"
0.35,26383740.6523409,"Backward","min"
0.375,27213860.7211251,"Backward","min"
0.4,27999274.6851794,"Backward","min"
0.425,28724341.3826754,"Backward","min"
0.45,29370982.1703344,"Backward","min"
0.475,29918595.9052567,"Backward","min"
0.5,30344114.0395092,"Backward","min"
0.525,30622267.4627837,"Backward","min"
0.55,30726151.6450814,"Backward","min"
0.575,30628185.9101998,"Backward","min"
0.6,30301563.6575387,"Backward","min"
0.625,29722275.5315131,"Backward","min"
0.65,28871744.5984638,"Backward","min"
