"rel_amplitude","mean_yield","threshold_frac","threshold_bp","fish_level","schedule","mean_effort","background_level","effective_window","n_bursts","resource_decrease","step_type"
1.34208993687218e-05,9.60157640512962e-05,0.5,3.70210829389887e-05,7,"Threshold (troughs)",6.99999999996569,0,NA,0,0.005,"Smooth"
1.07349600657958e-06,3.79143429045748e-06,0.5,3.70210829389887e-05,7.4,"Threshold (peaks)",0.113858950164268,0,NA,0,0.005,"Smooth"
1.3015037722602e-05,9.70855604442876e-05,0.5,3.70210829389887e-05,7.4,"Threshold (troughs)",7.39999999998138,0,NA,0,0.005,"Smooth"
8.75714037374323e-07,3.89860536346808e-06,0.5,3.70210829389887e-05,7.8,"Threshold (peaks)",0.117154443450084,0,NA,0,0.005,"Smooth"
1.2842603012023e-05,9.78903081509097e-05,0.5,3.70210829389887e-05,7.8,"Threshold (troughs)",7.79999999998962,0,NA,0,0.005,"Smooth"
0.596666009774897,4.6449536433125e-06,0.5,3.70210829389887e-05,0.2,"Threshold (peaks)",0.102666666666667,0,2.8,4,0.005,"Hard"
0.932008812511223,2.63574660101733e-06,0.5,3.70210829389887e-05,0.2,"Threshold (troughs)",0.112,0,3.35999999999999,5,0.005,"Hard"
0.18031961091148,8.89362188679125e-07,0.5,3.70210829389887e-05,0.6,"Threshold (peaks)",0.024,0,0.2,6,0.005,"Hard"
1.16038831625759,7.57407075550194e-06,0.5,3.70210829389887e-05,0.6,"Threshold (troughs)",0.36,0,4.09999999999999,4,0.005,"Hard"
0.156253621183771,7.40929181296625e-07,0.5,3.70210829389887e-05,1,"Threshold (peaks)",0.02,0,0.2,3,0.005,"Hard"
1.28221562706563,1.19793226283428e-05,0.5,3.70210829389887e-05,1,"Threshold (troughs)",0.633333333333333,0,4.39999999999999,3,0.005,"Hard"
0.149133016012008,1.0376789101061e-06,0.5,3.70210829389887e-05,1.4,"Threshold (peaks)",0.028,0,0.2,3,0.005,"Hard"
1.34486368223665,1.55678794840625e-05,0.5,3.70210829389887e-05,1.4,"Threshold (troughs)",0.877333333333333,0,4.69999999999999,4,0.005,"Hard"
0.132109386386793,4.44590915678666e-07,0.5,3.70210829389887e-05,1.8,"Threshold (peaks)",0.012,0,0.2,1,0.005,"Hard"
0.108875054646034,4.58454159298838e-05,0.5,3.70210829389887e-05,1.8,"Threshold (troughs)",1.8,0,NA,0,0.005,"Hard"
0.121810348115615,1.08626255457093e-06,0.5,3.70210829389887e-05,2.2,"Threshold (peaks)",0.0293333333333333,0,0.2,2,0.005,"Hard"
0.0124389156266223,5.30176226343081e-05,0.5,3.70210829389887e-05,2.2,"Threshold (troughs)",2.2,0,NA,0,0.005,"Hard"
0.118911762162549,6.42570888553424e-07,0.5,3.70210829389887e-05,2.6,"Threshold (peaks)",0.0173333333333333,0,0.2,1,0.005,"Hard"
0.0013617222005808,5.9515172206835e-05,0.5,3.70210829389887e-05,2.6,"Threshold (troughs)",2.6,0,NA,0,0.005,"Hard"
0.112489993836706,7.41053028563716e-07,0.5,3.70210829389887e-05,3,"Threshold (peaks)",0.02,0,0.2,1,0.005,"Hard"
0.000169082938080327,6.53228699546033e-05,0.5,3.70210829389887e-05,3,"Threshold (troughs)",3,0,NA,0,0.005,"Hard"
0.106043050216544,8.39397922735328e-07,0.5,3.70210829389887e-05,3.4,"Threshold (peaks)",0.0226666666666667,0,0.2,1,0.005,"Hard"
2.35263769013989e-05,7.05022250773179e-05,0.5,3.70210829389887e-05,3.4,"Threshold (troughs)",3.4,0,NA,0,0.005,"Hard"
0.129328644225305,9.37908516435335e-07,0.5,3.70210829389887e-05,3.8,"Threshold (peaks)",0.0253333333333333,0,0.2,1,0.005,"Hard"
1.25374625985591e-05,7.51086631663311e-05,0.5,3.70210829389887e-05,3.8,"Threshold (troughs)",3.8,0,NA,0,0.005,"Hard"
0.12942263291882,0,0.5,3.70210829389887e-05,4.2,"Threshold (peaks)",0,0,NA,0,0.005,"Hard"
1.32415282789362e-05,7.91882148894227e-05,0.5,3.70210829389887e-05,4.2,"Threshold (troughs)",4.2,0,NA,0,0.005,"Hard"
0.115315062303375,0,0.5,3.70210829389887e-05,4.6,"Threshold (peaks)",0,0,NA,0,0.005,"Hard"
1.10864394940695e-05,8.27824123757886e-05,0.5,3.70210829389887e-05,4.6,"Threshold (troughs)",4.6,0,NA,0,0.005,"Hard"
0.161067437029256,1.23478719038462e-06,0.5,3.70210829389887e-05,5,"Threshold (peaks)",0.0333333333333333,0,0.2,1,0.005,"Hard"
1.27916117786548e-05,8.59284432712641e-05,0.5,3.70210829389887e-05,5,"Threshold (troughs)",5,0,NA,0,0.005,"Hard"
0.141569118828663,0,0.5,3.70210829389887e-05,5.4,"Threshold (peaks)",0,0,NA,0,0.005,"Hard"
1.22761053449269e-05,8.86599740004543e-05,0.5,3.70210829389887e-05,5.4,"Threshold (troughs)",5.4,0,NA,0,0.005,"Hard"
0.201735671751185,1.43214504524878e-06,0.5,3.70210829389887e-05,5.8,"Threshold (peaks)",0.0386666666666667,0,0.2,1,0.005,"Hard"
1.3003899732708e-05,9.10076367722465e-05,0.5,3.70210829389887e-05,5.8,"Threshold (troughs)",5.8,0,NA,0,0.005,"Hard"
0.171524138698154,3.06227515893933e-06,0.5,3.70210829389887e-05,6.2,"Threshold (peaks)",0.0826666666666667,0,0.2,2,0.005,"Hard"
1.2957432106529e-05,9.29994146666353e-05,0.5,3.70210829389887e-05,6.2,"Threshold (troughs)",6.2,0,NA,0,0.005,"Hard"
0.164657944007868,0,0.5,3.70210829389887e-05,6.6,"Threshold (peaks)",0,0,NA,0,0.005,"Hard"
1.29629335249359e-05,9.46609373405222e-05,0.5,3.70210829389887e-05,6.6,"Threshold (troughs)",6.6,0,NA,0,0.005,"Hard"
0.191715651472186,0,0.5,3.70210829389887e-05,7,"Threshold (peaks)",0,0,NA,0,0.005,"Hard"
1.34208993709067e-05,9.60157640513999e-05,0.5,3.70210829389887e-05,7,"Threshold (troughs)",7,0,NA,0,0.005,"Hard"
0.202767842583404,0,0.5,3.70210829389887e-05,7.4,"Threshold (peaks)",0,0,NA,0,0.005,"Hard"
1.30150377234762e-05,9.70855604443311e-05,0.5,3.70210829389887e-05,7.4,"Threshold (troughs)",7.4,0,NA,0,0.005,"Hard"
0.20149489002748,0,0.5,3.70210829389887e-05,7.8,"Threshold (peaks)",0,0,NA,0,0.005,"Hard"
1.28426030136669e-05,9.78903081509274e-05,0.5,3.70210829389887e-05,7.8,"Threshold (troughs)",7.8,0,NA,0,0.005,"Hard"
