"fish_level","mean_total","min_total","mean_selected","mean_juvenile","mean_yield","rel_amplitude","model"
1,0.277374108819023,0.18189070591987,0.133291776397615,0.144082332421408,0.20867506131895,0.628552923692068,"Baseline (theta=1)"
3,0.61372751884501,0.538494385571992,0.00750501275874547,0.606222506086264,0.0883090553949636,0.158990394230413,"Baseline (theta=1)"
5,0.690563312408121,0.637320435900617,0.00415480170879554,0.686408510699326,0.103492186220371,0.0954623567076069,"Baseline (theta=1)"
7,0.707294484969843,0.667503871186588,0.00197756120709046,0.705316923762752,0.108908271168911,0.0699729163930285,"Baseline (theta=1)"
9,0.69682511567953,0.663276514436181,0.000839732548206649,0.695985383131324,0.103061821677915,0.059726273155645,"Baseline (theta=1)"
20,0.399797266188963,0.00582331341307227,0.000148096968828321,0.399649169220135,0.183148596163117,1.95589072023226,"Baseline (theta=1)"
30,0.153215224854907,0.00242755026857357,0.000172023771324203,0.153043201083583,0.334532482392935,1.96478394513211,"Baseline (theta=1)"
50,0.0310741015221194,0.0131762647268632,8.64604976164444e-05,0.030987641024503,0.192137471635129,1.16282714066851,"Baseline (theta=1)"
75,0.00218198293139242,0.00132114817123491,1.94707980190494e-06,0.00218003585159051,0.016197119909959,1.16878533178724,"Baseline (theta=1)"
100,7.39755711200436e-05,1.656769424077e-06,2.18641208161811e-08,7.39537069992274e-05,0.00064279052875166,1.9869107787109,"Baseline (theta=1)"
1,0.533272348515021,0.353189356336043,0.0449735144997087,0.488298834015312,0.171212724896564,0.545997801532634,"theta=0.3"
3,0.72357486780706,0.70737875325964,0.00945643996044674,0.714118427846614,0.088956230047783,0.0330855499852852,"theta=0.3"
5,0.749200931897527,0.734916035249634,0.00475612319126297,0.744444808706265,0.107838465692077,0.0294619047615597,"theta=0.3"
7,0.744856882238967,0.729432351289382,0.00210202338953246,0.742754858849434,0.108560122873065,0.0324163635095421,"theta=0.3"
9,0.7241151359864,0.708674347800986,0.000835774785324714,0.723279361201075,0.0989947776133888,0.0326163297475269,"theta=0.3"
20,0.409913954985922,0.0067327437699714,0.000153343512610543,0.409760611473311,0.185760374493027,1.95095066048828,"theta=0.3"
30,0.170329372637713,0.00425238966402382,0.000162317295141342,0.170167055342572,0.344500206436967,1.94625446219731,"theta=0.3"
50,0.0574586221192523,0.0522002736141491,0.000109664792623385,0.0573489573266289,0.329070557578832,0.205776507835518,"theta=0.3"
75,0.00281961791090283,0.00198487059688091,2.42763387806885e-06,0.00281719027702476,0.0204416937400189,0.82743286967362,"theta=0.3"
100,2.33175552917718e-05,4.96103933458016e-07,6.49711111692968e-09,2.33110581806548e-05,0.000194200666939521,1.9867243722938,"theta=0.3"
1,0.528603126822904,0.445129035779878,0.0377010013035571,0.490902125519347,0.175178543618568,0.390370536248229,"theta=0.3, interaction_resource=1.3"
3,0.509668107585479,0.224553400826628,0.0146813192430036,0.494986788342476,0.173653473447928,0.993027190436691,"theta=0.3, interaction_resource=1.3"
5,0.576792873832399,0.13301216774495,0.0103635153412322,0.566429358491167,0.14911814422783,1.3544336768508,"theta=0.3, interaction_resource=1.3"
7,0.608953372750914,0.22969757627269,0.00463900217226035,0.604314370578654,0.134022710839415,0.993867996646715,"theta=0.3, interaction_resource=1.3"
9,0.612045536429499,0.347206538503322,0.00216266518881733,0.609882871240682,0.128352974740592,0.629491923727661,"theta=0.3, interaction_resource=1.3"
20,0.498612912873676,0.360743057201323,3.41363045291701e-05,0.498578776569146,0.0883596484199836,0.374591875921967,"theta=0.3, interaction_resource=1.3"
30,0.274699822298095,0.00625082623716258,5.46760944472877e-05,0.274645146203647,0.246368625210374,1.93259458595653,"theta=0.3, interaction_resource=1.3"
50,0.090594203892929,0.0259542616919452,0.000125679456776809,0.0904685244361522,0.428906540893872,1.39809789542561,"theta=0.3, interaction_resource=1.3"
75,0.0308117021510754,0.0104104333261978,4.15535776658031e-05,0.0307701485734096,0.241314943824394,1.10862525351903,"theta=0.3, interaction_resource=1.3"
100,0.00234134730774174,0.0013176499548913,1.76113256621741e-06,0.00233958617517552,0.021845063264662,1.26613720666017,"theta=0.3, interaction_resource=1.3"
