"peak_t","peak_b","period_since_last"
21,0.0481418544661556,NA
27,0.0468129432226758,6
33,0.043746235765291,6
38.5,0.0438905548556851,5.5
44,0.0429132935424192,5.5
49.5,0.0413300647049573,5.5
54.5,0.0427630264760839,5
60,0.0445860303656865,5.5
65.5,0.0457813045335805,5.5
71,0.0461984067732936,5.5
76.5,0.0458186493289783,5.5
