"resource_decrease","direction","dead_below","alive_above"
1e-04,"Backward",1.06180493129047,1.64295944272069
1e-04,"Forward",3.93360776333954,6.08657751370921
0.000840896415253715,"Backward",1.06180493129047,1.64295944272069
0.000840896415253715,"Forward",3.93360776333954,6.08657751370921
0.00707106781186548,"Backward",1.06180493129047,1.64295944272069
0.00707106781186548,"Forward",3.93360776333954,6.08657751370921
0.0594603557501361,"Backward",1.06180493129047,1.64295944272069
0.0594603557501361,"Forward",3.93360776333954,6.08657751370921
0.5,"Backward",1.06180493129047,1.64295944272069
0.5,"Forward",3.93360776333954,6.08657751370921
