"value","metric","direction","branch"
1.075,3154726.8794962,"Forward","min"
1.1,2484512.75233216,"Forward","min"
1.125,1951147.68295923,"Forward","min"
1.15,1527321.75357418,"Forward","min"
1.175,1174859.31404932,"Forward","min"
1.2,919419.271415459,"Forward","min"
1.225,706659.35923998,"Forward","min"
1.25,543942.721903046,"Forward","min"
1.275,419299.29620089,"Forward","min"
1.3,323247.875909858,"Forward","min"
1.325,249042.880877182,"Forward","min"
1.35,191705.415106358,"Forward","min"
1.375,147436.268203018,"Forward","min"
1.4,113293.781175829,"Forward","min"
1.425,86990.4712354043,"Forward","min"
1.45,66747.3673955292,"Forward","min"
1.475,51182.8316679199,"Forward","min"
1.5,39225.6628965866,"Forward","min"
1.525,30046.7547060033,"Forward","min"
1.55,23005.3711181365,"Forward","min"
1.575,17607.0312337848,"Forward","min"
1.6,13470.5992626396,"Forward","min"
1.625,10302.6369137091,"Forward","min"
1.65,7877.45727095374,"Forward","min"
1.675,6021.64048038732,"Forward","min"
1.7,4602.03439954888,"Forward","min"
1.725,3516.47247634886,"Forward","min"
1.75,2686.60570242157,"Forward","min"
1.775,2052.37625495272,"Forward","min"
1.8,1567.76556816188,"Forward","min"
1.825,1197.53066826374,"Forward","min"
1.85,901.018288489047,"Forward","min"
1.875,681.288215250061,"Forward","min"
1.9,510.31349120026,"Forward","min"
1.925,379.815162521014,"Forward","min"
1.95,282.008099831172,"Forward","min"
1.975,212.113481760754,"Forward","min"
2,157.134546267908,"Forward","min"
2.025,119.241893079735,"Forward","min"
2.05,89.0986790125603,"Forward","min"
2.075,67.1289734475288,"Forward","min"
2.1,50.9569359613695,"Forward","min"
2.125,38.4772331812141,"Forward","min"
2.15,29.5097679377903,"Forward","min"
2.175,22.466043219523,"Forward","min"
2.2,16.9687556121415,"Forward","min"
2.225,13.1192380540529,"Forward","min"
2.25,10.05607892611,"Forward","min"
2.275,7.63855079307783,"Forward","min"
2.3,5.92829299625577,"Forward","min"
2.325,4.51215117479915,"Forward","min"
2.35,3.50677878728994,"Forward","min"
2.375,2.67231821686913,"Forward","min"
2.4,2.07873678855726,"Forward","min"
2.425,1.61750581822229,"Forward","min"
2.45,1.24626522208548,"Forward","min"
2.475,0.960375091812483,"Forward","min"
2.5,0.747633407592857,"Forward","min"
0.05,19142993.4191528,"Backward","max"
0.075,20075236.2880878,"Backward","max"
0.1,20898684.0950876,"Backward","max"
0.125,21738471.6467741,"Backward","max"
0.15,22592536.2640659,"Backward","max"
0.175,23460279.9189291,"Backward","max"
0.2,24338184.9829491,"Backward","max"
0.225,25072681.5413693,"Backward","max"
0.25,25774171.1837988,"Backward","max"
0.275,26425302.5940903,"Backward","max"
0.3,27002498.9966985,"Backward","max"
0.325,27383151.1990788,"Backward","max"
0.35,27669889.3626299,"Backward","max"
0.375,27843058.1061974,"Backward","max"
0.4,27906696.758769,"Backward","max"
0.425,27882192.640126,"Backward","max"
0.45,27771602.809964,"Backward","max"
0.475,27581153.7593167,"Backward","max"
0.5,27321710.9494038,"Backward","max"
0.525,27000659.1721207,"Backward","max"
0.55,26620968.0523852,"Backward","max"
0.575,26049052.435587,"Backward","max"
0.6,25423890.1213804,"Backward","max"
0.625,24576100.8438859,"Backward","max"
0.65,23515157.2739513,"Backward","max"
0.675,22446049.1329375,"Backward","max"
0.7,21191178.689955,"Backward","max"
0.725,19561164.9353655,"Backward","max"
0.75,17768156.9594705,"Backward","max"
0.775,15852284.3664112,"Backward","max"
0.8,14081595.5643984,"Backward","max"
0.825,12317772.0146335,"Backward","max"
0.85,10603817.198858,"Backward","max"
0.875,8971431.47733818,"Backward","max"
0.9,7444179.95540924,"Backward","max"
0.925,6154746.37384074,"Backward","max"
0.95,4996785.94369024,"Backward","max"
0.975,4047247.57447938,"Backward","max"
1,3214887.90434029,"Backward","max"
1.025,2540140.65590077,"Backward","max"
1.05,2000240.69312622,"Backward","max"
1.075,1574141.83897703,"Backward","max"
1.1,1241944.78909938,"Backward","max"
1.125,963791.716238266,"Backward","max"
1.15,745867.342548158,"Backward","max"
1.175,575850.951255028,"Backward","max"
1.2,443685.726365962,"Backward","max"
1.225,341262.042996183,"Backward","max"
1.25,262104.067974472,"Backward","max"
1.275,201082.43671844,"Backward","max"
1.3,154163.225885743,"Backward","max"
1.325,118196.182981402,"Backward","max"
1.35,90737.659897244,"Backward","max"
1.375,69825.3860336992,"Backward","max"
1.4,52666.4280072706,"Backward","max"
1.425,40361.0272497238,"Backward","max"
1.45,31029.4217286838,"Backward","max"
1.475,23417.6030336216,"Backward","max"
1.5,17982.3515258018,"Backward","max"
1.525,13556.4554737015,"Backward","max"
1.55,10400.855978161,"Backward","max"
1.575,7836.23601347873,"Backward","max"
1.6,6011.69403907103,"Backward","max"
1.625,4534.37722826456,"Backward","max"
1.65,3489.22029112704,"Backward","max"
1.675,2646.46824397427,"Backward","max"
1.7,2007.89468195243,"Backward","max"
1.725,1526.07715300918,"Backward","max"
1.75,1165.1248814556,"Backward","max"
1.775,895.837625180779,"Backward","max"
1.8,682.731598344396,"Backward","max"
1.825,524.511716376511,"Backward","max"
1.85,400.867381723972,"Backward","max"
1.875,310.181204195909,"Backward","max"
1.9,240.769285466744,"Backward","max"
1.925,193.787227083529,"Backward","max"
1.95,170.146283205972,"Backward","max"
1.975,156.78271872494,"Backward","max"
2,147.270119960283,"Backward","max"
2.025,0.61328381717205,"Backward","max"
2.05,0.619118593011863,"Backward","max"
2.075,0.625087313324768,"Backward","max"
2.1,0.631175649929769,"Backward","max"
2.125,0.637372312257525,"Backward","max"
2.15,0.643668419105659,"Backward","max"
2.175,0.65005700187574,"Backward","max"
2.2,0.656532612311732,"Backward","max"
2.225,0.663091013227751,"Backward","max"
2.25,0.669728934930477,"Backward","max"
2.275,0.676443884049486,"Backward","max"
2.3,0.683233999123379,"Backward","max"
2.325,0.690097951574412,"Backward","max"
2.35,0.697034879966817,"Backward","max"
2.375,0.704044332939683,"Backward","max"
2.4,0.71112620330958,"Backward","max"
2.425,0.718280654813449,"Backward","max"
2.45,0.725508052085641,"Backward","max"
2.475,0.732808901026612,"Backward","max"
2.5,0.740183801111347,"Backward","max"
0.05,18901958.3893875,"Backward","min"
0.075,19820495.2271157,"Backward","min"
0.1,20638838.0638603,"Backward","min"
0.125,21474066.847989,"Backward","min"
0.15,22324308.0341123,"Backward","min"
0.175,23188025.359007,"Backward","min"
0.2,24065326.5786568,"Backward","min"
0.225,24940221.1010207,"Backward","min"
0.25,25649345.9189439,"Backward","min"
0.275,26313200.4601823,"Backward","min"
0.3,26906022.2391101,"Backward","min"
0.325,27308010.6581832,"Backward","min"
0.35,27620090.271411,"Backward","min"
0.375,27822918.2190925,"Backward","min"
0.4,27898725.3376771,"Backward","min"
0.425,27845283.0294783,"Backward","min"
0.45,27707373.3506287,"Backward","min"
0.475,27492907.9333122,"Backward","min"
0.5,27212659.3865875,"Backward","min"
0.525,26872258.089139,"Backward","min"
0.55,26473817.9637756,"Backward","min"
0.575,25888513.2807182,"Backward","min"
0.6,25249493.4620937,"Backward","min"
0.625,24209594.5011395,"Backward","min"
0.65,23147576.9830597,"Backward","min"
0.675,22080026.25815,"Backward","min"
0.7,20629778.6834483,"Backward","min"
0.725,18996636.556486,"Backward","min"
0.75,17030577.9079878,"Backward","min"
0.775,15162653.2225197,"Backward","min"
0.8,13442829.812554,"Backward","min"
0.825,11600585.5777091,"Backward","min"
0.85,9967717.1483245,"Backward","min"
0.875,8305465.49981516,"Backward","min"
0.9,6878330.2869334,"Backward","min"
0.925,5679390.87049741,"Backward","min"
0.95,4605199.56940465,"Backward","min"
0.975,3726449.59672498,"Backward","min"
1,2953870.62404461,"Backward","min"
1.025,2330478.50160273,"Backward","min"
1.05,1834010.40765915,"Backward","min"
1.075,1444197.88447971,"Backward","min"
1.1,1122868.11159545,"Backward","min"
1.125,870376.733529178,"Backward","min"
1.15,672906.863468983,"Backward","min"
1.175,519078.903770918,"Backward","min"
1.2,399651.694944235,"Backward","min"
1.225,307203.825603127,"Backward","min"
1.25,235828.992663646,"Backward","min"
1.275,180862.536761256,"Backward","min"
1.3,138646.018163633,"Backward","min"
1.325,106330.771489015,"Backward","min"
1.35,81704.5524739356,"Backward","min"
1.375,62859.9061654812,"Backward","min"
1.4,47340.7318023109,"Backward","min"
1.425,36322.6990098525,"Backward","min"
1.45,27929.6601766494,"Backward","min"
1.475,21063.111328188,"Backward","min"
1.5,16176.7252642726,"Backward","min"
1.525,12187.6748277498,"Backward","min"
1.55,9351.91214068046,"Backward","min"
1.575,7043.38235509049,"Backward","min"
1.6,5405.15328601673,"Backward","min"
1.625,4078.89040521147,"Backward","min"
1.65,3142.46144666822,"Backward","min"
1.675,2383.37570353787,"Backward","min"
1.7,1809.03127899319,"Backward","min"
1.725,1376.76981075894,"Backward","min"
1.75,1053.87376148731,"Backward","min"
1.775,812.062116352291,"Backward","min"
1.8,620.607174810783,"Backward","min"
1.825,471.781121094791,"Backward","min"
1.85,362.240165112713,"Backward","min"
1.875,281.751930121538,"Backward","min"
1.9,220.555069955111,"Backward","min"
1.925,184.847707998956,"Backward","min"
1.95,165.289692651595,"Backward","min"
1.975,154.972475537652,"Backward","min"
2,10.0674070486067,"Backward","min"
2.025,0.61328381717205,"Backward","min"
2.05,0.619118593011863,"Backward","min"
2.075,0.625087313324768,"Backward","min"
2.1,0.631175649929769,"Backward","min"
2.125,0.637372312257525,"Backward","min"
2.15,0.643668419105659,"Backward","min"
2.175,0.65005700187574,"Backward","min"
2.2,0.656532612311732,"Backward","min"
2.225,0.663091013227751,"Backward","min"
2.25,0.669728934930477,"Backward","min"
2.275,0.676443884049486,"Backward","min"
2.3,0.683233999123379,"Backward","min"
2.325,0.690097951574412,"Backward","min"
2.35,0.697034879966817,"Backward","min"
2.375,0.704044332939683,"Backward","min"
2.4,0.71112620330958,"Backward","min"
2.425,0.718280654813449,"Backward","min"
2.45,0.725508052085641,"Backward","min"
2.475,0.732808901026612,"Backward","min"
2.5,0.740183801111347,"Backward","min"
